META; english/league-2/chesterfield-v-stevenage; 2018-01-20 22:21:44 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; ; 7/5; ; ; ; ; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
Stevenage; ; 9/5; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-21 02:21:22 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 4/7; ; 
Stevenage; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; 5/6; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-21 10:21:38 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; 4/7; ; 
Stevenage; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; 8/11; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 47/20; ; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-21 14:22:09 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 11/8; 7/5; 7/5; ; ; ; 11/8; 7/5; ; 11/8; 29/20; ; ; ; ; ; ; 13/10; ; ; ; ; 7/5; 27/20; 23/17; 7/5; ; 
Stevenage; 9/5; 9/5; 2; ; ; ; 9/5; 15/8; ; 19/10; 19/10; ; ; ; ; ; ; 7/4; ; ; ; ; 19/10; 19/10; 9/5; 19/10; ; 
Draw; 5/2; 12/5; 11/5; ; ; ; 12/5; 23/10; ; 11/5; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; 12/5; 47/20; 12/5; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-21 18:21:31 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 13/10; 7/5; 26/19; ; 31/20; 7/5; 7/5; 7/5; ; 11/8; 7/5; 7/5; ; ; 11/8; ; ; 13/10; ; ; ; 7/5; 11/8; 27/20; 13/10; 5/4; ; 
Stevenage; 15/8; 9/5; 2; ; 15/8; 19/10; 9/5; 15/8; ; 2; 2; 19/10; ; ; 19/10; ; ; 24/13; ; ; ; 2; 19/10; 19/10; 19/10; 7/4; ; 
Draw; 5/2; 12/5; 11/5; ; 5/2; 12/5; 12/5; 23/10; ; 11/5; 5/2; 23/10; ; ; 12/5; ; ; 27/11; ; ; ; 12/5; 5/2; 47/20; 27/11; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-21 22:21:11 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 7/5; 17/11; ; 83/50; 31/20; 6/4; 6/4; ; 31/20; 8/5; 31/20; 6/4; ; 8/5; ; ; 6/4; ; 24/17; ; 6/4; 31/20; 6/4; 17/11; 7/5; ; 
Stevenage; 13/8; 9/5; 9/5; ; 179/ 100; 9/5; 17/10; 9/5; ; 7/4; 9/5; 9/5; 9/5; ; 17/10; ; ; 28/17; ; 20/11; ; 9/5; 17/10; 7/4; 17/10; 13/8; ; 
Draw; 5/2; 12/5; 11/5; ; 61/25; 23/10; 9/4; 23/10; ; 21/10; 12/5; 11/5; 23/10; ; 9/4; ; ; 9/4; ; 23/10; ; 23/10; 5/2; 9/4; 23/10; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-22 02:21:06 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 7/5; 17/11; ; 83/50; 31/20; 6/4; 6/4; ; 31/20; 8/5; 8/5; 6/4; ; 8/5; 6/4; ; 17/11; ; 24/17; ; 8/5; 31/20; 31/20; 17/11; 7/5; ; 
Stevenage; 13/8; 9/5; 9/5; ; 179/ 100; 9/5; 17/10; 9/5; ; 7/4; 9/5; 9/5; 9/5; ; 17/10; 7/4; ; 28/17; ; 20/11; ; 7/4; 17/10; 17/10; 17/10; 13/8; ; 
Draw; 5/2; 12/5; 11/5; ; 61/25; 23/10; 9/4; 23/10; ; 21/10; 12/5; 11/5; 23/10; ; 9/4; 23/10; ; 9/4; ; 23/10; ; 23/10; 5/2; 9/4; 23/10; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-22 10:21:29 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 7/5; 17/11; 8/5; 167/ 100; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; ; 8/5; 6/4; 8/5; 6/4; 8/5; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; 6/4; ; 
Stevenage; 13/8; 9/5; 9/5; 17/10; 44/25; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 17/10; 9/5; ; 17/10; 17/10; 17/10; 17/10; 17/10; 20/11; 24/13; 7/4; 17/10; 17/10; 17/10; 13/8; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 123/ 50; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 12/5; 23/10; ; 9/4; 12/5; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 12/5; 9/4; 23/10; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-22 14:21:19 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; ; 8/5; 6/4; 8/5; 6/4; 8/5; 24/17; 6/4; 8/5; 8/5; 31/20; 6/4; 6/4; ; 
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 9/5; 7/4; ; 17/10; 7/4; 17/10; 17/10; 17/10; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; 13/8; ; 
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; ; 9/4; 23/10; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 9/4; 21/10; ; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-22 18:21:19 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; ; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 6/4; 6/4; 6/4; 
Stevenage; 13/8; 9/5; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 9/5; 9/5; ; 17/10; 7/4; 7/4; 17/10; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; 13/8; 6/4; 
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; ; 9/4; 23/10; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 9/4; 21/10; 2; 
META; english/league-2/chesterfield-v-stevenage; 2018-01-22 22:21:20 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; ; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 6/4; 6/4; 6/4; 6/4
Stevenage; 13/8; 9/5; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 9/5; 9/5; ; 17/10; 7/4; 7/4; 17/10; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; 13/8; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; ; 9/4; 23/10; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 9/4; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-23 02:21:12 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; ; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 6/4; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 9/5; 7/4; ; 17/10; 7/4; 7/4; 17/10; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; 13/8; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; ; 9/4; 23/10; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 9/4; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-23 10:21:14 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 6/4; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 9/5; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; 13/8; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 9/4; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-23 14:21:14 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 6/4; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 6/4; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 7/4; 9/5; 9/5; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; 13/8; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 9/4; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-23 18:21:42 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 13/8; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 9/5; 9/5; 9/5; 13/8; 17/10; 17/10; 7/4; 7/4; 7/4; 7/4; 20/11; 24/13; 7/4; 17/10; 17/10; 7/4; 13/8; 8/5; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 12/5; 9/4; 23/10; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-23 22:21:42 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 13/8; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 9/5; 9/5; 9/5; 13/8; 17/10; 17/10; 7/4; 7/4; 7/4; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; ; 13/8; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-24 02:21:29 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; 6/4; 6/4; 31/20; 8/5; 31/20; 13/8; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; 9/5; 24/13; 9/5; 9/5; 9/5; 13/8; 17/10; 17/10; 7/4; 7/4; 7/4; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; ; 27/20; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 23/10; 11/5; 11/5; 12/5; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-24 10:21:27 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; ; 6/4; 31/20; 8/5; 31/20; 13/8; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 9/5; 17/10; 37/20; 9/5; 17/10; ; 24/13; 9/5; 9/5; 9/5; 13/8; 17/10; 17/10; 7/4; 7/4; 7/4; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; ; 7/4; 17/10; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 11/5; 12/5; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 23/10; ; 21/10; 21/10; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-24 14:21:30 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 31/20; 6/4; ; 6/4; 31/20; 8/5; 31/20; 13/8; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 7/4; 17/10; 37/20; 9/5; 17/10; ; 24/13; 9/5; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; ; 13/8; 13/8; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 12/5; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-24 18:21:25 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 8/5; 6/4; ; 6/4; 31/20; 8/5; 31/20; 13/8; 6/4; 8/5; 6/4; 17/11; 6/4; 17/11; 24/17; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 7/4; 17/10; 37/20; 9/5; 17/10; ; 24/13; 9/5; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 20/11; 24/13; 7/4; 13/8; 17/10; 7/4; ; 13/8; 13/8; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 12/5; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 23/10; 11/5; 23/10; 5/2; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-24 22:21:23 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 8/5; 6/4; ; 6/4; 31/20; 8/5; 8/5; 13/8; 31/20; 8/5; 6/4; 17/11; 6/4; 17/11; 20/13; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 7/4; 17/10; 37/20; 9/5; 17/10; ; 24/13; 7/4; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 18/11; 24/13; 7/4; 17/10; 17/10; 7/4; ; 13/8; 13/8; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 40/17; 11/5; 23/10; 12/5; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-25 02:21:19 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 8/5; 6/4; ; 6/4; 31/20; 8/5; 8/5; 13/8; 31/20; 8/5; 6/4; 17/11; 6/4; 17/11; 20/13; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 7/4; 17/10; 37/20; 9/5; 17/10; ; 24/13; 7/4; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 18/11; 24/13; 7/4; 17/10; 17/10; 7/4; ; 7/4; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 40/17; 11/5; 23/10; 12/5; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-25 10:21:15 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 8/5; 6/4; ; 6/4; 31/20; 8/5; 8/5; 13/8; 31/20; 8/5; 6/4; 17/11; 6/4; 17/11; 20/13; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 7/4; 17/10; 37/20; 9/5; 17/10; ; 24/13; 7/4; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 18/11; 24/13; 7/4; 17/10; 17/10; 7/4; ; 7/4; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 40/17; 11/5; 23/10; 12/5; 9/4; 23/10; ; 21/10; 2; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-25 14:21:33 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 17/11; 8/5; 13/8; 8/5; 6/4; ; 6/4; 31/20; 8/5; 8/5; 13/8; 31/20; 8/5; 6/4; 17/11; 17/11; 17/11; 20/13; 6/4; 8/5; 8/5; 31/20; 17/11; ; 6/4; 6/4; 6/4
Stevenage; 13/8; 7/4; 7/4; 17/10; 37/20; 9/5; 17/10; ; 24/13; 7/4; 9/5; 17/10; 13/8; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 18/11; 24/13; 7/4; 13/8; 17/10; 7/4; ; 9/5; 6/4; 9/5
Draw; 5/2; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 40/17; 11/5; 23/10; 5/2; 9/4; 23/10; ; 21/10; 21/10; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-25 18:21:21 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 8/5; 8/5; 41/25; 8/5; 6/4; ; 17/11; 8/5; 13/8; 13/8; 13/8; 33/20; 8/5; 6/4; 17/11; 8/5; 17/11; 20/13; 17/11; 8/5; 8/5; 17/10; 28/17; ; 13/8; 13/8; 17/10
Stevenage; 13/8; 7/4; 9/5; 17/10; 189/ 100; 9/5; 7/4; ; 9/5; 9/5; 9/5; 9/5; 13/8; 13/8; 7/4; 17/10; 7/4; 17/10; 7/4; 18/11; 9/5; 9/5; 17/10; 17/10; 17/10; ; 17/10; 7/4; 7/4
Draw; 5/2; 23/10; 21/10; 23/10; 58/25; 23/10; 11/5; ; 11/5; 21/10; 23/10; 2; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 40/17; 11/5; 9/4; 12/5; 11/5; 9/4; ; 21/10; 21/10; 23/10
META; english/league-2/chesterfield-v-stevenage; 2018-01-25 22:21:22 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 6/4; 6/4; 28/17; 8/5; 87/50; 13/8; 8/5; ; 17/11; 17/10; 17/10; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 8/5; 17/11; 20/13; 17/11; 13/8; 13/8; 17/10; 28/17; ; 13/8; 13/8; 17/10
Stevenage; 13/8; 7/4; 28/17; 17/10; 87/50; 17/10; 13/8; ; 9/5; 17/10; 7/4; 13/8; 13/8; 13/8; 17/10; 8/5; 7/4; 28/17; 7/4; 18/11; 9/5; 13/8; 13/8; 17/10; 28/17; ; 17/10; 17/10; 17/10
Draw; 5/2; 23/10; 11/5; 23/10; 119/ 50; 23/10; 11/5; ; 11/5; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 9/4; 5/2; 11/5; 9/4; ; 21/10; 21/10; 12/5
META; english/league-2/chesterfield-v-stevenage; 2018-01-26 02:21:20 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 17/10; 6/4; 28/17; 8/5; ; 13/8; 8/5; ; 17/11; 17/10; 17/10; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 28/17; 17/11; 20/13; 17/11; 13/8; 13/8; 17/10; 28/17; ; 13/8; 13/8; 17/10
Stevenage; 7/4; 7/4; 28/17; 17/10; ; 17/10; 13/8; ; 9/5; 17/10; 7/4; 13/8; 13/8; 13/8; 17/10; 8/5; 7/4; 28/17; 7/4; 18/11; 9/5; 13/8; 13/8; 17/10; 17/10; ; 13/8; 13/8; 17/10
Draw; 12/5; 23/10; 11/5; 23/10; ; 23/10; 11/5; ; 11/5; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 9/4; 12/5; 11/5; 9/4; ; 21/10; 21/10; 12/5
META; english/league-2/chesterfield-v-stevenage; 2018-01-26 10:21:28 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 17/10; 6/4; 28/17; 8/5; ; 13/8; 8/5; ; 17/11; 17/10; 17/10; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 28/17; 17/11; 20/13; 17/11; 13/8; 13/8; 17/10; 28/17; ; 13/8; 13/8; 17/10
Stevenage; 7/4; 7/4; 28/17; 17/10; ; 17/10; 13/8; ; 9/5; 17/10; 7/4; 13/8; 13/8; 13/8; 17/10; 8/5; 7/4; 28/17; 7/4; 18/11; 9/5; 13/8; 13/8; 17/10; 17/10; ; 7/4; 13/8; 17/10
Draw; 12/5; 23/10; 11/5; 23/10; ; 23/10; 11/5; ; 11/5; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 40/17; 11/5; 9/4; 12/5; 11/5; 9/4; ; 21/10; 21/10; 12/5
META; english/league-2/chesterfield-v-stevenage; 2018-01-26 14:21:59 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Chesterfield; 17/10; 13/8; 28/17; 17/10; 87/50; 17/10; 8/5; ; 17/11; 17/10; 17/10; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 28/17; 17/11; 20/13; 17/11; 13/8; 17/10; 17/10; 28/17; ; 13/8; 13/8; 17/10
