META; english/league-2/forest-green-v-cambridge; 2018-01-13 22:21:05 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Forest Green; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-14 02:21:14 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Forest Green; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-14 10:21:16 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Forest Green; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-14 14:21:29 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; ; 7/5; ; ; 6/4; ; 7/5; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; ; 15/8; ; ; 101/50; ; 15/8; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; 12/5; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-14 18:21:46 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; ; 23/20; 147/100; 7/5; 11/8; 11/8; ; ; 7/5; ; ; ; ; ; ; 23/17; ; ; ; ; 7/5; 11/8; 23/17; ; ; ; 
Forest Green; 9/5; 15/8; ; 21/10; 189/100; 21/10; 15/8; 2; ; ; 2; ; ; ; ; ; ; 7/4; ; ; ; ; 19/10; 9/5; 9/5; ; ; ; 
Draw; 5/2; 23/10; ; 23/10; 66/25; 5/2; 12/5; 23/10; ; ; 5/2; ; ; ; ; ; ; 27/11; ; ; ; ; 5/2; 49/20; 27/11; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-14 22:21:40 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; ; 6/5; 147/100; 7/5; 11/8; 11/8; ; ; 7/5; 11/8; ; ; ; ; ; 23/17; ; ; ; ; 11/8; 11/8; 23/17; ; ; ; 
Forest Green; 9/5; 15/8; ; 2; 189/100; 2; 15/8; 2; ; ; 2; 2; ; ; ; ; ; 9/5; ; ; ; ; 19/10; 9/5; 9/5; ; ; ; 
Draw; 5/2; 23/10; ; 23/10; 66/25; 12/5; 12/5; 23/10; ; ; 5/2; 23/10; ; ; ; ; ; 27/11; ; ; ; ; 5/2; 49/20; 27/11; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-15 02:21:33 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; ; 6/5; 147/100; 7/5; 11/8; 11/8; 23/17; ; 7/5; 11/8; ; ; ; 13/10; ; 13/10; ; ; ; ; 11/8; 11/8; 23/17; ; ; ; 
Forest Green; 9/5; 15/8; ; 2; 189/100; 2; 15/8; 2; 15/8; ; 2; 2; ; ; ; 15/8; ; 9/5; ; ; ; ; 19/10; 9/5; 24/13; ; ; ; 
Draw; 5/2; 23/10; ; 23/10; 66/25; 12/5; 12/5; 23/10; 27/11; ; 5/2; 23/10; ; ; ; 23/10; ; 27/11; ; ; ; ; 5/2; 49/20; 27/11; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-15 10:21:41 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; ; 6/5; 147/100; 7/5; 11/8; 11/8; 23/17; ; 29/20; 7/5; ; ; 6/4; 13/10; 7/5; 23/17; 7/5; ; 23/17; ; 7/5; 11/8; 23/17; ; ; ; 
Forest Green; 9/5; 15/8; ; 2; 189/100; 2; 15/8; 2; 15/8; ; 19/10; 15/8; ; ; 9/5; 9/5; 9/5; 9/5; 9/5; ; 15/8; ; 15/8; 9/5; 24/13; ; ; ; 
Draw; 5/2; 23/10; ; 23/10; 66/25; 12/5; 12/5; 23/10; 27/11; ; 5/2; 12/5; ; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 27/11; ; 5/2; 49/20; 27/11; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-15 14:21:21 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; 16/11; 11/8; 149/100; 29/20; 7/5; 7/5; 23/17; 7/5; 29/20; 7/5; 7/5; 7/5; 11/8; 11/8; 7/5; 23/17; 7/5; 25/19; 23/17; 7/5; 7/5; 11/8; 23/17; ; ; ; 
Forest Green; 9/5; 15/8; 2; 9/5; 103/50; 19/10; 15/8; 15/8; 15/8; 2; 2; 2; 15/8; 39/20; 19/10; 15/8; 9/5; 19/10; 9/5; 30/17; 15/8; 2; 19/10; 39/20; 19/10; ; ; ; 
Draw; 5/2; 23/10; 21/10; 23/10; 59/25; 23/10; 9/4; 23/10; 27/11; 21/10; 12/5; 9/4; 23/10; 21/10; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 9/4; 9/4; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-15 18:24:33 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; 7/5; 11/8; 149/100; 7/5; 7/5; 11/8; 23/17; 7/5; 7/5; 7/5; 23/20; 11/8; 11/8; 11/8; 7/5; 23/17; 7/5; 11/8; 23/17; 7/5; 7/5; 11/8; 7/5; ; ; ; 
Forest Green; 9/5; 2; 2; 9/5; 41/20; 2; 19/10; 2; 15/8; 2; 2; 2; 21/10; 39/20; 19/10; 15/8; 9/5; 19/10; 9/5; 35/19; 15/8; 2; 19/10; 39/20; 19/10; ; ; ; 
Draw; 5/2; 11/5; 21/10; 23/10; 119/50; 23/10; 9/4; 23/10; 27/11; 21/10; 12/5; 11/5; 12/5; 21/10; 12/5; 11/5; 12/5; 9/4; 12/5; 40/17; 27/11; 23/10; 5/2; 9/4; 9/4; ; ; ; 
META; english/league-2/forest-green-v-cambridge; 2018-01-15 22:22:40 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; 7/5; 11/8; 149/100; 7/5; 7/5; 11/8; 23/17; 7/5; 7/5; 7/5; 23/20; 11/8; 11/8; 11/8; 7/5; 23/17; 7/5; 11/8; 23/17; 7/5; 7/5; 11/8; 7/5; ; ; 13/10; 7/5
Forest Green; 9/5; 2; 2; 9/5; 41/20; 2; 19/10; 2; 15/8; 2; 2; 2; 21/10; 39/20; 19/10; 15/8; 9/5; 19/10; 9/5; 35/19; 15/8; 2; 19/10; 39/20; 19/10; ; ; 9/5; 2
Draw; 5/2; 9/4; 21/10; 23/10; 119/50; 23/10; 9/4; 23/10; 27/11; 21/10; 12/5; 11/5; 12/5; 21/10; 12/5; 11/5; 12/5; 9/4; 12/5; 40/17; 27/11; 23/10; 5/2; 9/4; 9/4; ; ; 19/10; 23/10
META; english/league-2/forest-green-v-cambridge; 2018-01-16 02:22:04 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Cambridge; 11/8; 7/5; 7/5; 11/8; 149/100; 29/20; 7/5; 11/8; 23/17; 7/5; 7/5; 7/5; 23/20; 11/8; 11/8; 11/8; 7/5; 23/17; 7/5; 11/8; 23/17; 7/5; 7/5; 11/8; 7/5; ; ; 13/10; 7/5
Forest Green; 9/5; 2; 2; 9/5; 41/20; 19/10; 19/10; 15/8; 15/8; 2; 2; 2; 21/10; 39/20; 19/10; 15/8; 9/5; 19/10; 9/5; 35/19; 15/8; 2; 19/10; 39/20; 19/10; ; ; 9/5; 2
Draw; 5/2; 9/4; 21/10; 23/10; 119/50; 23/10; 9/4; 23/10; 27/11; 21/10; 12/5; 11/5; 12/5; 21/10; 12/5; 11/5; 12/5; 9/4; 12/5; 40/17; 27/11; 23/10; 12/5; 9/4; 9/4; ; ; 19/10; 23/10
META; english/league-2/forest-green-v-cambridge; 2018-01-16 10:22:53 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
