META; english/league-2/grimsby-v-yeovil; 2017-09-10 14:24:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Yeovil; 11/5; 2; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-10 18:23:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; ; ; ; ; 23/20; ; ; ; ; ; 15/13; ; ; ; ; ; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; ; 9/4; 9/4; ; ; ; ; 9/4; ; ; ; ; ; 28/13; ; ; ; ; ; 2; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; ; 12/5; ; ; ; ; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-10 22:23:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; ; ; ; 6/5; 23/20; ; ; ; ; ; 15/13; ; ; ; ; ; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; ; 9/4; 9/4; ; ; ; 9/4; 9/4; ; ; ; ; ; 28/13; ; ; ; ; ; 2; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; 23/10; 12/5; ; ; ; ; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-11 02:23:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; ; ; ; 6/5; 23/20; ; ; 6/5; ; ; 15/13; ; ; ; ; ; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; ; 9/4; 9/4; ; ; ; 9/4; 9/4; ; ; 11/5; ; ; 28/13; ; ; ; ; ; 2; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; 23/10; 12/5; ; ; 12/5; ; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-11 10:23:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; ; ; ; 6/5; 23/20; ; ; 6/5; 6/5; ; 15/13; ; ; ; ; ; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; ; 9/4; 9/4; ; ; ; 9/4; 9/4; ; ; 11/5; 11/5; ; 28/13; ; ; ; ; ; 2; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; 23/10; 12/5; ; ; 12/5; 23/10; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-11 14:23:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; ; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 5/4; 6/5; ; 15/13; ; ; 6/5; ; ; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; ; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 28/13; 11/5; ; 21/10; ; ; 28/13; ; ; 2; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; ; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 40/17; ; ; 27/11; ; ; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-11 18:24:19 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 15/13; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 21/10; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-11 22:24:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 15/13; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 21/10; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-12 02:23:52 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-12 10:23:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-12 14:24:03 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; ; ; ; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; ; ; ; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; ; ; ; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-12 18:24:12 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; 23/20; ; ; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; 43/20; ; ; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; 47/20; ; ; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-12 22:24:01 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; 23/20; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; 43/20; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; 47/20; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-13 02:22:14 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; 23/20; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; ; ; 
Yeovil; 11/5; 2; 43/20; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; ; ; 
Draw; 12/5; 5/2; 47/20; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; ; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-13 10:22:40 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 6/5; 5/4; 23/20; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; ; 6/5; 23/20; ; 23/20; 6/5; 6/5; ; 6/5; ; ; 6/5; ; 6/5; 6/5; ; 9/10; ; 
Yeovil; 11/5; 2; 43/20; ; 9/4; 41/20; 9/4; 9/4; 28/13; ; ; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 28/13; ; ; 28/13; ; 9/4; 2; ; 13/8; ; 
Draw; 12/5; 5/2; 47/20; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 23/10; 12/5; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 12/5; 12/5; ; 9/5; ; 
META; english/league-2/grimsby-v-yeovil; 2017-09-13 14:23:18 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 23/20; 5/4; 23/20; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; ; 23/20; 23/20; 6/5; 5/4; 23/20; 6/5; 6/5; ; 6/5; 5/4; ; 6/5; ; 6/5; 6/5; ; 23/20; 21/20; 
Yeovil; 23/10; 2; 11/5; 11/5; 23/10; 41/20; 9/4; 11/5; 28/13; ; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 11/5; ; 28/13; 119/50; ; 28/13; ; 9/4; 2; ; 2; 9/5; 
Draw; 12/5; 5/2; 9/4; 12/5; 5/2; 11/5; 5/2; 12/5; 27/11; ; 12/5; 23/10; 12/5; 13/5; 23/10; 12/5; 23/10; ; 12/5; 5/2; ; 27/11; ; 5/2; 12/5; ; 23/10; 2; 
META; english/league-2/grimsby-v-yeovil; 2017-09-13 18:22:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 1; 6/5; ; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; ; 11/10; 111/100; 13/12; 6/5; 21/20; 11/10; 11/10; ; 10/9; 10/9; 23/20
Draw; 5/2; 23/10; 11/5; 9/4; 5/2; 11/5; 5/2; 12/5; 27/11; ; 23/10; 11/5; 47/20; 13/5; 23/10; 12/5; 23/10; ; 12/5; 62/25; 23/10; 27/11; 12/5; 12/5; 9/4; ; 23/10; 11/5; 12/5
Yeovil; 13/5; 13/5; 49/20; 12/5; 13/5; 12/5; 5/2; 13/5; 28/13; ; 13/5; 13/5; 5/2; 11/4; 23/10; 5/2; 13/5; ; 12/5; 139/50; 28/13; 28/13; 12/5; 13/5; 5/2; ; 5/2; 23/10; 11/4
META; english/league-2/grimsby-v-yeovil; 2017-09-13 22:22:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 1; 21/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; 11/10; 1; ; 21/20; 1; 10/9
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 12/5; 27/11; ; 23/10; 11/5; 47/20; 13/5; 23/10; 12/5; 23/10; ; 40/17; 62/25; 23/10; 27/11; 12/5; 12/5; 12/5; ; 23/10; 2; 12/5
Yeovil; 13/5; 13/5; 49/20; 12/5; 13/5; 12/5; 5/2; 13/5; 27/11; ; 5/2; 13/5; 5/2; 11/4; 5/2; 5/2; 13/5; 27/11; 28/11; 139/50; 28/13; 27/11; 12/5; 13/5; 5/2; ; 23/10; 23/10; 11/4
META; english/league-2/grimsby-v-yeovil; 2017-09-14 02:22:29 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 21/20; 11/10; 21/20; 11/10; 10/11; 23/20; 1; 21/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 19/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; 11/10; 1; ; 11/10; 21/20; 10/9
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 9/4; 12/5; 12/5; 27/11; ; 23/10; 11/5; 47/20; 13/5; 23/10; 12/5; 12/5; ; 40/17; 62/25; 23/10; 27/11; 12/5; 12/5; 12/5; ; 23/10; 9/4; 12/5
Yeovil; 13/5; 13/5; 49/20; 12/5; 13/5; 13/5; 5/2; 13/5; 27/11; ; 5/2; 13/5; 5/2; 11/4; 5/2; 5/2; 14/5; 27/11; 28/11; 139/50; 28/13; 27/11; 12/5; 13/5; 5/2; ; 12/5; 12/5; 11/4
META; english/league-2/grimsby-v-yeovil; 2017-09-14 10:22:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Grimsby; 1; 11/10; 11/10; 21/20; 11/10; 1; 11/10; 1; 21/20; ; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 28/25; 13/12; 21/20; 21/20; 11/10; 1; ; 11/10; 21/20; 10/9
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 12/5; 27/11; ; 23/10; 11/5; 47/20; 13/5; 23/10; 23/10; 23/10; ; 40/17; 62/25; 23/10; 27/11; 12/5; 12/5; 12/5; ; 23/10; 9/4; 12/5
Yeovil; 13/5; 12/5; 49/20; 12/5; 13/5; 12/5; 5/2; 13/5; 27/11; ; 5/2; 13/5; 5/2; 11/4; 5/2; 13/5; 13/5; 27/11; 28/11; 11/4; 28/13; 27/11; 12/5; 13/5; 5/2; ; 12/5; 12/5; 11/4
META; english/league-2/grimsby-v-yeovil; 2017-09-14 14:22:53 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
