META; english/league-2/luton-v-crawley; 2018-02-10 22:20:19 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 4/9; 4/9; ; 2/5; ; ; 4/9; 2/5; ; ; 4/9; ; ; ; ; 4/9; ; ; ; ; ; 4/9; 21/50; ; ; 1/3; ; 
Draw; 10/3; 10/3; ; 16/5; ; ; 10/3; 10/3; ; ; 7/2; ; ; ; ; 10/3; ; ; ; ; ; 7/2; 10/3; ; ; 27/10; ; 
Crawley; 6; 6; ; 6; ; ; 6; 13/2; ; ; 13/2; ; ; ; ; 6; ; ; ; ; ; 13/2; 13/2; ; ; 23/5; ; 
META; english/league-2/luton-v-crawley; 2018-02-11 02:20:17 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 4/9; 4/9; ; 2/5; ; 4/9; 4/9; 2/5; ; ; 9/20; 4/9; ; ; ; 4/9; ; ; ; ; ; 4/9; 21/50; ; ; 4/9; ; 
Draw; 10/3; 10/3; ; 16/5; ; 7/2; 10/3; 10/3; ; ; 10/3; 10/3; ; ; ; 10/3; ; ; ; ; ; 10/3; 10/3; ; ; 3; ; 
Crawley; 6; 6; ; 6; ; 7; 6; 13/2; ; ; 13/2; 6; ; ; ; 6; ; ; ; ; ; 7; 13/2; ; ; 26/5; ; 
META; english/league-2/luton-v-crawley; 2018-02-11 10:20:24 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 4/9; 4/9; ; 2/5; 1/2; 4/9; 4/9; 2/5; 5/11; ; 9/20; 4/9; ; ; ; 4/9; 5/11; 4/9; ; 5/11; ; 4/9; 21/50; 5/11; ; 4/9; ; 
Draw; 10/3; 10/3; ; 16/5; 7/2; 7/2; 10/3; 10/3; 16/5; ; 10/3; 10/3; ; ; ; 10/3; 33/10; 10/3; ; 16/5; ; 10/3; 10/3; 33/10; ; 3; ; 
Crawley; 6; 6; ; 6; 63/10; 7; 6; 13/2; 6; ; 13/2; 6; ; ; ; 6; 6; 6; ; 6; ; 7; 13/2; 6; ; 26/5; ; 
META; english/league-2/luton-v-crawley; 2018-02-11 14:21:25 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 9/20; 1/2; 1/2; 2/5; 13/25; 40/85; 7/15; 4/9; 5/11; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 1/2; 4/9; ; 5/11; ; 8/15; 12/25; 1/2; ; 4/9; ; 
Draw; 16/5; 16/5; 3; 16/5; 17/5; 7/2; 16/5; 16/5; 16/5; 16/5; 16/5; 3; ; 29/10; 16/5; 16/5; 31/10; 10/3; ; 16/5; ; 16/5; 16/5; 41/13; ; 3; ; 
Crawley; 11/2; 11/2; 6; 6; 61/10; 6; 11/2; 11/2; 6; 11/2; 11/2; 11/2; ; 11/2; 11/2; 11/2; 61/11; 6; ; 6; ; 11/2; 11/2; 61/11; ; 26/5; ; 
META; english/league-2/luton-v-crawley; 2018-02-11 18:21:18 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 9/20; 1/2; 1/2; 2/5; 13/25; 1/2; 7/15; 4/9; 5/11; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 1/2; 4/9; 6/13; 5/11; 1/2; 1/2; 12/25; 1/2; ; 4/9; ; 
