META; english/league-2/morecambe-v-coventry; 2017-12-03 02:22:18 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Morecambe; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/morecambe-v-coventry; 2017-12-03 10:22:29 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Morecambe; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/morecambe-v-coventry; 2017-12-03 14:22:40 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Morecambe; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/morecambe-v-coventry; 2017-12-03 18:21:44 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Morecambe; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; 
META; english/league-2/morecambe-v-coventry; 2017-12-03 22:22:38 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; 1; 10/11; ; ; ; ; 1; 10/11; ; ; 1; ; ; ; ; 1; ; 1; ; ; ; ; 1; 19/20; 1; ; 4/7; ; 
Draw; 13/5; 12/5; ; ; ; ; 5/2; 13/5; ; ; 13/5; ; ; ; ; 13/5; ; 28/11; ; ; ; ; 13/5; 51/20; 28/11; ; 21/10; ; 
Morecambe; 5/2; 14/5; ; ; ; ; 13/5; 11/4; ; ; 13/5; ; ; ; ; 13/5; ; 27/11; ; ; ; ; 27/10; 53/20; 27/11; ; 15/8; ; 
META; english/league-2/morecambe-v-coventry; 2017-12-04 02:22:22 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; 1; 10/11; ; ; ; ; 1; 10/11; 1; ; 1; 1; ; ; ; 1; ; 1; ; ; 1; ; 1; 19/20; 1; ; 4/7; ; 
Draw; 13/5; 12/5; ; ; ; ; 5/2; 13/5; 28/11; ; 5/2; 12/5; ; ; ; 5/2; ; 5/2; ; ; 28/11; ; 13/5; 51/20; 28/11; ; 21/10; ; 
Morecambe; 5/2; 14/5; ; ; ; ; 13/5; 11/4; 28/11; ; 13/5; 14/5; ; ; ; 13/5; ; 27/11; ; ; 28/11; ; 27/10; 53/20; 5/2; ; 19/10; ; 
META; english/league-2/morecambe-v-coventry; 2017-12-04 10:22:24 GMT+2; 2017-12-09 15:00; Nothing; Xlenovo
Coventry; 1; 10/11; ; ; ; ; 1; 10/11; 1; ; 1; 1; ; ; ; 1; 19/20; 1; 109/100; ; 1; ; 1; 19/20; 1; ; 8/11; ; 
Draw; 13/5; 12/5; ; ; ; ; 5/2; 13/5; 28/11; ; 13/5; 12/5; ; ; ; 5/2; 5/2; 28/11; 137/50; ; 28/11; ; 13/5; 51/20; 28/11; ; 21/10; ; 
