META; english/league-2/newport-county-v-lincoln; 2017-12-16 22:21:47 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Lincoln; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Newport County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-17 02:21:44 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Lincoln; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Newport County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-17 10:21:43 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Lincoln; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Newport County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-17 14:21:53 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 6/4; ; ; ; ; ; 8/5; 6/4; ; ; 8/5; ; ; ; ; ; ; ; 177/ 100; ; ; ; ; 31/20; ; ; 5/6; ; 
Lincoln; 17/10; 13/8; ; ; ; ; 13/8; 9/5; ; ; 17/10; ; ; ; ; ; ; ; 17/10; ; ; ; ; 33/20; ; ; 5/6; ; 
Draw; 12/5; 23/10; ; ; ; ; 23/10; 23/10; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; 47/20; ; ; 21/10; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-17 18:22:01 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; ; 7/5; ; ; 6/4; 29/20; 6/4; 16/11; 7/5; 29/20; 7/5; ; 11/8; 6/4; ; ; 7/5; 149/ 100; 17/13; 16/11; 7/5; 7/5; 7/5; 7/5; ; 11/8; ; 
Lincoln; 9/5; 13/8; 2; ; ; 15/8; 9/5; 9/5; 7/4; 19/10; 9/5; 2; ; 19/10; 9/5; ; ; 7/4; 193/ 100; 7/4; 7/4; 15/8; 19/10; 19/10; 7/4; ; 7/4; ; 
Draw; 12/5; 23/10; 11/5; ; ; 12/5; 23/10; 23/10; 27/11; 11/5; 12/5; 11/5; ; 43/20; 23/10; ; ; 9/4; 127/ 50; 23/10; 27/11; 9/4; 12/5; 9/4; 23/10; ; 21/10; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-17 22:22:13 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; ; 6/4; ; ; 6/4; 29/20; 7/5; 16/11; 29/20; 29/20; 6/4; ; 7/5; 6/4; 7/5; ; 16/11; 41/25; 17/13; 16/11; 7/5; 29/20; 7/5; 16/11; ; 11/8; ; 
Lincoln; 9/5; 13/8; 19/10; ; ; 19/10; 9/5; 15/8; 7/4; 19/10; 15/8; 2; ; 37/20; 9/5; 15/8; ; 9/5; 189/ 100; 7/4; 7/4; 15/8; 15/8; 19/10; 9/5; ; 7/4; ; 
Draw; 12/5; 23/10; 21/10; ; ; 23/10; 9/4; 23/10; 27/11; 21/10; 23/10; 21/10; ; 43/20; 23/10; 9/4; ; 9/4; 58/25; 23/10; 27/11; 9/4; 12/5; 9/4; 9/4; ; 21/10; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-18 02:22:08 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; ; 6/4; ; ; 6/4; 29/20; 7/5; 16/11; 29/20; 29/20; 6/4; 6/4; 7/5; 6/4; 7/5; ; 16/11; 77/50; 17/13; 16/11; 7/5; 29/20; 7/5; 16/11; ; 11/8; ; 
Lincoln; 9/5; 13/8; 19/10; ; ; 19/10; 9/5; 15/8; 7/4; 19/10; 15/8; 2; 15/8; 37/20; 9/5; 15/8; ; 9/5; 39/20; 7/4; 7/4; 15/8; 15/8; 19/10; 9/5; ; 7/4; ; 
Draw; 12/5; 23/10; 21/10; ; ; 23/10; 9/4; 23/10; 27/11; 21/10; 23/10; 21/10; 23/10; 43/20; 23/10; 9/4; ; 9/4; 121/ 50; 23/10; 27/11; 9/4; 12/5; 9/4; 9/4; ; 21/10; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-18 10:22:07 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 7/5; 16/11; 6/4; 29/20; 6/4; 7/5; 7/5; 7/5; 7/5; 16/11; 7/5; 77/50; 17/13; 16/11; 7/5; 6/4; 7/5; 16/11; ; 11/8; ; 
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 7/4; 19/10; 15/8; 2; 15/8; 37/20; 2; 19/10; 24/13; 24/13; 51/25; 7/4; 7/4; 15/8; 19/10; 19/10; 24/13; ; 7/4; ; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 23/10; 27/11; 21/10; 23/10; 21/10; 23/10; 43/20; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 27/11; 9/4; 23/10; 9/4; 11/5; ; 21/10; ; 
META; english/league-2/newport-county-v-lincoln; 2017-12-18 14:22:10 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 7/5; 31/21; 6/4; 29/20; 6/4; 31/20; 7/5; 7/5; 7/5; 16/11; 16/11; 77/50; 17/13; 31/21; 7/5; 29/20; 7/5; 16/11; ; 7/5; 7/5; 
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 2; 17/10; 37/20; 2; 19/10; 24/13; 24/13; 51/25; 7/4; 15/8; 15/8; 15/8; 19/10; 19/10; ; 7/4; 13/8; 
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 43/20; 11/5; 9/4; 9/4; 28/13; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 
META; english/league-2/newport-county-v-lincoln; 2017-12-18 18:22:56 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 7/5; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 29/20; 7/5; 16/11; ; 7/5; 7/5; 6/4
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 19/10; 17/10; 37/20; 2; 19/10; 24/13; 24/13; 51/25; 12/7; 15/8; 15/8; 15/8; 19/10; 24/13; ; 7/4; 17/10; 2
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-18 22:22:57 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 7/5; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 29/20; 7/5; 16/11; ; 7/5; 7/5; 6/4
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 19/10; 17/10; 37/20; 2; 19/10; 24/13; 24/13; 51/25; 12/7; 15/8; 15/8; 15/8; 19/10; 24/13; ; 7/4; 17/10; 2
Draw; 12/5; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-19 02:22:59 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 7/5; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 29/20; 7/5; 16/11; ; 7/5; 7/5; 6/4
