META; english/league-2/newport-county-v-notts-county; 2018-02-11 02:20:50 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-notts-county; 2018-02-11 10:20:58 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-notts-county; 2018-02-11 14:22:00 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Notts County; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Newport County; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/newport-county-v-notts-county; 2018-02-11 18:21:52 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Newport County; 8/5; 13/8; ; ; ; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; 17/11; ; ; ; ; 13/8; 8/5; 17/11; ; 5/6; ; 
Notts County; 8/5; 8/5; ; ; ; ; 13/8; 17/10; ; ; 17/10; ; ; ; ; ; 17/11; ; ; ; ; 17/10; 8/5; 17/11; ; 5/6; ; 
Draw; 12/5; 23/10; ; ; ; ; 23/10; 9/4; ; ; 23/10; ; ; ; ; ; 23/10; ; ; ; ; 12/5; 47/20; 23/10; ; 17/10; ; 
META; english/league-2/newport-county-v-notts-county; 2018-02-11 22:21:39 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Newport County; 8/5; 13/8; ; ; ; 13/8; 8/5; 8/5; ; ; 13/8; 13/8; ; ; ; 8/5; 17/11; ; ; ; ; 17/10; 8/5; 17/11; ; 6/4; ; 
