META; english/league-2/wycombe-v-barnet; 2017-09-24 02:24:17 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Wycombe; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-barnet; 2017-09-24 10:24:16 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Wycombe; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-barnet; 2017-09-24 14:24:19 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Wycombe; ; 11/10; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/wycombe-v-barnet; 2017-09-24 18:24:15 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Wycombe; 11/10; 11/10; ; ; 11/10; ; 23/20; 11/10; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; 21/20; ; ; ; 
Draw; 9/4; 23/10; ; ; 9/4; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 23/10; ; ; ; 
Barnet; 5/2; 23/10; ; ; 13/5; ; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; ; 51/20; ; ; ; 
META; english/league-2/wycombe-v-barnet; 2017-09-24 22:24:14 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
