META; english/league-2/yeovil-v-cheltenham; 2017-09-02 02:24:23 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-02 10:24:27 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-02 14:24:57 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-02 18:24:32 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-02 22:24:41 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Yeovil; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Cheltenham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-03 02:23:16 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Yeovil; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Cheltenham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-03 10:23:02 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Yeovil; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Cheltenham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/yeovil-v-cheltenham; 2017-09-03 14:23:06 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Yeovil; 6/4; 7/5; ; ; ; ; 6/4; 7/5; ; ; ; ; 6/4; 6/4; 7/5; ; ; ; ; 31/20; ; ; ; 6/4; 7/5; ; 11/8; ; 
Cheltenham; 13/8; 9/5; ; ; ; ; 7/4; 9/5; ; ; ; ; 33/20; 9/5; 9/5; ; ; ; ; 15/8; ; ; ; 13/8; 7/4; ; 13/8; ; 
