META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-18 22:22:27 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; ; 4/6; ; ; 4/5; ; ; ; 4/5; ; ; ; ; 8/11; ; 4/5; ; ; ; ; 3/4; 4/5; 4/5; ; 1/2; ; 
Draw; 14/5; 12/5; ; 11/4; ; ; 11/4; ; ; ; 13/5; ; ; ; ; 13/5; ; 11/4; ; ; ; ; 14/5; 14/5; 14/5; ; 17/10; ; 
Guiseley; 3; 16/5; ; 10/3; ; ; 3; ; ; ; 16/5; ; ; ; ; 3; ; 3; ; ; ; ; 33/10; 3; 3; ; 13/8; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-19 02:23:43 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; ; 4/6; ; ; 3/4; ; ; ; 4/5; 3/4; ; ; ; 8/11; ; 10/13; ; ; ; ; 3/4; 4/5; 10/13; ; 8/13; ; 
Draw; 14/5; 12/5; ; 11/4; ; ; 11/4; ; ; ; 13/5; 5/2; ; ; ; 13/5; ; 14/5; ; ; ; ; 14/5; 14/5; 14/5; ; 9/4; ; 
Guiseley; 3; 16/5; ; 10/3; ; ; 3; ; ; ; 16/5; 3; ; ; ; 3; ; 58/19; ; ; ; ; 10/3; 3; 58/19; ; 6/4; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-19 10:23:50 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; ; 4/6; ; ; 3/4; ; ; ; 4/5; 3/4; ; ; ; 8/11; ; 10/13; ; ; ; ; 3/4; 4/5; 10/13; ; 8/13; ; 
Draw; 14/5; 12/5; ; 11/4; ; ; 11/4; ; ; ; 13/5; 5/2; ; ; ; 13/5; ; 14/5; ; ; ; ; 14/5; 14/5; 14/5; ; 9/5; ; 
Guiseley; 3; 16/5; ; 10/3; ; ; 3; ; ; ; 16/5; 3; ; ; ; 3; ; 58/19; ; ; ; ; 10/3; 3; 58/19; ; 19/10; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-19 14:23:56 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 4/6; 31/40; ; 3/4; ; ; ; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 9/10; ; ; ; 4/5; 10/13; 10/13; ; 4/6; ; 
Draw; 14/5; 11/4; 13/5; 11/4; 13/5; ; 11/4; ; ; ; 13/5; 12/5; ; 5/2; 13/5; 13/5; 13/5; 11/4; 139/50; ; ; ; 14/5; 53/20; 14/5; ; 19/10; ; 
Guiseley; 3; 7/2; 16/5; 10/3; 14/5; ; 3; ; ; ; 16/5; 16/5; ; 31/10; 16/5; 3; 14/5; 58/19; 13/4; ; ; ; 16/5; 10/3; 31/10; ; 14/5; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-19 18:23:48 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 5/6; 31/40; ; 4/5; ; 10/13; 3/4; 4/5; 3/4; ; 3/4; 4/5; 4/5; 3/4; 10/13; 9/10; 11/14; 10/13; ; 3/4; 10/13; 10/13; ; 4/6; 4/6; 
Draw; 14/5; 29/10; 13/5; 13/5; 13/5; ; 13/5; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 139/50; 27/10; 13/5; ; 29/10; 11/4; 11/4; ; 12/5; 11/5; 
Guiseley; 3; 10/3; 16/5; 16/5; 14/5; ; 16/5; ; 31/10; 16/5; 16/5; 14/5; ; 31/10; 16/5; 3; 14/5; 16/5; 13/4; 27/10; 31/10; ; 33/10; 16/5; 16/5; ; 14/5; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-19 22:24:13 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 5/6; 31/40; ; 3/4; ; 10/13; 3/4; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 81/100; 11/14; 10/13; ; 3/4; 10/13; 10/13; ; 4/6; 4/6; 
Draw; 14/5; 29/10; 13/5; 13/5; 13/5; ; 11/4; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 149/50; 27/10; 13/5; ; 29/10; 11/4; 11/4; ; 12/5; 11/5; 
