META; english/non-league/national-league/bromley-v-tranmere; 2017-09-24 02:24:25 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-24 10:24:24 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-24 14:24:27 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-24 18:24:23 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 1; ; ; 23/20; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; 11/10; 23/20; ; ; ; 
Draw; 12/5; 23/10; ; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 119/50; ; ; ; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 13/5; ; ; 23/10; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-24 22:24:22 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
