META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 02:24:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 10:24:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 14:24:32 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 18:24:28 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 4/7; ; ; 1/2; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; ; 8/15; ; ; ; ; 
