META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-23 14:25:22 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 10/11; ; ; 5/6; ; ; 20/23; ; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; 9/10; ; ; 1/2; ; 
Draw; 12/5; ; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; 12/5; ; ; 17/10; ; 
Bromley; 3; ; ; 3; ; ; 29/10; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 3; ; ; 7/5; ; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-23 18:24:32 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 10/11; ; ; 5/6; 51/50; ; 9/10; ; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; 9/10; ; 9/10; ; ; 8/11; ; 
Draw; 12/5; ; ; 23/10; 63/25; ; 12/5; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 12/5; ; 12/5; ; ; 7/4; ; 
Bromley; 3; ; ; 3; 61/20; ; 29/10; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 3; ; 3; ; ; 21/10; ; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-23 22:23:48 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 10/11; 10/11; ; 10/11; 51/50; 17/20; 10/11; ; ; ; ; ; ; ; ; 17/20; ; ; ; ; ; 9/10; 10/11; 9/10; ; ; 8/11; 8/11; 
Draw; 12/5; 12/5; ; 5/2; 63/25; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; 12/5; ; ; 2; 19/10; 
Bromley; 3; 14/5; ; 3; 61/20; 29/10; 29/10; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 3; 31/10; 3; ; ; 13/5; 5/2; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-24 02:24:02 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 10/11; 10/11; ; 10/11; 51/50; 17/20; 9/10; ; ; ; ; ; ; ; ; 17/20; ; 13/15; ; ; ; 9/10; 10/11; 9/10; 10/11; ; 8/11; 8/11; 
Draw; 12/5; 12/5; ; 5/2; 63/25; 23/10; 12/5; ; ; ; ; ; ; ; ; 23/10; ; 12/5; ; ; ; 12/5; 12/5; 12/5; 12/5; ; 21/10; 2; 
Bromley; 3; 14/5; ; 3; 61/20; 29/10; 29/10; ; ; ; ; ; ; ; ; 14/5; ; 3; ; ; ; 3; 31/10; 3; 3; ; 13/5; 5/2; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-24 10:23:53 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 10/11; 1; 10/11; 109/ 100; 9/10; 20/21; ; 19/20; 1; 20/21; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 1; 19/20; 1; 1; 19/20; 1; ; 5/6; 4/5; 
Draw; 23/10; 12/5; 9/4; 5/2; 61/25; 23/10; 23/10; ; 23/10; 9/4; 23/10; 21/10; ; 11/5; 12/5; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; 47/20; 40/17; ; 11/5; 2; 
Bromley; 14/5; 14/5; 13/5; 3; 29/10; 11/4; 11/4; ; 45/17; 13/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; 14/5; 11/4; 14/5; 40/17; 45/17; 14/5; 11/4; 57/20; 14/5; ; 12/5; 5/2; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-24 14:24:02 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 10/11; 1; 10/11; 27/25; 19/20; 1; ; 19/20; 1; 20/21; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 1; 19/20; 1; 1; 1; 1; ; 10/11; 20/21; 
Draw; 23/10; 23/10; 9/4; 5/2; 127/ 50; 9/4; 23/10; ; 23/10; 9/4; 23/10; 21/10; ; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; 11/5; 
Bromley; 14/5; 14/5; 5/2; 3; 141/ 50; 27/10; 13/5; ; 45/17; 5/2; 11/4; 13/5; ; 5/2; 13/5; 13/5; 14/5; 5/2; 14/5; 40/17; 45/17; 13/5; 11/4; 53/20; 28/11; ; 14/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-24 18:23:57 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 10/11; 1; 10/11; 27/25; 19/20; 1; ; 19/20; 1; 20/21; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 1; 19/20; 1; 1; 1; 1; ; 10/11; 20/21; 
Draw; 23/10; 23/10; 9/4; 5/2; 127/ 50; 9/4; 23/10; ; 23/10; 9/4; 23/10; 21/10; ; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 12/5; ; 9/4; 11/5; 
Bromley; 14/5; 14/5; 13/5; 3; 141/ 50; 27/10; 13/5; ; 45/17; 13/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; 14/5; 5/2; 14/5; 28/11; 45/17; 13/5; 11/4; 53/20; 28/11; ; 14/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-24 22:24:00 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 1; 1; 10/11; 27/25; 19/20; 1; ; 19/20; 1; 20/21; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 1; 19/20; 1; 1; 1; 1; ; 10/11; 20/21; 
Draw; 23/10; 23/10; 9/4; 5/2; 127/ 50; 9/4; 23/10; ; 23/10; 9/4; 23/10; 21/10; ; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 12/5; ; 9/4; 11/5; 
Bromley; 14/5; 13/5; 13/5; 3; 141/ 50; 27/10; 13/5; ; 45/17; 13/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; 14/5; 5/2; 14/5; 28/11; 45/17; 13/5; 11/4; 53/20; 28/11; ; 14/5; 11/4; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-25 02:24:03 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 1; 1; 10/11; 107/ 100; 19/20; 1; ; 19/20; 1; 1; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 1; 19/20; 1; 1; 1; 1; ; 20/21; 10/11; 
Draw; 23/10; 23/10; 23/10; 5/2; 64/25; 23/10; 23/10; ; 23/10; 23/10; 23/10; 12/5; ; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 12/5; ; 9/4; 21/10; 
Bromley; 14/5; 13/5; 5/2; 3; 141/ 50; 13/5; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 5/2; 5/2; 14/5; 5/2; 14/5; 28/11; 45/17; 13/5; 27/10; 53/20; 28/11; ; 14/5; 13/5; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-25 10:24:05 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 1; 1; 10/11; 53/50; 19/20; 1; ; 19/20; 1; 1; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 30/29; 19/20; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 23/10; 23/10; 23/10; 5/2; 13/5; 23/10; 12/5; ; 23/10; 23/10; 23/10; 12/5; ; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 12/5; ; 23/10; 11/5; 
Bromley; 14/5; 13/5; 5/2; 3; 141/ 50; 13/5; 13/5; ; 45/17; 5/2; 13/5; 12/5; ; 5/2; 5/2; 5/2; 14/5; 5/2; 14/5; 27/11; 45/17; 13/5; 27/10; 53/20; 28/11; ; 14/5; 27/10; 
META; english/non-league/national-league/ebbsfleet-united-v-bromley; 2017-12-25 14:24:07 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Ebbsfleet United; 1; 19/20; 1; 10/11; 53/50; 19/20; 1; ; 19/20; 1; 1; 20/21; ; 1; 1; 19/20; 11/13; 1; 11/13; 30/29; 19/20; 1; 1; 1; 1; ; 1; 20/21; 
Draw; 23/10; 23/10; 23/10; 5/2; 13/5; 23/10; 12/5; ; 23/10; 23/10; 23/10; 12/5; ; 23/10; 5/2; 23/10; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 12/5; 12/5; 27/11; ; 23/10; 11/5; 
