META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 02:24:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 10:24:42 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 14:24:52 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 18:24:02 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 23/10; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 22:24:43 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; ; 11/10; ; ; ; 11/10; ; ; ; ; 11/10; ; ; ; ; ; ; 11/10; ; ; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 23/10; ; 11/5; ; ; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; 12/5; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; 12/5; ; ; ; 21/10; ; ; ; ; 23/10; ; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-16 02:24:28 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; ; 11/10; 10/11; ; ; 11/10; ; ; ; ; 11/10; ; ; ; ; ; ; 11/10; ; ; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 23/10; ; 11/5; 23/10; ; ; 9/4; ; ; ; ; 9/4; ; ; ; ; ; ; 12/5; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; 12/5; 23/10; ; ; 21/10; ; ; ; ; 23/10; ; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-16 10:24:22 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; 41/40; 11/10; 10/11; 24/23; ; 11/10; ; ; ; ; 11/10; 1; 1; ; ; 24/23; ; 11/10; ; 1; ; ; ; 
