META; english/non-league/national-league/halifax-v-barrow; 2017-11-25 22:21:41 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-26 02:21:32 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-26 10:21:28 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barrow; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/halifax-v-barrow; 2017-11-26 14:21:40 GMT+2; 2017-12-02 15:00; Nothing; Xlenovo
Halifax; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 13/10; 13/10; ; ; ; ; 
Barrow; 2; 9/5; ; ; ; ; 15/8; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 2; 19/10; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 12/5; 49/20; ; ; ; ; 
