META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 18:22:42 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 22:22:22 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-19 02:22:19 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 7/5; ; ; ; ; 11/8; ; ; ; ; ; 7/5; ; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 7/4; ; ; ; ; 17/10; ; ; ; ; ; 9/5; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 23/10; ; ; ; ; 23/10; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-19 10:22:18 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 7/5; 11/8; ; ; ; 11/8; ; 23/17; ; ; ; 7/5; ; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 7/4; 7/4; ; ; ; 17/10; ; 7/4; ; ; ; 9/5; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 23/10; 21/10; ; ; ; 9/4; ; 23/10; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-19 14:22:53 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 29/20; 11/8; ; ; ; 11/8; ; 23/17; ; ; 7/5; 7/5; ; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 17/10; 7/4; ; ; ; 17/10; ; 7/4; ; ; 7/4; 9/5; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 23/10; 21/10; ; ; ; 9/4; ; 23/10; ; ; 5/2; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-19 18:22:53 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; ; ; ; ; ; 11/8; ; ; ; 6/4; 11/8; ; 7/5; ; 7/5; ; 23/17; ; ; 7/5; 29/20; 11/8; ; ; ; ; 
Hartlepool; 7/4; ; ; ; ; ; 17/10; ; ; ; 17/10; 7/4; ; 37/20; ; 17/10; ; 7/4; ; ; 7/4; 7/4; 7/4; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; 9/4; 21/10; ; 43/20; ; 11/5; ; 23/10; ; ; 5/2; 12/5; 5/2; ; ; ; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-19 22:22:55 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; 7/5; ; ; ; ; 11/8; ; ; ; 7/5; 13/10; ; 7/5; ; 11/8; 23/17; 23/17; ; ; 7/5; 29/20; 11/8; 23/17; ; ; ; 
Hartlepool; 7/4; 9/5; ; ; ; ; 17/10; ; ; ; 7/4; 7/4; ; 37/20; ; 17/10; 28/17; 7/4; ; ; 7/4; 9/5; 7/4; 17/10; ; ; ; 
