META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-16 22:22:07 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-17 02:22:04 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-17 10:22:11 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-17 14:22:22 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 11/10; 1; ; ; ; ; 21/20; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; 21/20; 21/20; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; 
Solihull Moors; 12/5; 13/5; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 5/2; 13/5; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-17 18:22:29 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 11/10; 1; ; ; ; 1; 21/20; ; 21/20; ; 21/20; 21/20; ; ; ; ; ; 21/20; ; ; 21/20; 21/20; 21/20; 21/20; 21/20; ; ; ; 
Draw; 12/5; 23/10; ; ; ; 23/10; 23/10; ; 9/4; ; 9/4; 21/10; ; ; ; ; ; 9/4; ; ; 9/4; 12/5; 12/5; 47/20; 23/10; ; ; ; 
Solihull Moors; 12/5; 13/5; ; ; ; 12/5; 12/5; ; 40/17; ; 5/2; 12/5; ; ; ; ; ; 23/10; ; ; 40/17; 5/2; 13/5; 51/20; 40/17; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-17 22:23:10 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 11/10; 1; ; ; ; 1; 21/20; ; 21/20; ; 21/20; 21/20; ; ; ; 21/20; ; 21/20; ; ; 21/20; 21/20; 21/20; 21/20; 21/20; ; ; ; 
Draw; 12/5; 23/10; ; ; ; 23/10; 9/4; ; 9/4; ; 9/4; 21/10; ; ; ; 11/5; ; 9/4; ; ; 9/4; 12/5; 12/5; 47/20; 23/10; ; ; ; 
Solihull Moors; 12/5; 13/5; ; ; ; 12/5; 12/5; ; 40/17; ; 5/2; 12/5; ; ; ; 12/5; ; 23/10; ; ; 40/17; 5/2; 13/5; 51/20; 40/17; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-18 02:23:06 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 11/10; 1; ; ; ; 1; 21/20; ; 21/20; ; 21/20; 21/20; ; ; ; 21/20; ; 21/20; ; ; 21/20; 21/20; 11/10; 21/20; 21/20; ; ; ; 
Draw; 12/5; 23/10; ; ; ; 23/10; 23/10; ; 9/4; ; 9/4; 21/10; ; ; ; 11/5; ; 9/4; ; ; 9/4; 12/5; 23/10; 47/20; 23/10; ; ; ; 
Solihull Moors; 12/5; 13/5; ; ; ; 12/5; 12/5; ; 40/17; ; 5/2; 12/5; ; ; ; 12/5; ; 23/10; ; ; 40/17; 5/2; 13/5; 51/20; 40/17; ; ; ; 
