META; english/non-league/national-league/torquay-v-bromley; 2018-01-13 22:21:46 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-14 02:21:53 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-14 10:21:55 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bromley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-14 14:22:14 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 11/8; 13/10; ; ; ; 13/10; 13/10; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; 
Bromley; 15/8; 21/10; ; ; ; 9/5; 15/8; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; 11/5; 9/4; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-14 18:22:26 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 11/8; 13/10; ; 5/4; ; 13/10; 13/10; ; 11/8; ; 13/10; ; ; ; ; ; ; 13/10; ; ; 11/8; ; 11/8; ; 23/17; ; ; ; 
Bromley; 15/8; 21/10; ; 15/8; ; 15/8; 15/8; ; 17/10; ; 19/10; ; ; ; ; ; ; 7/4; ; ; 17/10; ; 2; ; 7/4; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 11/5; 9/4; ; 40/17; ; 9/4; ; ; ; ; ; ; 23/10; ; ; 40/17; ; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-14 22:22:19 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 11/8; 13/10; ; 5/4; ; 13/10; 13/10; ; 11/8; ; 13/10; ; ; ; ; ; ; 13/10; ; ; 11/8; ; 11/8; ; 23/17; ; ; ; 
Bromley; 15/8; 21/10; ; 15/8; ; 15/8; 15/8; ; 17/10; ; 19/10; ; ; ; ; ; ; 7/4; ; ; 17/10; ; 19/10; ; 7/4; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 11/5; 9/4; ; 40/17; ; 9/4; ; ; ; ; ; ; 23/10; ; ; 40/17; ; 12/5; ; 23/10; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-15 02:22:13 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 11/8; 13/10; ; 5/4; ; 13/10; 13/10; ; 11/8; ; 13/10; 13/10; ; ; ; 13/10; ; 13/10; ; ; 11/8; ; 11/8; ; 23/17; ; ; ; 
Bromley; 15/8; 21/10; ; 15/8; ; 15/8; 15/8; ; 17/10; ; 19/10; 9/5; ; ; ; 9/5; ; 7/4; ; ; 17/10; ; 19/10; ; 7/4; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 11/5; 9/4; ; 40/17; ; 9/4; 21/10; ; ; ; 11/5; ; 23/10; ; ; 40/17; ; 12/5; ; 23/10; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-15 10:22:21 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 11/8; 13/10; ; 5/4; ; 13/10; 13/10; ; 11/8; ; 13/10; 13/10; ; ; ; 13/10; 23/17; 13/10; 23/17; ; 11/8; ; 11/8; ; 13/10; ; ; ; 
Bromley; 15/8; 21/10; ; 15/8; ; 9/5; 15/8; ; 17/10; ; 15/8; 9/5; ; ; ; 9/5; 9/5; 7/4; 9/5; ; 17/10; ; 19/10; ; 7/4; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 11/5; 23/10; ; 40/17; ; 23/10; 21/10; ; ; ; 9/4; 9/4; 23/10; 9/4; ; 40/17; ; 12/5; ; 23/10; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-15 14:22:00 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 6/4; 13/10; ; 5/4; 33/20; 7/5; 13/10; ; 11/8; ; 6/4; 13/8; ; ; ; 13/10; 23/17; 7/5; 23/17; 20/13; 11/8; 6/4; 6/4; 31/20; 7/5; ; ; ; 
Bromley; 17/10; 21/10; ; 15/8; 7/4; 17/10; 15/8; ; 17/10; ; 17/10; 29/20; ; ; ; 7/4; 9/5; 28/17; 9/5; 31/21; 17/10; 13/8; 7/4; 33/20; 28/17; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; 63/25; 11/5; 23/10; ; 40/17; ; 11/5; 21/10; ; ; ; 9/4; 9/4; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; 23/10; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-15 18:25:29 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 13/8; 13/8; ; 8/5; 169/100; 6/4; 6/4; ; 11/8; ; 6/4; 6/4; ; ; 13/8; 6/4; 23/17; 6/4; 23/17; 53/35; 11/8; 13/8; 8/5; 8/5; 17/11; ; ; ; 
Bromley; 31/20; 13/8; ; 8/5; 7/4; 13/8; 8/5; ; 17/10; ; 17/10; 8/5; ; ; 13/8; 6/4; 9/5; 8/5; 9/5; 31/21; 17/10; 13/8; 13/8; 13/8; 8/5; ; ; ; 
Draw; 12/5; 23/10; ; 21/10; 61/25; 11/5; 11/5; ; 40/17; ; 11/5; 21/10; ; ; 9/4; 21/10; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 23/10; 23/10; 23/10; ; ; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-15 22:23:27 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 6/4; 13/8; ; 8/5; 42/25; 6/4; 6/4; ; 11/8; ; 6/4; 6/4; ; ; 13/8; 6/4; 23/17; 6/4; 23/17; 16/11; 11/8; 13/8; 31/20; 8/5; 17/11; ; 11/8; ; 
Bromley; 17/10; 13/8; ; 8/5; 44/25; 13/8; 13/8; ; 17/10; ; 17/10; 8/5; ; ; 13/8; 8/5; 9/5; 8/5; 9/5; 20/13; 17/10; 13/8; 17/10; 13/8; 28/17; ; 7/5; ; 
Draw; 12/5; 23/10; ; 21/10; 49/20; 11/5; 11/5; ; 40/17; ; 11/5; 21/10; ; ; 9/4; 21/10; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 12/5; 23/10; 9/4; ; 19/10; ; 
META; english/non-league/national-league/torquay-v-bromley; 2018-01-16 02:22:47 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Torquay; 6/4; 13/8; ; 8/5; 42/25; 6/4; 6/4; ; 11/8; ; 6/4; 6/4; ; ; 13/8; 6/4; 23/17; 6/4; 23/17; 16/11; 11/8; 13/8; 8/5; 8/5; 17/11; ; 11/8; ; 
Bromley; 17/10; 13/8; ; 8/5; 44/25; 13/8; 13/8; ; 17/10; ; 17/10; 8/5; ; ; 13/8; 8/5; 9/5; 8/5; 9/5; 20/13; 17/10; 13/8; 17/10; 13/8; 28/17; ; 7/5; ; 
Draw; 12/5; 23/10; ; 21/10; 49/20; 11/5; 11/5; ; 40/17; ; 11/5; 21/10; ; ; 9/4; 21/10; 9/4; 9/4; 9/4; 40/17; 40/17; 23/10; 23/10; 23/10; 9/4; ; 21/10; ; 
