META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-05 02:23:33 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Dagenham & Redbridge; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-05 10:23:43 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Dagenham & Redbridge; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-05 14:23:14 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 1; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; ; 8/15; ; 
Draw; 23/10; 9/4; ; ; ; ; 11/5; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 21/10; ; 
Dagenham & Redbridge; 11/4; 12/5; ; ; ; ; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; 23/20; ; 
META; english/non-league/national-league/tranmere-v-dagenham-redbridge; 2017-11-05 18:23:40 GMT+2; 2017-11-11 15:00; Nothing; Xlenovo
Tranmere; 1; 1; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; ; ; 8/15; ; 
