META; english/premier-league/arsenal-v-everton; 2018-01-20 14:18:58 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 23/50; ; 2/5; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 4/9; ; 4/11; ; 1/4; ; 
Draw; ; ; ; ; 77/20; ; 15/4; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 2; ; 
Everton; ; ; ; ; 7; ; 7; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 7; ; 15/2; ; 7/2; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-20 18:17:57 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 23/50; ; 2/5; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 4/9; ; 4/11; ; 2/7; ; 
Draw; ; ; ; ; 77/20; ; 15/4; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 5/2; ; 
Everton; ; ; ; ; 7; ; 7; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 7; ; 15/2; ; 9/2; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-20 22:17:37 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; 2/5; 2/5; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 4/11; ; 
Draw; ; ; ; ; 4; 4; 15/4; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 3; ; 
Everton; ; ; ; ; 8; 15/2; 15/2; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 7; ; 15/2; ; 31/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-21 02:17:33 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; 2/5; 2/5; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 3/10; ; 
Draw; ; ; ; ; 4; 4; 15/4; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 3; ; 
Everton; ; ; ; ; 8; 15/2; 15/2; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 7; ; 15/2; ; 31/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-21 10:17:26 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 21/50; 2/5; 2/5; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 2/5; ; ; 2/5; ; 4/11; ; 3/10; ; 
Draw; ; ; ; ; 4; 4; 15/4; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 15/4; ; ; 19/5; ; 15/4; ; 3; ; 
Everton; ; ; ; ; 8; 15/2; 15/2; 7; ; ; ; ; ; ; ; ; 7; ; 7; ; ; 7; ; 15/2; ; 31/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-21 14:17:25 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 1/3; 4/11; ; ; 37/ 100; 1/3; 4/11; 1/3; ; ; ; ; ; ; ; 4/11; 2/5; 1/3; 2/5; ; ; 2/5; 4/11; 1/3; 3/10; 1/3; ; 
Draw; 4; 4; ; ; 9/2; 9/2; 4; 9/2; ; ; ; ; ; ; ; 9/2; 15/4; 77/19; 15/4; ; ; 17/4; 17/4; 4; 24/5; 7/2; ; 
Everton; 8; 7; ; ; 44/5; 8; 15/2; 15/2; ; ; ; ; ; ; ; 8; 7; 31/4; 7; ; ; 15/2; 17/2; 17/2; 29/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-21 18:17:24 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 1/3; 4/11; ; ; 2/5; 1/3; 7/20; 1/3; ; ; ; 4/11; ; ; 4/11; 4/11; 2/5; 1/3; 2/5; ; ; 2/5; 4/11; 1/3; 1/3; 1/3; ; 
Draw; 4; 4; ; ; 43/10; 9/2; 4; 9/2; ; ; ; 15/4; ; ; 4; 9/2; 15/4; 77/19; 15/4; ; ; 17/4; 4; 4; 41/10; 7/2; ; 
Everton; 8; 7; ; ; 8; 8; 15/2; 15/2; ; ; ; 15/2; ; ; 15/2; 8; 7; 31/4; 7; ; ; 15/2; 9; 17/2; 31/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-21 22:17:14 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 1/3; 4/11; ; ; 19/50; 4/11; 4/11; 1/3; 6/17; ; ; 4/11; ; ; 4/11; 4/11; 4/11; 4/11; 4/11; 1/3; 6/17; 2/5; 4/11; 1/3; 4/11; 1/3; ; 
Draw; 4; 4; ; ; 23/5; 4; 4; 4; 75/19; ; ; 15/4; ; ; 4; 9/2; 4; 15/4; 4; 4; 39/10; 17/4; 4; 4; 19/5; 7/2; ; 
Everton; 8; 7; ; ; 8; 9; 15/2; 17/2; 31/4; ; ; 15/2; ; ; 15/2; 8; 15/2; 29/4; 15/2; 34/5; 15/2; 15/2; 9; 17/2; 29/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-22 02:17:16 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 1/3; 4/11; ; ; 19/50; 4/11; 4/11; 1/3; 6/17; ; ; 4/11; ; ; 4/11; 4/11; 4/11; 4/11; 4/11; 1/3; 6/17; 2/5; 1/3; 1/3; 4/11; 1/3; ; 
Draw; 4; 4; ; ; 23/5; 4; 4; 4; 75/19; ; ; 15/4; ; ; 4; 9/2; 4; 15/4; 4; 4; 39/10; 17/4; 21/5; 4; 19/5; 7/2; ; 
Everton; 8; 7; ; ; 8; 9; 15/2; 17/2; 31/4; ; ; 15/2; ; ; 15/2; 8; 15/2; 29/4; 15/2; 34/5; 15/2; 15/2; 19/2; 17/2; 29/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-22 10:17:07 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 1/3; 4/11; ; ; 19/50; 4/11; 4/11; 1/3; 6/17; ; ; 4/11; ; ; 4/11; 4/11; 4/11; 4/11; 4/11; 1/3; 6/17; 2/5; 1/3; 1/3; 4/11; 1/3; ; 
Draw; 4; 4; ; ; 23/5; 4; 4; 4; 75/19; ; ; 15/4; ; ; 4; 9/2; 4; 15/4; 4; 4; 39/10; 17/4; 21/5; 4; 19/5; 7/2; ; 
Everton; 8; 7; ; ; 8; 9; 15/2; 17/2; 31/4; ; ; 7; ; ; 15/2; 8; 15/2; 29/4; 15/2; 34/5; 15/2; 15/2; 19/2; 8; 29/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-22 14:17:04 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 3/10; 1/3; ; 7/20; 9/25; 1/3; 7/20; 1/3; 6/17; ; ; 1/3; ; 7/20; 7/20; 1/3; 4/11; 10/29; 4/11; 1/3; 6/17; 1/3; 1/3; 3/10; 10/29; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 47/10; 9/2; 4; 4; 75/19; ; ; 4; ; 4; 4; 9/2; 4; 39/10; 4; 4; 39/10; 17/4; 17/4; 17/4; 75/19; 7/2; ; 
Everton; 9; 17/2; ; 8; 17/2; 19/2; 8; 9; 31/4; ; ; 17/2; ; 8; 8; 9; 15/2; 31/4; 15/2; 34/5; 15/2; 8; 10; 17/2; 31/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-22 18:17:06 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 3/10; 1/3; ; 7/20; 9/25; 1/3; 1/3; 3/10; 6/17; ; ; 1/3; ; 7/20; 1/3; 1/3; 1/3; 3/10; 1/3; 1/3; 6/17; 1/3; 1/3; 3/10; 3/10; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 9/2; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 21/5; 7/2; ; 
Everton; 9; 17/2; ; 8; 89/10; 10; 9; 9; 31/4; ; ; 17/2; ; 8; 8; 9; 17/2; 35/4; 17/2; 34/5; 15/2; 17/2; 10; 9; 35/4; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-22 22:17:06 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 1/3; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 1/3; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 9/2; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 10; 19/2; 9; 31/4; ; ; 9; ; 9; 8; 9; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-23 02:16:59 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 1/3; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 1/3; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 9/2; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 10; 9; 9; 31/4; ; ; 9; ; 9; 8; 9; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-23 10:17:00 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 1/3; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 1/3; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 9/2; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 10; 9; 9; 31/4; ; ; 9; ; 9; 8; 9; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-23 14:16:57 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 9; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-23 18:16:59 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 9; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-23 22:17:00 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; ; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 9; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-24 02:16:57 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; ; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 9; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-24 10:16:56 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 2/7; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; ; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 9; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-24 14:16:55 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 54/13; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 21/5; ; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 17/2; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-24 18:16:54 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 21/5; ; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 17/2; 8; 17/2; 17/2; 9; 17/2; 34/5; 15/2; 17/2; 11; 9; 9; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-24 22:16:53 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 7/20; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 3/10; 1/3; ; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 19/5; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; ; 39/10; 9/2; 9/2; 17/4; 21/5; ; 7/2; ; 
Everton; 10; 17/2; ; 8; 89/10; 19/2; 9; 9; 31/4; ; ; 9; ; 17/2; 8; 17/2; 17/2; 9; 17/2; ; 15/2; 17/2; 11; 9; 9; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-25 02:16:54 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 1/3; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 4; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; ; 7/2; ; 
Everton; 9; 17/2; ; 8; 44/5; 19/2; 9; 9; 31/4; ; ; 9; ; 17/2; 8; 17/2; 17/2; 35/4; 17/2; 34/5; 15/2; 17/2; 11; 9; 35/4; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-25 10:16:49 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 1/3; 9/25; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 1/3; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 6/17; 1/3; 3/10; 3/10; 3/10; ; 1/3; ; 
Draw; 17/4; 4; ; 4; 23/5; 9/2; 17/4; 9/2; 75/19; ; ; 4; ; 4; 17/4; 4; 17/4; 21/5; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 17/4; ; 7/2; ; 
Everton; 9; 17/2; ; 8; 44/5; 19/2; 9; 9; 31/4; ; ; 9; ; 17/2; 8; 17/2; 17/2; 35/4; 17/2; 34/5; 15/2; 17/2; 11; 9; 35/4; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-25 14:16:54 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 1/3; ; 1/3; 17/50; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 5/18; 1/3; 1/3; 6/17; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 4; ; 4; 24/5; 4; 17/4; 4; 75/19; ; ; 4; ; 17/4; 9/2; 4; 17/4; 43/10; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 17/2; ; 8; 19/2; 11; 9; 11; 31/4; ; ; 9; ; 9; 9; 15/2; 17/2; 37/4; 17/2; 34/5; 15/2; 9; 12; 10; 19/2; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-25 18:16:49 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; 17/50; 3/10; 3/10; 3/10; 6/17; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 2/7; 1/3; 1/3; 6/17; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; 24/5; 4; 9/2; 4; 75/19; ; ; 4; ; 17/4; 9/2; 15/4; 17/4; 17/4; 17/4; 4; 39/10; 9/2; 9/2; 17/4; 43/10; ; 7/2; ; 
Everton; 9; 9; ; 8; 19/2; 11; 19/2; 11; 31/4; ; ; 9; ; 9; 9; 8; 17/2; 37/4; 17/2; 34/5; 15/2; 9; 12; 10; 37/4; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-25 22:16:51 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; 7/20; 3/10; 3/10; 3/10; 3/10; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 2/7; 1/3; 1/3; 3/10; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; 47/10; 4; 9/2; 4; 17/4; ; ; 4; ; 17/4; 9/2; 4; 17/4; 43/10; 17/4; 4; 21/5; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 9; ; 8; 9; 11; 19/2; 11; 9; ; ; 9; ; 9; 9; 15/2; 17/2; 37/4; 17/2; 34/5; 17/2; 9; 12; 10; 19/2; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-26 02:16:49 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; ; 3/10; 3/10; 3/10; 3/10; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 2/7; 1/3; 1/3; 3/10; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; ; 4; 9/2; 4; 17/4; ; ; 4; ; 17/4; 9/2; 4; 17/4; 43/10; 17/4; 4; 21/5; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 9; ; 8; ; 11; 19/2; 11; 9; ; ; 9; ; 9; 9; 15/2; 17/2; 37/4; 17/2; 34/5; 17/2; 9; 12; 10; 37/4; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-26 10:16:50 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; ; 3/10; 3/10; 3/10; 3/10; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 2/7; 1/3; 1/3; 3/10; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; ; 4; 9/2; 4; 17/4; ; ; 4; ; 17/4; 9/2; 4; 17/4; 43/10; 17/4; 4; 21/5; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 9; ; 8; ; 11; 19/2; 11; 9; ; ; 9; ; 9; 9; 15/2; 17/2; 37/4; 17/2; 34/5; 17/2; 9; 9; 10; 19/2; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-26 14:17:01 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; ; 3/10; 3/10; 3/10; 3/10; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 2/7; 1/3; 1/3; 3/10; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; ; 4; 9/2; 4; 17/4; ; ; 4; ; 17/4; 9/2; 4; 17/4; 43/10; 17/4; 4; 21/5; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 9; ; 8; ; 11; 19/2; 11; 9; ; ; 9; ; 9; 9; 15/2; 17/2; 37/4; 17/2; 34/5; 17/2; 9; 9; 10; 19/2; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-26 18:16:58 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; ; 3/10; 3/10; 3/10; 3/10; ; ; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 5/18; 1/3; 1/3; 3/10; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; ; 4; 9/2; 4; 17/4; ; ; 4; ; 17/4; 9/2; 4; 17/4; ; 17/4; 4; 21/5; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 9; ; 8; ; 11; 19/2; 11; 9; ; ; 9; ; 9; 9; 15/2; 17/2; ; 17/2; 34/5; 17/2; 9; 9; 10; 19/2; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-26 22:17:02 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
Arsenal; 2/7; 3/10; ; 1/3; ; 3/10; 3/10; 3/10; 3/10; ; 2/7; 3/10; ; 3/10; 30/ 100; 2/7; 1/3; 2/7; 1/3; 1/3; 3/10; 3/10; 3/10; 2/7; 2/7; ; 1/3; ; 
Draw; 17/4; 17/4; ; 4; ; 4; 9/2; 4; 17/4; ; 4; 4; ; 17/4; 9/2; 15/4; 17/4; ; 17/4; 4; 21/5; 9/2; 9/2; 17/4; 74/17; ; 7/2; ; 
Everton; 9; 9; ; 8; ; 11; 19/2; 11; 9; ; 10; 9; ; 9; 9; 8; 17/2; ; 17/2; 34/5; 17/2; 9; 9; 10; 37/4; ; 38/5; ; 
META; english/premier-league/arsenal-v-everton; 2018-01-27 02:16:57 GMT+2; 2018-02-03 17:30; Nothing; Xlenovo
