META; english/premier-league/bournemouth-v-arsenal; 2017-12-28 02:17:23 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; ; ; ; 
Draw; ; ; ; ; 67/20; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 
Bournemouth; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-28 10:17:17 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; 
Draw; ; ; ; ; 67/20; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; 
Bournemouth; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-28 14:17:16 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 1/2; ; ; ; ; 
Draw; ; ; ; ; 67/20; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 16/5; ; ; ; ; 
Bournemouth; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-28 18:17:14 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 1/2; ; ; ; ; 
Draw; ; ; ; ; 67/20; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 16/5; ; ; ; ; 
Bournemouth; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-28 22:17:17 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 1/2; ; ; 1/25; ; 
Draw; ; ; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 16/5; ; ; 1/50; ; 
Bournemouth; ; ; ; ; 27/5; 11/2; 5; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5; ; 21/4; ; ; 1/25; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-29 02:17:13 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 8/15; ; ; ; 4/7; ; ; ; ; ; 8/15; ; 1/2; ; ; 1/4; ; 
Draw; ; ; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; 16/5; ; ; ; ; ; 3; ; 16/5; ; ; 6/4; ; 
Bournemouth; ; ; ; ; 27/5; 11/2; 5; 5; ; ; ; 5; ; ; ; 11/2; ; ; ; ; ; 5; ; 21/4; ; ; 13/8; ; 
