META; english/premier-league/everton-v-southampton; 2018-04-27 18:16:06 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 
Southampton; 28/13; 11/5
Draw; 40/17; 40/17
META; english/premier-league/everton-v-southampton; 2018-04-27 22:16:20 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 13/10; 11/8; 6/5; 13/10; 11/10; 5/4; 6/5; 13/10; 5/4; 6/5; 6/5; 5/4; 13/10; 5/4; 23/20
Southampton; 2; 119/0; 12/5; 11/5; 23/10; 21/10; 12/5; 23/10; 23/10; 21/10; 28/13; 21/10; 12/5; 28/13; 19/10
Draw; 23/10; 47/20; 23/10; 23/10; 11/5; 12/5; 9/4; 11/5; 23/10; 21/10; 40/17; 12/5; 23/10; 12/5; 9/4
META; english/premier-league/everton-v-southampton; 2018-04-28 02:16:14 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 13/10; 34/25; 6/5; 13/10; 11/10; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 23/20
Southampton; 11/5; 2; 59/25; 12/5; 11/5; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 21/10; 28/13; 21/10; 12/5; 11/5; 19/10
Draw; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 11/5; 23/10; 21/10; 23/10; 12/5; 23/10; 40/17; 9/4
META; english/premier-league/everton-v-southampton; 2018-04-28 10:16:15 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 13/10; 34/25; 6/5; 13/10; 11/10; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 23/20
Southampton; 11/5; 2; 59/25; 12/5; 23/10; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 21/10; 28/13; 21/10; 12/5; 11/5; 19/10
Draw; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 11/5; 23/10; 21/10; 23/10; 12/5; 23/10; 40/17; 9/4
META; english/premier-league/everton-v-southampton; 2018-04-28 14:16:22 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 13/10; 34/25; 6/5; 13/10; 11/10; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 
Southampton; 11/5; 2; 59/25; 12/5; 23/10; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 21/10; 28/13; 21/10; 12/5; 11/5; 2
Draw; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 11/5; 23/10; 21/10; 23/10; 12/5; 23/10; 40/17; 
META; english/premier-league/everton-v-southampton; 2018-04-28 18:16:15 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 13/10; 34/25; 6/5; 13/10; 11/10; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 
Southampton; 11/5; 2; 59/25; 12/5; 23/10; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 21/10; 28/13; 21/10; 12/5; 11/5; 19/10
Draw; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 11/5; 23/10; 21/10; 23/10; 12/5; 23/10; 40/17; 
META; english/premier-league/everton-v-southampton; 2018-04-28 22:15:49 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 5/4; 13/10; 34/25; 5/4; 13/10; 11/10; 16/11; 6/5; 13/10; 27/20; 13/10; 5/4; 5/4; 16/11; 13/10; 5/4; 7/5
Southampton; 11/5; 2; 59/25; 23/10; 23/10; 11/5; 24/13; 12/5; 21/10; 11/5; 11/5; 21/10; 11/5; 24/13; 12/5; 11/5; 19/10
Draw; 9/4; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 11/5; 23/10; 21/10; 9/4; 12/5; 23/10; 23/10; 11/5
META; english/premier-league/everton-v-southampton; 2018-04-29 02:15:47 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 29/20; 13/10; 79/50; 29/20; 8/5; 13/10; 16/11; 5/4; 7/5; 13/10; 33/20; 6/4; 13/10; 17/11; 5/4; 16/11; 6/4; 17/11; 6/4
Southampton; 9/5; 2; 97/50; 2; 9/5; 15/8; 24/13; 11/5; 21/10; 2; 9/5; 19/10; 19/10; 17/10; 17/9; 24/13; 21/10; 7/4; 13/8
Draw; 23/10; 23/10; 62/25; 9/4; 23/10; 21/10; 12/5; 9/4; 21/10; 12/5; 11/5; 9/4; 21/10; 40/17; 9/4; 12/5; 9/4; 40/17; 9/4
META; english/premier-league/everton-v-southampton; 2018-04-29 10:15:48 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 29/20; 13/10; 159/00; 6/4; 8/5; 7/5; 16/11; 11/8; 31/20; 13/10; 33/20; 6/4; 11/8; 6/4; 22/15; 16/11; 31/20; 17/11; 6/4; 6/4
Southampton; 9/5; 2; 193/00; 19/10; 9/5; 9/5; 24/13; 2; 9/5; 2; 9/5; 9/5; 9/5; 17/10; 8/5; 24/13; 2; 7/4; 19/10; 2
Draw; 23/10; 23/10; 62/25; 9/4; 23/10; 21/10; 12/5; 9/4; 9/4; 12/5; 11/5; 12/5; 9/4; 23/10; 9/4; 12/5; 9/4; 40/17; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-04-29 14:15:48 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 29/20; 7/5; 159/00; 6/4; 8/5; 7/5; 16/11; 11/8; 31/20; 13/10; 33/20; 6/4; 7/5; 6/4; 22/15; 16/11; 8/5; 17/11; 6/4; 6/4
Southampton; 9/5; 15/8; 193/00; 19/10; 9/5; 9/5; 24/13; 2; 9/5; 2; 9/5; 9/5; 9/5; 17/10; 8/5; 24/13; 2; 7/4; 19/10; 19/10
Draw; 23/10; 23/10; 62/25; 9/4; 23/10; 21/10; 12/5; 9/4; 9/4; 12/5; 11/5; 12/5; 21/10; 40/17; 9/4; 12/5; 9/4; 40/17; 23/10; 12/5
META; english/premier-league/everton-v-southampton; 2018-04-29 18:15:49 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 29/20; 7/5; 159/00; 6/4; 8/5; 7/5; 16/11; 11/8; 31/20; 13/10; 33/20; 6/4; 7/5; 6/4; 22/15; 16/11; 8/5; 17/11; 6/4; 6/4
Southampton; 9/5; 15/8; 193/00; 19/10; 9/5; 9/5; 24/13; 2; 9/5; 2; 9/5; 9/5; 9/5; 17/10; 8/5; 24/13; 2; 7/4; 19/10; 19/10
Draw; 23/10; 23/10; 62/25; 9/4; 23/10; 21/10; 12/5; 9/4; 9/4; 12/5; 11/5; 12/5; 21/10; 40/17; 9/4; 12/5; 9/4; 40/17; 23/10; 12/5
META; english/premier-league/everton-v-southampton; 2018-04-29 22:15:41 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 29/20; 13/8; 17/10; 167/00; 13/8; 13/8; 6/4; 17/11; 6/4; 9/5; 13/10; 17/10; 6/4; 6/4; 8/5; 28/17; 22/15; 17/11; 7/4; 8/5; 6/4; 13/8
Southampton; 9/5; 13/8; 17/10; 15/8; 15/8; 7/4; 17/10; 28/17; 7/4; 7/4; 2; 17/10; 9/5; 13/8; 28/17; 7/4; 8/5; 28/17; 7/4; 17/10; 7/4; 9/5
Draw; 23/10; 11/5; 21/10; 121/0; 11/5; 23/10; 2; 12/5; 12/5; 2; 12/5; 11/5; 12/5; 21/10; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-04-30 02:15:40 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Everton; 7/4; 13/8; 17/10; 183/00; 13/8; 13/8; 6/4; 17/11; 6/4; 9/5; 13/10; 9/5; 7/4; 13/8; 17/10; 28/17; 6/4; 17/11; 19/10; 7/4; 13/8; 7/4
Southampton; 6/4; 13/8; 17/10; 43/25; 7/4; 17/10; 13/8; 28/17; 7/4; 13/8; 2; 8/5; 8/5; 13/8; 17/11; 7/4; 17/11; 28/17; 13/8; 17/11; 13/8; 
Draw; 23/10; 11/5; 21/10; 12/5; 9/4; 11/5; 21/10; 12/5; 12/5; 21/10; 12/5; 11/5; 23/10; 21/10; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-04-30 10:15:40 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 6/4; 6/4; 6/4; 77/50; 31/20; 6/4; 7/5; 11/8; 6/4; 29/20; 2; 29/20; 7/5; 7/5; 16/11; 6/4; 53/35; 11/8; 31/20; 16/11; 6/4; 6/4
Everton; 7/4; 9/5; 9/5; 52/25; 19/10; 2; 9/5; 39/19; 7/4; 19/10; 13/10; 2; 21/10; 7/4; 19/10; 37/19; 23/12; 39/19; 2; 37/19; 7/4; 9/5
Draw; 23/10; 11/5; 9/4; 119/0; 9/4; 11/5; 21/10; 23/10; 23/10; 11/5; 12/5; 11/5; 11/5; 21/10; 11/5; 11/5; 40/17; 23/10; 23/10; 11/5; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-04-30 14:15:41 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 6/4; 6/4; 13/8; 6/4; 8/5; 7/5; 16/11; 8/5; 29/20; 2; 6/4; 6/4; 7/5; 6/4; 6/4; 13/9; 16/11; 31/20; 6/4; 6/4; 6/4; 13/8; 13/8; 13/8
Everton; 19/10; 9/5; 9/5; 99/50; 15/8; 19/10; 7/4; 2; 19/10; 19/10; 13/10; 39/20; 19/10; 7/4; 24/13; 37/19; 2; 2; 19/10; 9/5; 9/5; 19/10; 19/10; 19/10; 
Draw; 23/10; 11/5; 9/4; 47/20; 23/10; 11/5; 21/10; 23/10; 23/10; 11/5; 12/5; 11/5; 9/4; 21/10; 11/5; 11/5; 40/17; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-04-30 18:15:41 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 27/20; 6/4; 29/20; 29/20; 7/5; 13/10; 16/11; 27/20; 29/20; 11/8; 33/20; 11/8; 13/10; 13/10; 23/17; 7/5; 15/11; 16/11; 7/5; 23/17; 13/10; 7/5; 7/5; 7/5; 7/5
Everton; 19/10; 2; 21/10; 9/5; 56/25; 2; 21/10; 15/8; 2; 21/10; 2; 21/10; 31/20; 21/10; 11/5; 19/10; 39/19; 21/10; 28/13; 2; 11/5; 21/10; 21/10; 2; 21/10; 21/10; 21/10
Draw; 23/10; 11/5; 21/10; 9/4; 59/25; 23/10; 11/5; 21/10; 23/10; 21/10; 23/10; 11/5; 12/5; 11/5; 23/10; 21/10; 11/5; 11/5; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-04-30 22:15:40 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 27/20; 7/5; 147/00; 29/20; 7/5; 13/10; 16/11; 27/20; 29/20; 11/8; 33/20; 7/5; 13/10; 13/10; 7/5; 7/5; 15/11; 16/11; 7/5; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5
Everton; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 15/8; 2; 21/10; 21/10; 21/10; 31/20; 21/10; 11/5; 19/10; 2; 21/10; 28/13; 2; 11/5; 21/10; 21/10; 2; 21/10; 21/10; 21/10
Draw; 23/10; 11/5; 21/10; 9/4; 59/25; 23/10; 11/5; 21/10; 23/10; 21/10; 9/4; 11/5; 12/5; 11/5; 23/10; 21/10; 9/4; 11/5; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-01 02:15:36 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 7/5; 7/5; 151/00; 29/20; 7/5; 13/10; 7/5; 7/5; 6/4; 7/5; 33/20; 29/20; 7/5; 11/8; 7/5; 7/5; 15/11; 7/5; 6/4; 16/11; 7/5; 7/5; 7/5; 7/5; 6/4
Everton; 19/10; 2; 2; 85/40; 2; 21/10; 15/8; 21/10; 2; 2; 31/20; 2; 21/10; 19/10; 2; 21/10; 28/13; 21/10; 21/10; 39/19; 2; 19/10; 19/10; 19/10; 2; ; 
Draw; 23/10; 9/4; 21/10; 9/4; 119/0; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 21/10; 12/5; 11/5; 11/5; 21/10; 9/4; 11/5; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-01 10:15:37 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 7/5; 7/5; 151/00; 29/20; 6/4; 13/10; 7/5; 7/5; 6/4; 7/5; 33/20; 29/20; 7/5; 11/8; 7/5; 7/5; 15/11; 7/5; 6/4; 16/11; 7/5; 7/5; 7/5; 7/5; 6/4
Everton; 19/10; 2; 2; 85/40; 2; 15/8; 21/10; 2; 2; 31/20; 2; 21/10; 19/10; 2; 21/10; 28/13; 21/10; 21/10; 39/19; 2; 19/10; 2; ; ; ; ; 
Draw; 23/10; 9/4; 21/10; 9/4; 119/0; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 21/10; 12/5; 11/5; 11/5; 21/10; 9/4; 11/5; 23/10; 9/4; 9/4; 9/4; 11/5; 9/4; 23/10; 23/10; 
META; english/premier-league/everton-v-southampton; 2018-05-01 14:15:37 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 7/5; 7/5; 38/25; 29/20; 6/4; 13/10; 16/11; 7/5; 6/4; 7/5; 33/20; 29/20; 7/5; 11/8; 16/11; 7/5; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 7/5; 6/4; 6/4
Everton; 19/10; 2; 2; 85/40; 2; 15/8; 2; 2; 31/20; 2; 21/10; 19/10; 2; 21/10; 21/10; 2; 21/10; 2; 19/10; 2; 2; ; ; ; ; ; 
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 23/10; 11/5; 21/10; 23/10; 21/10; 9/4; 9/4; 12/5; 11/5; 11/5; 21/10; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-01 18:15:38 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 7/5; 7/5; 38/25; 29/20; 6/4; 13/10; 16/11; 7/5; 6/4; 7/5; 33/20; 29/20; 7/5; 11/8; 16/11; 6/4; 7/5; 16/11; 6/4; 16/11; 7/5; 6/4; 6/4; 6/4; 6/4
Everton; 19/10; 2; 2; 85/40; 2; 15/8; 2; 2; 31/20; 2; 21/10; 19/10; 2; 37/19; 21/10; 2; 21/10; 2; 19/10; 2; 2; ; ; ; ; ; 
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 23/10; 11/5; 21/10; 23/10; 21/10; 9/4; 9/4; 12/5; 11/5; 11/5; 21/10; 11/5; 9/4; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; 23/10; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-01 22:15:44 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 11/8; 7/5; 29/20; 7/5; 39/25; 29/20; 6/4; 13/10; 16/11; 29/20; 6/4; 6/4; 33/20; 6/4; 7/5; 11/8; 6/4; 6/4; 17/12; 16/11; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4
Everton; 19/10; 19/10; 2; 103/0; 2; 15/8; 2; 2; 19/10; 31/20; 2; 21/10; 19/10; 2; 37/19; 39/19; 2; 21/10; 2; 15/8; 19/10; 19/10; 2; 19/10; ; ; 
Draw; 23/10; 23/10; 21/10; 9/4; 47/20; 23/10; 11/5; 21/10; 23/10; 11/5; 9/4; 21/10; 12/5; 11/5; 11/5; 21/10; 9/4; 9/4; 40/17; 23/10; 9/4; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-02 02:15:33 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 6/4; 7/5; 29/20; 7/5; 39/25; 29/20; 6/4; 13/10; 16/11; 29/20; 6/4; 6/4; 33/20; 6/4; 7/5; 7/5; 6/4; 6/4; 17/12; 16/11; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4
Everton; 9/5; 19/10; 19/10; 2; 103/0; 2; 15/8; 2; 2; 19/10; 31/20; 39/20; 21/10; 9/5; 37/19; 37/19; 39/19; 2; 21/10; 2; 15/8; 19/10; 19/10; 2; ; ; 
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 23/10; 11/5; 21/10; 23/10; 11/5; 9/4; 21/10; 12/5; 11/5; 11/5; 21/10; 9/4; 9/4; 40/17; 23/10; 9/4; 23/10; 11/5; 11/5; 9/4; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-02 10:15:33 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 6/4; 7/5; 29/20; 7/5; 39/25; 29/20; 6/4; 13/10; 16/11; 6/4; 6/4; 6/4; 33/20; 6/4; 6/4; 11/8; 6/4; 6/4; 17/12; 16/11; 31/20; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4
Everton; 9/5; 2; 19/10; 2; 103/0; 2; 15/8; 2; 2; 19/10; 31/20; 39/20; 19/10; 19/10; 2; 37/19; 39/19; 2; 2; 15/8; 19/10; 19/10; 2; ; ; ; 
Draw; 23/10; 9/4; 21/10; 9/4; 47/20; 23/10; 11/5; 21/10; 23/10; 11/5; 9/4; 21/10; 12/5; 11/5; 9/4; 21/10; 9/4; 9/4; 40/17; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-02 14:15:35 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 7/5; 6/4; 7/5; 8/5; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 33/20; 31/20; 6/4; 11/8; 17/11; 6/4; 13/9; 6/4; 31/20; 17/11; 6/4; 6/4; 6/4; 6/4; 6/4
Everton; 19/10; 2; 19/10; 2; 101/0; 2; 15/8; 37/19; 19/10; 2; 19/10; 31/20; 19/10; 19/10; 19/10; 37/19; 37/19; 39/19; 37/19; 2; 37/19; 15/8; 15/8; 19/10; 2; 19/10; 
Draw; 23/10; 9/4; 21/10; 9/4; 117/0; 9/4; 11/5; 21/10; 23/10; 21/10; 9/4; 21/10; 12/5; 43/20; 9/4; 21/10; 9/4; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 11/5; 23/10; 9/4; 23/10
META; english/premier-league/everton-v-southampton; 2018-05-02 18:15:36 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 7/5; 11/7; 6/4; 6/4; 6/4; 33/20; 31/20; 6/4; 7/5; 6/4; 6/4; 13/9; 17/11; 31/20; 17/11; 6/4; 6/4; 6/4; 6/4; 8/5
Everton; 19/10; 19/10; 19/10; 2; 101/0; 2; 15/8; 2; 19/10; 2; 19/10; 31/20; 19/10; 19/10; 19/10; 37/19; 37/19; 39/19; 37/19; 2; 37/19; 15/8; 19/10; 19/10; 19/10; ; 
Draw; 23/10; 11/5; 21/10; 9/4; 117/0; 9/4; 11/5; 21/10; 23/10; 21/10; 9/4; 21/10; 12/5; 43/20; 9/4; 21/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 
META; english/premier-league/everton-v-southampton; 2018-05-02 22:15:34 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Southampton; 7/5; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 7/5; 11/7; 6/4; 6/4; 6/4; 33/20; 31/20; 6/4; 7/5; 6/4; 6/4; 13/9; 17/11; 31/20; 17/11; 6/4; 6/4; 6/4; 6/4; 8/5
Everton; 19/10; 19/10; 19/10; 2; 101/0; 2; 15/8; 2; 19/10; 2; 19/10; 31/20; 19/10; 19/10; 19/10; 37/19; 37/19; 39/19; 37/19; 2; 37/19; 15/8; 19/10; 19/10; 19/10; ; 
Draw; 23/10; 11/5; 21/10; 9/4; 117/0; 9/4; 11/5; 21/10; 23/10; 21/10; 9/4; 21/10; 12/5; 43/20; 9/4; 21/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10
