META; english/premier-league/man-city-v-west-ham; 2017-11-20 18:18:01 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/11; 1/12; ; ; ; ; ; ; ; ; 1/7; ; 1/8; ; ; ; ; 1/10; ; ; 1/8; ; 
Draw; ; ; ; ; 15/2; ; 19/2; 11; ; ; ; ; ; ; ; ; 7; ; 21/2; ; ; ; ; 8; ; ; 23/5; ; 
West Ham; ; ; ; ; 18; ; 22; 25; ; ; ; ; ; ; ; ; 18; ; 25; ; ; ; ; 22; ; ; 59/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-20 22:18:00 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/12; 1/12; ; ; ; ; ; ; ; ; 1/7; ; 1/8; ; ; ; ; 1/10; ; ; 1/8; ; 
Draw; ; ; ; ; 15/2; ; 11; 11; ; ; ; ; ; ; ; ; 7; ; 21/2; ; ; ; ; 8; ; ; 11/8; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; ; ; ; ; ; 18; ; 25; ; ; ; ; 22; ; ; 28/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-21 02:17:54 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/12; 1/12; ; ; ; ; ; ; ; ; 1/7; ; 1/8; ; ; ; ; 1/10; ; ; 1/8; ; 
Draw; ; ; ; ; 15/2; ; 11; 11; ; ; ; ; ; ; ; ; 7; ; 21/2; ; ; ; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; ; ; ; ; ; 18; ; 25; ; ; ; ; 22; ; ; 31/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-21 10:18:01 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/12; 1/12; ; ; ; ; ; ; ; ; 1/7; ; 1/8; ; ; ; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 11; 11; ; ; ; ; ; ; ; ; 7; ; 21/2; ; ; ; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; ; ; ; ; ; 18; ; 25; ; ; ; ; 22; ; ; 31/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-21 14:17:59 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/12; 1/12; ; ; ; 1/9; ; ; ; 1/9; 1/7; ; 1/8; ; ; ; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 11; 11; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; ; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 18; ; ; ; 22; 18; ; 25; ; ; ; ; 22; ; ; 31/5; ; 
META; english/premier-league/man-city-v-west-ham; 2017-11-21 18:18:01 GMT+2; 2017-12-03 16:00; Nothing; Xlenovo
Man City; ; ; ; ; 3/20; ; 1/12; 1/12; ; ; ; 1/9; ; ; ; 1/9; 1/7; ; 1/8; ; ; ; ; 1/10; ; ; 2/15; ; 
Draw; ; ; ; ; 15/2; ; 11; 11; ; ; ; 17/2; ; ; ; 10; 7; ; 21/2; ; ; ; ; 8; ; ; 5; ; 
West Ham; ; ; ; ; 18; ; 25; 25; ; ; ; 18; ; ; ; 22; 18; ; 25; ; ; ; ; 22; ; ; 31/5; ; 
