META; spain/la-liga-primera/betis-v-levante; 2017-09-18 02:19:56 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; ; 19/20; ; 19/20; ; 19/20; 10/11; 9/10; 19/20; 19/20; ; 19/20; 20/21; ; 19/20; ; 9/10; 19/20; 21/20; ; 9/10; ; ; 10/11; ; 5/6; ; 
Draw; 23/10; ; 47/20; ; 12/5; ; 12/5; 12/5; 40/17; 23/10; 9/4; ; 47/20; 12/5; ; 12/5; ; 40/17; 40/17; 119/50; ; 40/17; ; ; 23/10; ; 11/5; ; 
Levante; 16/5; ; 31/10; ; 16/5; ; 31/10; 3; 13/4; 3; 3; ; 3; 16/5; ; 16/5; ; 16/5; 37/13; 10/3; ; 16/5; ; ; 3; ; 14/5; ; 
META; spain/la-liga-primera/betis-v-levante; 2017-09-18 10:19:56 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; ; 9/10; ; 10/11; 19/20; 9/10; 10/11; 9/10; 13/15; 20/23; ; 9/10; 10/11; 10/11; 19/20; ; 9/10; 10/11; 1; 7/8; 9/10; ; ; 9/10; ; 5/6; ; 
Draw; 23/10; ; 12/5; ; 12/5; 12/5; 12/5; 12/5; 40/17; 23/10; 23/10; ; 49/20; 5/2; 5/2; 12/5; ; 40/17; 40/17; 119/50; 23/10; 40/17; ; ; 12/5; ; 9/4; ; 
Levante; 16/5; ; 17/5; ; 10/3; 16/5; 17/5; 16/5; 13/4; 10/3; 13/4; ; 16/5; 10/3; 16/5; 10/3; ; 16/5; 3; 71/20; 58/19; 16/5; ; ; 3; ; 14/5; ; 
META; spain/la-liga-primera/betis-v-levante; 2017-09-18 14:20:04 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; 17/20; 9/10; ; 10/11; 19/20; 9/10; 10/11; 9/10; 13/15; 20/23; ; 9/10; 10/11; 10/11; 10/11; ; 9/10; 10/11; 1; 7/8; 9/10; ; ; 9/10; ; 5/6; ; 
Draw; 23/10; 12/5; 12/5; ; 12/5; 12/5; 12/5; 12/5; 40/17; 23/10; 23/10; ; 49/20; 5/2; 5/2; 12/5; ; 40/17; 40/17; 119/50; 23/10; 40/17; ; ; 12/5; ; 9/4; ; 
Levante; 16/5; 7/2; 17/5; ; 10/3; 16/5; 17/5; 16/5; 13/4; 13/4; 13/4; ; 16/5; 10/3; 16/5; 7/2; ; 16/5; 3; 71/20; 58/19; 16/5; ; ; 16/5; ; 14/5; ; 
