META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-17 18:19:31 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; ; ; ; ; 61/50; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 6/5; ; 23/20; ; ; ; ; 
Celta Vigo; ; ; ; ; 123/50; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; 9/4; ; ; ; ; 
Draw; ; ; ; ; 131/50; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-17 22:19:14 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; ; ; ; ; 61/50; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 6/5; ; 23/20; ; ; ; ; 
Celta Vigo; ; ; ; ; 123/50; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; 9/4; ; ; ; ; 
Draw; ; ; ; ; 131/50; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-18 02:19:05 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 6/5; ; 23/20; ; ; ; ; 
Celta Vigo; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; 9/4; ; ; ; ; 
Draw; ; ; ; ; 66/25; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-18 10:19:06 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 6/5; ; 23/20; ; ; ; ; 
Celta Vigo; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; 9/4; ; ; ; ; 
Draw; ; ; ; ; 66/25; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-18 14:19:12 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; 6/5; ; 23/20; ; ; ; ; 
Celta Vigo; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; 9/4; ; ; ; ; 
Draw; ; ; ; ; 66/25; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-18 18:18:57 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 11/10; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; 11/10; 15/13; ; ; 11/10; ; 11/10; 11/10; ; ; ; 
Celta Vigo; 12/5; ; ; ; 5/2; ; 21/10; ; ; ; ; ; ; ; ; ; 40/17; 11/5; ; ; 23/10; ; 47/20; 12/5; ; ; ; 
Draw; 12/5; ; ; ; 66/25; ; 12/5; ; ; ; ; ; ; ; ; ; 40/17; 12/5; ; ; 5/2; ; 5/2; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-18 22:18:41 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; ; ; ; 6/5; ; 11/10; ; ; ; ; ; ; ; ; 11/10; 15/13; 15/13; ; ; 11/10; 23/20; 23/20; 15/13; ; ; ; 
Celta Vigo; 5/2; ; ; ; 5/2; ; 23/10; ; ; ; ; ; ; ; ; 12/5; 9/4; 11/5; ; ; 23/10; 12/5; 47/20; 9/4; ; ; ; 
Draw; 12/5; ; ; ; 66/25; ; 12/5; ; ; ; ; ; ; ; ; 12/5; 23/10; 12/5; ; ; 12/5; 12/5; 12/5; 40/17; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-19 02:18:40 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; ; ; ; 61/50; ; 11/10; ; ; ; ; ; ; ; ; 11/10; 15/13; 15/13; 10/9; ; 11/10; 23/20; 23/20; 15/13; ; ; ; 
Celta Vigo; 5/2; ; ; ; 64/25; ; 23/10; ; ; ; ; ; ; ; ; 12/5; 9/4; 11/5; 39/19; ; 23/10; 23/10; 47/20; 9/4; ; ; ; 
Draw; 12/5; ; ; ; 63/25; ; 12/5; ; ; ; ; ; ; ; ; 12/5; 23/10; 12/5; 13/5; ; 5/2; 13/5; 49/20; 40/17; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-19 10:18:36 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; ; ; ; 61/50; ; 11/10; ; ; ; ; ; ; ; 23/20; 11/10; 15/13; 15/13; 10/9; ; 11/10; ; 23/20; 15/13; ; ; ; 
Celta Vigo; 5/2; ; ; ; 64/25; ; 23/10; ; ; ; ; ; ; ; 9/4; 12/5; 9/4; 11/5; 39/19; ; 23/10; 23/10; 47/20; 9/4; ; ; ; 
Draw; 12/5; ; ; ; 63/25; ; 12/5; ; ; ; ; ; ; ; 13/5; 12/5; 23/10; 12/5; 13/5; ; 5/2; 13/5; 49/20; 40/17; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-19 14:18:54 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; ; ; ; 61/50; 6/5; 11/10; 11/10; ; ; ; 23/20; ; 6/5; 23/20; 11/10; 11/10; 15/13; 10/9; ; 11/10; ; 23/20; 11/10; ; ; ; 
Celta Vigo; 5/2; ; ; ; 64/25; 12/5; 23/10; 11/5; ; ; ; 9/4; ; 23/10; 9/4; 9/4; 23/10; 11/5; 39/19; ; 23/10; 23/10; 47/20; 40/17; ; ; ; 
Draw; 12/5; ; ; ; 63/25; 12/5; 12/5; 9/4; ; ; ; 5/2; ; 49/20; 13/5; 9/4; 23/10; 12/5; 13/5; ; 5/2; 13/5; 49/20; 40/17; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-19 18:19:07 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 11/10; ; ; 61/50; 6/5; 11/10; 11/10; ; ; ; 23/20; ; 6/5; 23/20; 21/20; 11/10; 15/13; 10/9; ; 11/10; ; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 23/10; ; ; 64/25; 12/5; 23/10; 11/5; ; ; ; 9/4; ; 23/10; 9/4; 9/4; 40/17; 11/5; 39/19; ; 12/5; 23/10; 47/20; 40/17; ; ; ; 
Draw; 12/5; 5/2; ; ; 63/25; 12/5; 12/5; 9/4; ; ; ; 5/2; ; 49/20; 13/5; 23/10; 12/5; 12/5; 13/5; ; 5/2; 13/5; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-19 22:19:08 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 11/10; ; ; 61/50; 6/5; 11/10; 11/10; 11/10; ; ; 23/20; ; 6/5; 23/20; 21/20; 11/10; 15/13; ; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 23/10; ; ; 64/25; 12/5; 23/10; 11/5; 12/5; ; ; 9/4; ; 23/10; 9/4; 9/4; 40/17; 11/5; ; 12/5; 12/5; 12/5; 47/20; 40/17; ; ; ; 
Draw; 12/5; 5/2; ; ; 63/25; 12/5; 12/5; 9/4; 27/11; ; ; 5/2; ; 49/20; 13/5; 23/10; 12/5; 12/5; ; 27/11; 5/2; 5/2; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-20 02:18:55 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 11/10; ; ; 61/50; 23/20; 11/10; 1; 11/10; ; 11/10; 11/10; ; 6/5; 23/20; 21/20; 11/10; 15/13; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 23/10; ; ; 64/25; 12/5; 9/4; 9/4; 12/5; ; 12/5; 12/5; ; 11/5; 9/4; 9/4; 40/17; 11/5; 21/10; 12/5; 12/5; 9/4; 47/20; 40/17; ; ; ; 
Draw; 12/5; 5/2; ; ; 63/25; 5/2; 12/5; 23/10; 27/11; ; 5/2; 12/5; ; 49/20; 13/5; 23/10; 12/5; 12/5; 13/5; 27/11; 5/2; 13/5; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-20 10:19:03 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 11/10; ; ; 61/50; 23/20; 11/10; 1; 11/10; ; 11/10; 11/10; ; 6/5; 23/20; 21/20; 11/10; 15/13; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
