META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-20 22:20:27 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 27/ 100; ; ; ; ; ; ; ; ; ; ; ; 3/13; ; 3/13; ; ; 1/4; ; 2/9; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 51/10; ; 51/10; ; ; 21/4; ; 5; ; ; ; 
Levante; ; ; ; ; 25/2; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; 19/2; ; ; 10; ; 12; ; ; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-21 02:20:17 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 27/ 100; ; ; ; ; ; ; ; ; ; ; ; 3/13; ; 3/13; ; ; 1/4; ; 2/9; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 51/10; ; 51/10; ; ; 21/4; ; 5; ; ; ; 
Levante; ; ; ; ; 25/2; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; 19/2; ; ; 10; ; 12; ; ; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-21 10:20:11 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 27/ 100; ; ; ; ; ; ; ; ; ; ; ; 3/13; ; 3/13; ; ; 1/4; ; 2/9; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 51/10; ; 51/10; ; ; 21/4; ; 5; ; ; ; 
Levante; ; ; ; ; 25/2; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; 19/2; ; ; 10; ; 12; ; ; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-21 14:20:18 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 27/ 100; ; 1/5; ; ; ; ; ; ; ; ; ; 3/13; ; 3/13; ; ; 1/4; ; 2/9; ; ; ; 
Draw; ; ; ; ; 11/2; ; 11/2; ; ; ; ; ; ; ; ; ; 51/10; ; 51/10; ; ; 21/4; ; 5; ; ; ; 
Levante; ; ; ; ; 25/2; ; 11; ; ; ; ; ; ; ; ; ; 19/2; ; 19/2; ; ; 10; ; 12; ; ; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-21 18:19:49 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 27/ 100; ; 1/5; 2/9; ; ; ; ; ; ; ; ; 3/13; ; 3/13; ; ; 1/5; ; 1/5; ; 1/20; ; 
Draw; ; ; ; ; 11/2; ; 11/2; 5; ; ; ; ; ; ; ; ; 51/10; ; 51/10; ; ; 11/2; ; 11/2; ; 1/7; ; 
Levante; ; ; ; ; 25/2; ; 11; 10; ; ; ; ; ; ; ; ; 19/2; ; 19/2; ; ; 11; ; 14; ; 1/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-21 22:19:27 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; ; ; ; 21/ 100; 1/5; 1/7; 1/7; ; ; ; ; ; ; ; 1/5; 3/13; 1/5; 3/13; 2/11; ; 1/5; 2/11; 1/6; 1/5; 1/7; ; 
Draw; 6; ; ; ; 67/10; 6; 6; 11/2; ; ; ; ; ; ; ; 6; 51/10; 5; 51/10; 59/10; ; 6; 6; 6; 96/19; 4/7; ; 
Levante; 14; ; ; ; 16; 16; 14; 14; ; ; ; ; ; ; ; 14; 19/2; 25/2; 19/2; 21/2; ; 12; 16; 16; 25/2; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-22 02:19:22 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; ; ; ; 1/5; 1/5; 1/7; 1/7; ; ; ; ; ; ; ; 1/5; 3/13; 1/5; 3/13; 2/11; ; 1/5; 2/11; 1/6; 1/5; 1/7; ; 
Draw; 6; ; ; ; 71/10; 6; 13/2; 11/2; ; ; ; ; ; ; ; 6; 51/10; 5; 51/10; 59/10; ; 6; 6; 6; 96/19; 4/11; ; 
Levante; 14; ; ; ; 16; 16; 14; 14; ; ; ; ; ; ; ; 14; 19/2; 25/2; 19/2; 21/2; ; 12; 16; 16; 25/2; 4/11; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-22 10:19:35 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; ; ; ; 1/5; 1/5; 1/7; 1/7; ; ; ; ; ; ; ; 1/5; 2/9; 3/16; 2/9; 2/11; ; 1/5; 2/11; 1/6; 3/16; 1/7; ; 
Draw; 6; ; ; ; 71/10; 6; 13/2; 11/2; ; ; ; ; ; ; ; 6; 21/4; 67/13; 21/4; 59/10; ; 6; 6; 6; 67/13; 2/5; ; 
Levante; 14; ; ; ; 16; 16; 14; 14; ; ; ; ; ; ; ; 14; 19/2; 51/4; 19/2; 21/2; ; 12; 16; 16; 51/4; 2/5; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-22 14:19:33 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 1/5; 1/5; 2/13; 1/7; ; ; ; 2/11; ; 2/11; 1/5; 1/5; 2/9; 3/16; 2/9; 2/11; ; 1/5; 2/11; 1/6; 3/16; 1/7; ; 
Draw; 6; 11/2; ; 11/2; 71/10; 6; 6; 11/2; ; ; ; 6; ; 6; 6; 6; 21/4; 67/13; 21/4; 59/10; ; 6; 6; 6; 26/5; 2/5; ; 
Levante; 14; 12; ; 12; 16; 16; 14; 14; ; ; ; 12; ; 14; 12; 14; 19/2; 51/4; 19/2; 21/2; ; 12; 16; 16; 13; 2/5; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-22 18:19:36 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 1/5; 2/11; 1/7; 1/7; ; ; ; 2/11; ; 2/11; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; ; 1/6; 2/11; 1/6; 2/13; 1/20; ; 
Draw; 6; 11/2; ; 11/2; 71/10; 13/2; 13/2; 6; ; ; ; 6; ; 6; 6; 13/2; 27/4; 6; 27/4; 59/10; ; 6; 6; 6; 6; 4/9; ; 
Levante; 14; 12; ; 12; 16; 17; 16; 14; ; ; ; 12; ; 14; 12; 14; 11; 29/2; 11; 21/2; ; 12; 16; 16; 59/4; 4/9; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-22 22:19:37 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 1/5; 2/11; 1/7; 1/7; 3/19; ; ; 2/11; ; 2/11; 1/5; 1/5; 1/6; 2/13; 1/6; 2/11; 3/19; 1/6; 2/11; 1/6; 2/13; 1/20; ; 
Draw; 6; 11/2; ; 11/2; 71/10; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 6; 6; 6; 2; ; 
Levante; 14; 12; ; 12; 16; 17; 16; 14; 15; ; ; 12; ; 14; 12; 14; 11; 29/2; 11; 21/2; 15; 12; 16; 16; 59/4; 4/9; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-23 02:19:26 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 2/11; 1/7; 1/7; 3/19; ; ; 2/11; ; 2/11; 1/5; 1/5; 1/6; 2/13; 1/6; 2/11; 3/19; 1/6; 2/11; 1/6; 2/13; 1/16; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 6; 6; 6; 2; ; 
Levante; 14; 12; ; 12; 33/2; 17; 16; 14; 15; ; ; 12; ; 14; 12; 14; 11; 29/2; 11; 21/2; 15; 12; 16; 16; 59/4; 4/9; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-23 10:19:27 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 2/11; 1/7; 1/7; 3/19; ; ; 2/11; ; 2/11; 1/5; 1/5; 1/6; 2/13; 1/6; 2/11; 3/19; 1/6; 2/11; 1/6; 2/13; 1/16; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 6; 6; 6; 2; ; 
Levante; 14; 12; ; 12; 33/2; 17; 14; 14; 15; ; ; 12; ; 14; 12; 14; 11; 29/2; 11; 21/2; 15; 12; 16; 16; 59/4; 4/9; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-23 14:19:28 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/6; 2/11; 1/6; 2/13; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 6; 6; 6; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; 14; 15; ; ; 12; ; 13; 12; 14; 11; 29/2; 11; 21/2; 15; 12; 16; 16; 29/2; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-23 18:19:28 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/6; 2/11; 1/6; 2/13; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 6; 6; 6; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 16; 14; 15; ; ; 12; ; 13; 12; 14; 11; 29/2; 11; 21/2; 15; 12; 16; 16; 29/2; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-23 22:19:30 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; 14; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-24 02:19:26 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; 6; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; 14; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-24 10:19:25 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 6; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-24 14:19:26 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-24 18:19:24 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 1/2; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-24 22:19:21 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; ; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; ; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; ; 15; 12; 14; 16; 29/2; ; 8/15; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-25 02:19:19 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 8/15; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-25 10:19:14 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 2/11; 1/6; 2/13; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 6; 27/4; 6; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 14; 11; 57/4; 11; 21/2; 15; 12; 14; 16; 29/2; ; 8/15; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-25 14:19:26 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 1/6; 1/6; 3/19; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 2/13; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 11/2; 27/4; 59/10; 27/4; 59/10; 6; 6; 13/2; 6; 6; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 14; ; 15; ; ; 14; ; 13; 12; 12; 11; 14; 11; 21/2; 15; 12; 14; 16; 29/2; ; 8/15; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-25 18:19:16 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; 1/6; 1/7; ; 3/19; ; ; 2/11; ; 1/5; 1/5; 1/6; 1/6; 3/19; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 3/19; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; 13/2; 13/2; ; 6; ; ; 6; ; 6; 6; 11/2; 27/4; 59/10; 27/4; 59/10; 6; 6; 13/2; 6; 113/ 19; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; 16; 16; ; 15; ; ; 14; ; 13; 12; 12; 11; 14; 11; 21/2; 15; 12; 14; 16; 14; ; 8/15; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-25 22:19:17 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; ; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 1/6; 1/6; 3/19; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 3/19; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 13/2; 6; 6; ; ; 6; ; 6; 6; 11/2; 27/4; 59/10; 27/4; 59/10; 6; 6; 13/2; 6; 113/ 19; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; ; 14; 14; 15; ; ; 14; ; 13; 12; 12; 11; 14; 11; 21/2; 15; 12; 14; 16; 14; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-26 02:19:18 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; ; ; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 1/6; 1/6; 3/19; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 3/19; ; 2/11; ; 
Draw; 6; 11/2; ; 11/2; ; ; 13/2; 6; 6; ; ; 6; ; 6; 6; 11/2; 27/4; 59/10; 27/4; 59/10; 6; 6; 13/2; 6; 113/ 19; ; 2; ; 
Levante; 14; 12; ; 12; ; ; 14; 14; 15; ; ; 14; ; 13; 12; 12; 11; 14; 11; 21/2; 15; 12; 14; 16; 14; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-26 10:19:23 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; ; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 1/6; 1/6; 3/19; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 3/19; ; 2/9; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 13/2; 6; 6; ; ; 11/2; ; 6; 6; 11/2; 27/4; 59/10; 27/4; 59/10; 6; 6; 13/2; 6; 113/ 19; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; ; 14; 14; 15; ; ; 14; ; 13; 12; 12; 11; 14; 11; 21/2; 15; 12; 14; 16; 14; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-26 14:19:43 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/5; ; 1/5; 21/ 100; ; 1/7; 1/7; 3/19; ; ; 2/11; ; 1/5; 1/5; 1/6; 1/6; 3/19; 1/6; 2/11; 3/19; 1/5; 2/11; 1/6; 3/19; ; 1/5; ; 
Draw; 6; 11/2; ; 11/2; 33/5; ; 13/2; 6; 6; ; ; 11/2; ; 6; 6; 11/2; 27/4; 76/13; 27/4; 59/10; 6; 6; 13/2; 6; 113/ 19; ; 2; ; 
Levante; 14; 12; ; 12; 33/2; ; 14; 14; 15; ; ; 14; ; 13; 12; 12; 11; 14; 11; 21/2; 15; 12; 14; 16; 14; ; 4/7; ; 
META; spain/la-liga-primera/levante-v-real-madrid; 2018-01-26 18:19:34 GMT+2; 2018-02-03 19:45; Nothing; Xlenovo
