META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-10 18:20:06 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 5/4; ; 5/4; 13/10; 5/4; ; ; ; ; ; ; 6/5; 5/4; ; 6/5; ; 5/4; 6/5; ; 6/5; ; ; 8/11; ; 
Barcelona; ; ; ; ; 19/10; ; 15/8; 2; 19/10; ; ; ; ; ; ; 21/10; 19/10; ; 59/25; ; 19/10; 2; ; 21/10; ; ; 27/20; ; 
Draw; ; ; ; ; 13/5; ; 13/5; 5/2; 13/5; ; ; ; ; ; ; 13/5; 13/5; ; 14/5; ; 13/5; 13/5; ; 13/5; ; ; 7/4; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-10 22:19:27 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 15/13; 6/5; 11/10; 11/10; 5/4; ; ; ; ; ; ; 6/5; 15/13; 6/5; 6/5; ; 5/4; 11/10; 11/10; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; ; ; 21/10; 11/5; 2; 21/10; 19/10; ; ; ; ; ; ; 11/5; 21/10; 39/19; 59/25; ; 19/10; 85/40; 11/5; 21/10; 21/10; ; 6/4; ; 
Draw; ; ; ; ; 13/5; 14/5; 13/5; 13/5; 13/5; ; ; ; ; ; ; 13/5; 13/5; 27/11; 14/5; ; 13/5; 14/5; 12/5; 29/10; 27/11; ; 13/8; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-11 02:18:24 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 15/13; 6/5; 6/5; 11/10; 5/4; ; ; ; ; ; 23/20; 11/10; 15/13; 15/13; 61/50; ; 5/4; 11/10; 23/20; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; ; ; 21/10; 11/5; 2; 21/10; 19/10; ; ; ; ; ; 21/10; 9/4; 21/10; 39/19; 58/25; ; 19/10; 85/40; 2; 21/10; 39/19; ; 6/4; ; 
Draw; ; ; ; ; 13/5; 14/5; 13/5; 13/5; 13/5; ; ; ; ; ; ; 13/5; 13/5; 27/11; 14/5; ; 13/5; 14/5; 3; 14/5; 5/2; ; 5/2; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-11 10:18:24 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; ; ; 15/13; 6/5; 11/10; 11/10; 5/4; ; ; ; ; ; 23/20; 11/10; 15/13; 15/13; 6/5; ; 5/4; 11/10; 23/20; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; ; ; 21/10; 11/5; 2; 21/10; 19/10; ; ; ; ; ; 21/10; 9/4; 21/10; 21/10; 47/20; ; 19/10; 2; 2; 21/10; 21/10; ; 13/8; ; 
Draw; ; ; ; ; 13/5; 14/5; 13/5; 13/5; 13/5; ; ; ; ; ; ; 13/5; 13/5; 27/11; 141/50; ; 13/5; 14/5; 3; 14/5; 27/11; ; 11/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-11 14:18:59 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 6/5; 11/10; 11/10; 5/4; 23/20; ; ; ; ; 23/20; 11/10; 15/13; 15/13; 6/5; ; 5/4; 11/10; 23/20; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 2; 21/10; 19/10; 2; ; ; ; ; 21/10; 11/5; 21/10; 39/19; 47/20; ; 19/10; 2; 2; 21/10; 39/19; ; 13/8; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 13/5; 13/5; 27/10; ; ; ; ; ; 11/4; 13/5; 27/11; 141/50; ; 13/5; 14/5; 3; 14/5; 5/2; ; 11/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-11 18:19:10 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 6/5; 11/10; 11/10; 5/4; 11/10; ; 23/20; ; ; 23/20; 6/5; 15/13; 15/13; 61/50; 10/9; 5/4; 11/10; 23/20; 11/10; 15/13; ; 1; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 19/10; 21/10; 19/10; 2; ; 21/10; ; ; 21/10; 21/10; 21/10; 39/19; 56/25; 29/16; 19/10; 2; 2; 21/10; 39/19; ; 9/5; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 13/5; 13/5; 27/10; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 29/10; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 2; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-11 22:19:33 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 23/20; 11/10; 11/10; 15/13; 11/10; ; 23/20; ; 6/5; 23/20; 6/5; 15/13; 15/13; 61/50; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; 20/21; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 15/8; 21/10; 21/10; 19/10; ; 21/10; ; 2; 21/10; 21/10; 21/10; 39/19; 56/25; 29/16; 19/10; 2; 2; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 29/10; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 2; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-12 02:19:27 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; ; 15/13; 23/20; 11/10; 11/10; 15/13; 11/10; ; 23/20; ; 6/5; 23/20; 6/5; 15/13; 15/13; 61/50; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; 20/21; ; 
Barcelona; ; ; 2; ; 21/10; 11/5; 15/8; 21/10; 21/10; 19/10; ; 21/10; ; 2; 21/10; 21/10; 21/10; 39/19; 56/25; 29/16; 19/10; 2; 2; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 29/10; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 5/2; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-12 10:19:39 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 6/5; ; 15/13; 23/20; 6/5; 11/10; 15/13; 11/10; ; 6/5; ; 6/5; 23/20; 6/5; 15/13; 15/13; 61/50; 10/9; 5/4; 11/10; 6/5; 11/10; 6/5; ; 20/21; ; 
Barcelona; ; ; 19/10; ; 21/10; 11/5; 15/8; 21/10; 21/10; 19/10; ; 19/10; ; 2; 21/10; 2; 21/10; 39/19; 56/25; 29/16; 19/10; 2; 19/10; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 14/5; ; ; ; 14/5; 13/5; 13/5; 29/10; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 5/2; ; 
