META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-05 22:20:08 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; ; ; ; ; 1; ; ; 10/11; ; ; ; 10/11; ; ; ; ; 19/20; ; 49/50; ; ; 10/11; ; 10/11; ; ; ; ; 
Draw; ; ; ; ; 27/10; ; ; 13/5; ; ; ; 14/5; ; ; ; ; 13/5; ; 143/ 50; ; ; 13/5; ; 27/10; ; ; ; ; 
Valencia; ; ; ; ; 27/10; ; ; 11/4; ; ; ; 13/5; ; ; ; ; 13/5; ; 149/ 50; ; ; 11/4; ; 11/4; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-06 02:20:01 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 4/5; ; 9/10; ; ; 5/6; ; 4/5; ; 5/6; ; ; ; ; 11/13; 4/5; 49/50; ; ; 4/5; 4/5; 10/13; 5/6; ; ; ; 
Draw; 13/5; ; 29/10; ; 14/5; ; ; 11/4; ; 29/10; ; 14/5; ; ; ; ; 27/10; 28/11; 143/ 50; ; ; 3; 29/10; 16/5; 13/5; ; ; ; 
Valencia; 10/3; ; 3; ; 29/10; ; ; 3; ; 29/10; ; 3; ; ; ; ; 14/5; 31/10; 149/ 50; ; ; 14/5; 16/5; 29/10; 41/13; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-06 10:19:54 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 5/6; ; 9/10; ; ; 4/5; ; 5/6; ; 5/6; ; ; 17/20; ; 11/13; ; 49/50; 4/5; ; 4/5; 17/20; 10/13; ; ; ; ; 
Draw; 13/5; ; 29/10; ; 14/5; ; ; 11/4; ; 29/10; ; 14/5; ; ; 3; ; 27/10; ; 143/ 50; 37/13; ; 3; 29/10; 3; ; ; ; ; 
Valencia; 10/3; ; 14/5; ; 29/10; ; ; 3; ; 11/4; ; 3; ; ; 14/5; ; 14/5; ; 149/ 50; 5/2; ; 3; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-06 14:20:13 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 5/6; ; 9/10; ; ; 4/5; ; 5/6; ; 5/6; ; ; 17/20; ; 11/13; 4/5; 49/50; 4/5; ; 4/5; 17/20; 10/13; ; ; ; ; 
Draw; 13/5; ; 29/10; ; 14/5; ; ; 11/4; ; 29/10; ; 14/5; ; ; 3; ; 27/10; 13/5; 143/ 50; 37/13; ; 3; 29/10; 3; ; ; ; ; 
Valencia; 10/3; ; 14/5; ; 29/10; ; ; 3; ; 11/4; ; 3; ; ; 14/5; ; 14/5; 31/10; 149/ 50; 5/2; ; 3; 3; 3; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-06 18:19:59 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 4/5; ; 17/20; ; ; 4/5; ; 4/5; ; 3/4; ; ; 5/6; ; 4/5; 4/5; 24/25; 4/5; ; 8/11; 5/6; 3/4; 4/5; ; ; ; 
Draw; 13/5; ; 29/10; ; 29/10; ; ; 3; ; 29/10; ; 16/5; ; ; 3; ; 11/4; 28/11; 143/ 50; 37/13; ; 3; 29/10; 16/5; 13/5; ; ; ; 
Valencia; 10/3; ; 29/10; ; 16/5; ; ; 3; ; 29/10; ; 3; ; ; 3; ; 3; 41/13; 61/20; 5/2; ; 3; 31/10; 3; 41/13; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-06 22:20:06 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; ; 3/4; ; 4/5; 14/19; 87/ 100; 4/5; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 14/5; ; ; 3; ; 11/4; 27/10; 29/10; 37/13; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 10/3; ; ; 10/3; ; 3; 13/4; 69/20; 5/2; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-07 10:19:59 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; ; 3/4; ; 4/5; 14/19; 87/ 100; 4/5; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 3; ; ; 3; ; 11/4; 27/10; 29/10; 37/13; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 3; ; ; 10/3; ; 3; 13/4; 69/20; 5/2; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-07 14:20:21 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; ; 3/4; ; 4/5; 14/19; 87/ 100; 3/4; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 3; ; ; 3; ; 11/4; 27/10; 29/10; 29/10; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 3; ; ; 10/3; ; 3; 13/4; 69/20; 45/17; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-07 18:20:00 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; ; 3/4; ; 4/5; 14/19; 81/ 100; 3/4; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 3; ; ; 3; ; 11/4; 27/10; 3; 29/10; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 3; ; ; 10/3; ; 3; 13/4; 37/10; 45/17; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-07 22:20:00 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 3/4; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 29/10; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 45/17; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-08 02:19:56 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 3/4; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 29/10; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 45/17; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-08 10:20:05 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; 3/4; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 3/4; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; 3; ; 29/10; ; ; 11/4; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 29/10; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; 3; ; 16/5; ; ; 16/5; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 45/17; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-08 14:20:54 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; 4/5; ; ; ; 17/20; ; ; 8/11; 4/5; 3/4; ; 3/4; ; 4/5; 3/4; ; 4/5; 14/19; 81/ 100; 3/4; 4/5; 8/11; 4/5; 3/4; 10/13; ; ; ; 
Draw; 13/5; ; ; ; 29/10; ; ; 3; 11/4; 3; ; 3; ; 3; 3; ; 11/4; 27/10; 3; 29/10; 11/4; 3; 3; 16/5; 11/4; ; ; ; 
Valencia; 10/3; ; ; ; 16/5; ; ; 10/3; 13/4; 3; ; 3; ; 31/10; 10/3; ; 3; 13/4; 37/10; 45/17; 16/5; 3; 31/10; 3; 33/10; ; ; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-08 18:20:26 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
