META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-22 02:20:49 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; ; 4/5; 3/4; 4/5; 8/11; 4/5; 5/6; 5/6; 4/5; ; 4/5; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; ; 8/11; ; 
Draw; 13/5; ; ; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 5/2; ; 13/5; ; 13/5; ; ; 5/2; 14/5; ; 13/5; ; 5/2; 53/20; ; 23/10; ; 
Eibar; 15/4; ; ; ; 19/5; 4; 18/5; 7/2; 7/2; 10/3; 10/3; 7/2; ; 19/5; ; 15/4; ; ; 33/10; 41/10; ; 17/5; ; 10/3; 7/2; ; 10/3; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-22 10:20:49 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; ; 4/5; 3/4; 4/5; 8/11; 4/5; 11/13; 17/20; 5/6; ; 4/5; 5/6; 4/5; ; ; 4/5; 4/5; 16/19; 4/5; ; 4/5; 10/13; ; 8/11; ; 
Draw; 13/5; ; ; ; 13/5; 11/4; 13/5; 13/5; 13/5; 12/5; 12/5; 12/5; ; 13/5; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; ; 5/2; 53/20; ; 23/10; ; 
Eibar; 15/4; ; ; ; 19/5; 4; 18/5; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 15/4; ; ; 33/10; 41/10; 56/19; 17/5; ; 10/3; 7/2; ; 10/3; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-22 14:22:10 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; ; 5/6; 3/4; 4/5; 4/5; 4/5; 11/13; 17/20; 5/6; ; 17/20; 5/6; 5/6; ; ; 4/5; 4/5; 16/19; 4/5; ; 4/5; 10/13; ; 8/11; ; 
Draw; 13/5; ; ; ; 13/5; 11/4; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 5/2; 13/5; ; ; 5/2; 14/5; 5/2; 13/5; ; 5/2; 53/20; ; 9/4; ; 
Eibar; 15/4; ; ; ; 18/5; 4; 18/5; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 7/2; ; ; 33/10; 41/10; 56/19; 17/5; ; 10/3; 7/2; ; 10/3; ; 
META; spain/la-liga-primera/villarreal-v-eibar; 2017-09-22 18:21:02 GMT+3; 2017-10-01 17:30; Nothing; Xlenovo
Villarreal; 3/4; ; ; ; 5/6; 3/4; 4/5; 4/5; 4/5; 11/13; 17/20; 5/6; ; 17/20; 5/6; 4/5; ; ; 4/5; 4/5; 16/19; 4/5; ; 4/5; 10/13; ; 8/11; ; 
Draw; 13/5; ; ; ; 13/5; 11/4; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 5/2; 13/5; ; ; 28/11; 14/5; 5/2; 13/5; ; 5/2; 53/20; ; 9/4; ; 
Eibar; 15/4; ; ; ; 18/5; 4; 18/5; 7/2; 7/2; 13/4; 13/4; 7/2; ; 19/5; 7/2; 15/4; ; ; 13/4; 41/10; 56/19; 17/5; ; 10/3; 7/2; ; 10/3; ; 
