META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-19 18:27:06 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; ; ; ; ; ; ; 31/20; ; ; 6/4; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 
Albacete; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 21/10; ; ; 2; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-19 22:26:24 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 17/10; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; ; 6/4; 6/4; ; ; ; ; ; 17/11; ; 6/4; ; 24/17; ; ; ; 31/20; ; 7/5; 6/4; 
Albacete; 15/8; 9/5; 15/8; 9/5; 19/10; 7/4; 2; 9/5; ; 28/15; 15/8; ; ; ; ; ; 24/13; ; 19/10; ; 33/19; ; ; ; 19/10; ; 7/4; 9/5; 
Draw; 19/10; 2; 39/20; 21/10; 21/10; 19/10; 21/10; 15/8; ; 2; 2; ; ; ; ; ; 2; ; 2; ; 28/13; ; ; ; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-20 02:25:34 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 17/10; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; ; 6/4; 6/4; ; ; ; ; 6/4; 17/11; ; 6/4; ; 24/17; ; ; ; 31/20; ; 7/5; 6/4; 
Albacete; 15/8; 9/5; 15/8; 9/5; 19/10; 7/4; 2; 9/5; ; 28/15; 15/8; ; ; ; ; 15/8; 24/13; ; 19/10; ; 33/19; ; ; ; 19/10; ; 7/4; 9/5; 
Draw; 19/10; 2; 39/20; 21/10; 21/10; 19/10; 21/10; 15/8; ; 2; 2; ; ; ; ; 2; 2; ; 2; ; 28/13; ; ; ; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-20 10:25:41 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 17/10; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; ; 6/4; 6/4; 29/20; ; ; ; 6/4; 17/11; ; 6/4; ; 24/17; ; ; ; 31/20; ; 7/5; ; 
Albacete; 15/8; 9/5; 15/8; 9/5; 19/10; 7/4; 2; 9/5; ; 28/15; 15/8; 19/10; ; ; ; 15/8; 24/13; ; 19/10; ; 33/19; ; ; ; 19/10; ; 7/4; ; 
Draw; 19/10; 2; 39/20; 21/10; 21/10; 19/10; 21/10; 15/8; ; 2; 2; 2; ; ; ; 2; 2; ; 37/19; ; 28/13; ; ; ; 2; ; 19/10; ; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-20 14:25:53 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 17/10; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; 28/17; 6/4; 6/4; 29/20; ; ; ; 6/4; 17/11; ; 17/11; 41/25; 24/17; 13/8; ; ; 31/20; ; 7/5; 6/4; 
Albacete; 15/8; 15/8; 15/8; 9/5; 19/10; 7/4; 2; 9/5; 19/10; 28/15; 15/8; 19/10; ; ; ; 15/8; 24/13; ; 19/10; 21/10; 33/19; 15/8; ; ; 19/10; ; 7/4; 9/5; 
Draw; 19/10; 19/10; 39/20; 21/10; 21/10; 19/10; 21/10; 15/8; 19/10; 2; 2; 2; ; ; ; 2; 2; ; 37/19; 52/25; 28/13; 15/8; ; ; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-20 18:26:43 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; 28/17; 16/11; 29/20; 29/20; ; ; 8/5; 6/4; 17/11; ; 8/5; 161/100; 24/17; 13/8; 7/5; ; 31/20; ; 7/5; 7/5; 
Albacete; 21/10; 9/5; 9/5; 2; 7/4; 2; 9/5; 19/10; 19/10; 19/10; 19/10; ; ; 19/10; 19/10; 24/13; ; 24/13; 43/20; 33/19; 15/8; 9/5; ; 19/10; ; 7/4; 9/5; 
Draw; 19/10; 2; 21/10; 2; 19/10; 21/10; 15/8; 19/10; 2; 2; 2; ; ; 19/10; 2; 2; ; 37/19; 52/25; 28/13; 15/8; 15/8; ; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-20 22:27:56 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; 28/17; 16/11; 29/20; 29/20; ; ; 8/5; 6/4; 17/11; ; 17/11; 161/100; 24/17; 13/8; 7/5; 6/4; 31/20; ; 7/5; 7/5; 
Albacete; 21/10; 15/8; 19/10; 9/5; 2; 7/4; 2; 9/5; 19/10; 19/10; 19/10; 19/10; ; ; 19/10; 19/10; 24/13; ; 2; 43/20; 33/19; 15/8; 9/5; 15/8; 19/10; ; 7/4; 9/5; 
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 21/10; 15/8; 19/10; 2; 2; 2; ; ; 19/10; 2; 2; ; 2; 52/25; 28/13; 15/8; 15/8; 15/8; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-21 02:27:34 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 6/4; 7/5; 28/17; 7/5; 7/5; 29/20; ; ; 8/5; 16/11; 17/11; ; 17/11; 161/100; 24/17; 13/8; 7/5; 6/4; 31/20; ; 7/5; 13/10; 
Albacete; 21/10; 19/10; 39/20; 9/5; 2; 7/4; 21/10; 9/5; 19/10; 19/10; 19/10; 19/10; ; ; 19/10; 2; 24/13; ; 2; 43/20; 33/19; 15/8; 9/5; 15/8; 19/10; ; 7/4; 15/8; 
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 19/10; 2; 2; 2; ; ; 19/10; 2; 2; ; 2; 52/25; 28/13; 15/8; 15/8; 15/8; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-21 10:28:10 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 6/4; 7/5; 28/17; 7/5; 7/5; 29/20; ; ; 8/5; 16/11; 17/11; ; 17/11; 161/100; 24/17; 13/8; 7/5; 6/4; 31/20; ; 7/5; 7/5; 
Albacete; 21/10; 19/10; 39/20; 9/5; 2; 7/4; 21/10; 9/5; 19/10; 19/10; 19/10; 19/10; ; ; 19/10; 2; 24/13; ; 2; 43/20; 33/19; 15/8; 9/5; 15/8; 19/10; ; 7/4; 15/8; 
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 19/10; 2; 2; 2; ; ; 19/10; 2; 2; ; 37/19; 52/25; 28/13; 15/8; 15/8; 15/8; 2; ; 19/10; 19/10; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-21 14:28:22 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 6/4; 7/5; 28/17; 7/5; 7/5; 29/20; ; ; 8/5; 16/11; 17/11; ; 17/11; 161/100; 24/17; 13/8; 7/5; 6/4; 31/20; ; 7/5; 7/5; 8/5
Albacete; 21/10; 19/10; 39/20; 9/5; 2; 7/4; 21/10; 9/5; 19/10; 19/10; 19/10; 19/10; ; ; 19/10; 2; 24/13; ; 2; 43/20; 33/19; 15/8; 9/5; 15/8; 19/10; ; 7/4; 15/8; 21/10
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 19/10; 2; 2; 2; ; ; 19/10; 2; 2; ; 2; 52/25; 28/13; 15/8; 15/8; 15/8; 2; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-21 18:28:21 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 6/4; 31/20; 7/5; 17/11; 7/5; 7/5; 29/20; ; 29/20; 8/5; 16/11; 17/11; 6/4; 16/11; 77/50; 24/17; 6/4; 7/5; 6/4; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; ; 2; 19/10; 2; 2; 24/13; 2; 21/10; 28/13; 24/13; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 19/10; 2; 9/5; 21/10; 7/4; 2; 15/8; 39/19; 2; 2; 19/10; ; 19/10; 19/10; 2; 24/13; 39/19; 39/19; 56/25; 33/19; 39/19; 9/5; 15/8; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-21 22:28:48 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 6/4; 31/20; 7/5; 17/11; 7/5; 7/5; 29/20; ; 29/20; 8/5; 16/11; 17/11; 6/4; 16/11; 77/50; 24/17; 6/4; 7/5; 6/4; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; ; 2; 19/10; 2; 2; 24/13; 2; 21/10; 28/13; 24/13; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 7/4; 2; 15/8; 39/19; 2; 2; 19/10; ; 19/10; 19/10; 2; 24/13; 39/19; 39/19; 56/25; 33/19; 39/19; 9/5; 15/8; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-22 02:28:22 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 31/21; 7/5; 7/5; 29/20; ; 29/20; 8/5; 16/11; 17/11; 16/11; 16/11; 77/50; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
