META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-24 18:27:05 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; ; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 5/4; ; ; 6/5; ; 6/5; 11/10; ; 5/4; ; 6/5; ; ; 6/5; 
Draw; 2; ; ; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; ; 2; ; 28/13; 2; ; 85/40; ; 2; ; ; 19/10; 
Granada; 13/5; ; ; ; ; ; ; ; 45/17; ; ; 23/10; ; ; 23/10; ; ; 40/17; ; 39/19; 13/5; ; 5/2; ; 12/5; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-24 22:27:08 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; ; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 5/4; ; ; 6/5; ; 6/5; 11/10; ; 5/4; ; 6/5; ; ; 6/5; 
Draw; 2; ; ; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; ; 2; ; 28/13; 2; ; 85/40; ; 2; ; ; 19/10; 
Granada; 13/5; ; ; ; ; ; ; ; 45/17; ; ; 23/10; ; ; 23/10; ; ; 40/17; ; 39/19; 13/5; ; 5/2; ; 12/5; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-25 02:27:08 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 5/4; ; ; 6/5; ; 13/11; 11/10; ; 5/4; ; 6/5; ; ; ; 
Draw; 2; ; 2; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; ; 2; ; 28/13; 2; ; 85/40; ; 39/19; ; ; ; 
Granada; 13/5; ; 9/4; ; ; ; ; ; 45/17; ; ; 23/10; ; ; 23/10; ; ; 40/17; ; 39/19; 13/5; ; 5/2; ; 40/17; ; ; ; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-25 10:27:11 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 5/4; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; ; 5/4; ; 6/5; ; ; 6/5; 
Draw; 2; ; 2; ; ; ; ; ; 2; ; ; 2; ; ; 2; ; 21/10; 2; 21/10; 28/13; 2; ; 85/40; ; 2; ; ; 2; 
Granada; 13/5; ; 9/4; ; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 40/17; 12/5; 39/19; 13/5; ; 5/2; ; 40/17; ; ; 19/10; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-25 14:27:15 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 5/4; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; ; 5/4; 6/5; 6/5; ; ; 6/5; 
Draw; 2; ; 2; ; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; ; 21/10; 2; 37/19; ; ; 19/10; 
Granada; 13/5; ; 9/4; ; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; ; 5/2; 5/2; 28/11; ; ; 19/10; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-25 18:27:09 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 5/4; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; ; 5/4; 6/5; 6/5; ; ; 6/5; 
Draw; 2; ; 2; ; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; ; 21/10; 2; 37/19; ; ; 19/10; 
Granada; 13/5; ; 9/4; ; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; ; 5/2; 5/2; 28/11; ; ; 19/10; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-25 22:27:11 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 5/4; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; ; 5/4; 6/5; 6/5; ; ; 6/5; 
