META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-17 22:22:27 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-18 02:22:48 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-18 10:23:17 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-18 14:24:13 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-18 18:23:49 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-18 22:23:17 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/8; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-19 02:23:15 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; ; ; ; ; 23/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Draw; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; 
Osasuna; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-19 10:23:35 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 11/10; 11/10; 11/10; ; 23/20; ; ; 1; ; 11/10; 11/10; 21/20; ; ; 11/10; 11/10; 21/20; 11/10; ; ; ; 11/10; 11/10; 21/20; ; 5/6; ; 
Draw; 21/10; 19/10; 2; ; 21/10; ; ; 15/8; ; 2; 2; 21/10; ; ; 19/10; 2; 2; 2; ; ; ; 21/10; 21/10; 39/19; ; 23/20; ; 
Osasuna; 11/4; 11/4; 13/5; ; 16/5; ; ; 13/5; ; 13/5; 11/4; 11/4; ; ; 3; 11/4; 27/10; 14/5; ; ; ; 29/10; 11/4; 27/10; ; 9/5; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-19 14:24:22 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 5/6; 5/6; ; 17/20; 53/50; 9/10; ; 5/6; 19/20; ; 10/11; 10/11; ; 19/20; 19/20; 10/11; 13/15; 1; 22/23; 19/20; 5/6; 20/21; 10/11; 10/11; ; 5/6; ; 
Draw; 21/10; 85/40; ; 11/5; 21/10; 21/10; ; 2; 21/10; ; 21/10; 11/5; ; 43/20; 9/4; 21/10; 21/10; 2; 11/5; 21/10; 85/40; 9/4; 11/5; 21/10; ; 19/10; ; 
Osasuna; 4; 10/3; ; 16/5; 18/5; 16/5; ; 3; 29/10; ; 10/3; 16/5; ; 3; 3; 10/3; 33/10; 16/5; 13/5; 37/13; 3; 10/3; 10/3; 33/10; ; 14/5; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-19 18:24:18 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 19/20; 17/20; 103/100; 19/20; ; 10/11; 19/20; 19/20; 20/21; 20/21; ; 19/20; 1; 19/20; 19/20; 19/20; 1; 19/20; 10/11; 1; 1; 19/20; ; 5/6; ; 
Draw; 2; 21/10; 21/10; 11/5; 11/5; 11/5; ; 21/10; 21/10; 21/10; 21/10; 2; ; 21/10; 21/10; 21/10; 39/19; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 21/10; ; 2; ; 
Osasuna; 17/5; 3; 29/10; 16/5; 71/20; 3; ; 11/4; 29/10; 29/10; 3; 3; ; 3; 3; 3; 3; 18/5; 13/5; 37/13; 14/5; 33/10; 3; 58/19; ; 14/5; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-19 22:24:18 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 19/20; 17/20; 103/100; 19/20; ; 10/11; 19/20; 19/20; 20/21; 20/21; 1; 19/20; 1; 19/20; 19/20; 19/20; 1; 19/20; 10/11; 1; 1; 1; ; 5/6; ; 1
Draw; 2; 21/10; 21/10; 11/5; 11/5; 11/5; ; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 21/10; ; 2; ; 9/4
Osasuna; 17/5; 3; 29/10; 16/5; 71/20; 3; ; 11/4; 29/10; 29/10; 3; 3; 14/5; 3; 3; 3; 31/10; 18/5; 13/5; 37/13; 14/5; 33/10; 3; 31/10; ; 14/5; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-20 02:23:59 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 19/20; 17/20; 103/100; 19/20; 1; 10/11; 19/20; 19/20; 20/21; 20/21; 1; 19/20; 1; 19/20; 19/20; 19/20; 1; 19/20; 10/11; 1; 1; 1; ; 5/6; ; 1
Draw; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 21/10; ; 2; ; 9/4
Osasuna; 17/5; 3; 29/10; 16/5; 71/20; 3; 3; 11/4; 29/10; 29/10; 3; 3; 14/5; 3; 3; 3; 31/10; 18/5; 13/5; 37/13; 14/5; 33/10; 3; 31/10; ; 14/5; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-20 10:24:12 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 19/20; 17/20; 51/50; 19/20; 10/11; 10/11; 19/20; 19/20; 20/21; 20/21; 1; 19/20; 1; 19/20; 19/20; 19/20; 28/29; 19/20; 10/11; 1; 1; 1; ; 5/6; ; 
Draw; 21/10; 85/40; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 28/13; ; 2; ; 
Osasuna; 16/5; 14/5; 29/10; 16/5; 18/5; 3; 3; 11/4; 29/10; 29/10; 3; 3; 14/5; 3; 3; 3; 58/19; 18/5; 27/10; 37/13; 14/5; 16/5; 3; 58/19; ; 11/4; ; 
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-20 14:24:31 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 1; 17/20; 51/50; 19/20; 1; 10/11; 19/20; 1; 20/21; 20/21; 1; 1; 1; 19/20; 19/20; 19/20; 28/29; 19/20; 10/11; 1; 1; 1; ; 9/10; ; 1
Draw; 21/10; 85/40; 21/10; 11/5; 111/50; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 28/13; ; 19/10; ; 9/4
Osasuna; 16/5; 14/5; 29/10; 16/5; 71/20; 3; 3; 11/4; 29/10; 29/10; 3; 3; 14/5; 29/10; 3; 3; 58/19; 18/5; 27/10; 37/13; 14/5; 16/5; 3; 31/10; ; 11/4; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-20 18:24:29 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 1; 17/20; 51/50; 19/20; 1; 10/11; 19/20; 1; 20/21; 20/21; 1; 1; 1; 19/20; ; 19/20; 28/29; 19/20; 10/11; 1; 1; 1; ; 9/10; ; 1
Draw; 21/10; 21/10; 21/10; 11/5; 111/50; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 28/13; ; 19/10; ; 9/4
Osasuna; 16/5; 3; 29/10; 16/5; 71/20; 3; 3; 11/4; 29/10; 29/10; 3; 3; 14/5; 29/10; 3; 3; 3; 18/5; 27/10; 37/13; 14/5; 16/5; 3; 58/19; ; 11/4; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-20 22:24:18 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 1; 17/20; 51/50; 19/20; 1; 10/11; 19/20; 1; 20/21; 20/21; 1; 1; 1; 19/20; 1; 19/20; 28/29; 19/20; 10/11; 1; 1; 1; ; 9/10; ; 1
Draw; 21/10; 21/10; 21/10; 11/5; 111/50; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 11/5; ; 19/10; ; 9/4
Osasuna; 16/5; 3; 29/10; 16/5; 71/20; 3; 3; 11/4; 29/10; 29/10; 3; 3; 14/5; 29/10; 3; 3; 31/10; 18/5; 27/10; 37/13; 14/5; 16/5; 3; 31/10; ; 11/4; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-21 02:23:13 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 1; 17/20; 51/50; 19/20; 1; 10/11; 19/20; ; 20/21; 20/21; 1; 1; 1; 19/20; 1; 19/20; 28/29; 19/20; 10/11; 1; 1; ; ; 9/10; ; 1
Draw; 21/10; 21/10; 21/10; 11/5; 111/50; 11/5; 2; 21/10; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 11/5; ; 19/10; ; 9/4
Osasuna; 16/5; 3; 29/10; 16/5; ; 3; 3; 11/4; 29/10; ; 3; 3; 14/5; 29/10; 3; 3; 31/10; 18/5; 27/10; 37/13; 14/5; 16/5; 3; 31/10; ; 11/4; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-21 10:23:04 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 1; 19/20; 1; 17/20; 51/50; 19/20; 1; 10/11; 19/20; ; 20/21; 20/21; 1; 1; 1; 19/20; 1; 19/20; 28/29; 19/20; 10/11; 1; 1; ; ; 10/11; ; 1
Draw; 21/10; 21/10; 21/10; 11/5; 111/50; 11/5; 2; 21/10; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 37/19; 21/10; 21/10; 2; 11/5; 21/10; 11/5; ; 21/10; ; 9/4
Osasuna; 16/5; 3; 29/10; 16/5; ; 3; 3; 11/4; 29/10; ; 3; 3; 14/5; 29/10; 3; 3; 58/19; 18/5; 27/10; 37/13; 14/5; 16/5; 3; 31/10; ; 11/4; ; 3
META; spain/la-liga-segunda/gijon-v-osasuna; 2018-02-21 14:23:13 GMT+2; 2018-02-23 20:00; Nothing; Xlenovo
Gijon; 19/20; 19/20; 1; 17/20; 103/100; 19/20; 1; 10/11; 19/20; ; 20/21; 20/21; 1; 1; 1; 19/20; 1; 1; 28/29; 19/20; 10/11; 1; 1; ; ; 10/11; ; 1
Draw; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 2; 21/10; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 2; 11/5; 21/10; ; ; 19/10; ; 11/5
Osasuna; 10/3; 3; 14/5; 16/5; 71/20; 3; 3; 11/4; 29/10; 14/5; 3; 3; 14/5; 29/10; 3; 3; 31/10; 31/10; 27/10; 37/13; 14/5; 16/5; 3; 41/13; ; 11/4; ; 3
