META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 02:25:34 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; ; ; 21/20; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Granada; ; ; 13/5; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 10:27:18 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; ; ; 21/20; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Granada; ; ; 13/5; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 14:29:54 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 21/20; 1; 11/10; ; ; ; ; ; ; ; 21/20; 21/20; 21/20; ; 11/10; ; ; 11/10; ; ; ; ; 11/10; 21/20; 11/10; ; 1/4; ; 
Draw; 2; 21/10; 21/10; ; ; ; ; ; ; ; 21/10; 21/10; 21/10; ; 2; ; ; 21/10; ; ; ; ; 21/10; 11/5; 21/10; ; 4/7; ; 
Granada; 3; 11/4; 5/2; ; ; ; ; ; ; ; 3; 11/4; 11/4; ; 14/5; ; ; 27/10; ; ; ; ; 29/10; 11/4; 27/10; ; 6/4; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 18:27:32 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 11/10; ; 1; 1; ; 10/11; ; 11/10; 21/20; 21/20; 11/10; ; 21/20; ; 21/20; 21/20; ; 17/16; ; 1; 11/10; 1; 21/20; ; 10/11; 21/20; 
Draw; 2; 21/10; 21/10; ; 21/10; 21/10; ; 2; ; 21/10; 11/5; 11/5; 11/5; ; 9/4; ; 9/4; 21/10; ; 11/5; ; 2; 11/5; 11/5; 21/10; ; 19/10; 2; 
Granada; 10/3; 11/4; 13/5; ; 12/5; 14/5; ; 11/4; ; 13/5; 11/4; 5/2; 5/2; ; 13/5; ; 13/5; 11/4; ; 23/10; ; 13/5; 14/5; 57/20; 14/5; ; 5/2; 11/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 22:27:53 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; ; 1; 1; ; 10/11; ; 21/20; 21/20; 11/10; 21/20; ; 11/10; ; 21/20; 1; ; 21/20; ; 1; 21/20; 1; 1; ; 20/21; 1; 
Draw; 2; 2; 21/10; ; 21/10; 21/10; ; 2; ; 21/10; 21/10; 2; 11/5; ; 2; ; 9/4; 21/10; ; 11/5; ; 2; 9/4; 11/5; 21/10; ; 19/10; 21/10; 
Granada; 10/3; 14/5; 27/10; ; 12/5; 14/5; ; 11/4; ; 27/10; 3; 11/4; 13/5; ; 14/5; ; 13/5; 29/10; ; 23/10; ; 13/5; 29/10; 29/10; 56/19; ; 13/5; 27/10; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-01 02:26:21 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; ; 1; 1; ; 10/11; ; 21/20; 21/20; 11/10; 21/20; ; 11/10; 1; 21/20; 1; 27/25; 21/20; ; 1; 21/20; 1; 1; ; 20/21; 1; 
Draw; 2; 2; 21/10; ; 21/10; 21/10; ; 2; ; 21/10; 21/10; 2; 11/5; ; 2; 2; 9/4; 21/10; 11/5; 11/5; ; 2; 9/4; 11/5; 21/10; ; 19/10; 21/10; 
Granada; 10/3; 14/5; 27/10; ; 12/5; 14/5; ; 11/4; ; 27/10; 3; 11/4; 13/5; ; 14/5; 14/5; 13/5; 29/10; 33/10; 23/10; ; 13/5; 29/10; 29/10; 56/19; ; 13/5; 27/10; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-01 10:26:44 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; ; 1; 1; ; 10/11; ; 21/20; 21/20; 1; 21/20; ; 11/10; 1; 21/20; 1; 27/25; 21/20; ; ; 21/20; 1; 1; ; 20/21; 1; 
Draw; 2; 2; 21/10; ; 21/10; 21/10; ; 2; ; 21/10; 21/10; 9/4; 11/5; ; 2; 21/10; 9/4; 21/10; 56/25; 11/5; ; ; 9/4; 11/5; 21/10; ; 19/10; 21/10; 
Granada; 10/3; 14/5; 27/10; ; 12/5; 14/5; ; 11/4; ; 27/10; 3; 13/5; 13/5; ; 14/5; 14/5; 13/5; 29/10; 13/4; 23/10; ; ; 29/10; 29/10; 56/19; ; 13/5; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-01 14:27:20 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 1; ; 1; 19/20; ; 10/11; 21/20; 21/20; 1; 20/21; 21/20; ; 21/20; 19/20; 21/20; 19/20; 51/50; 21/20; 21/20; 10/11; 1; 19/20; 1; ; 10/11; ; 
Draw; 2; 21/10; 21/10; ; 21/10; 21/10; ; 2; 11/5; 21/10; 11/5; 11/5; 11/5; ; 2; 21/10; 9/4; 21/10; 111/50; 11/5; 28/13; ; 9/4; 11/5; 28/13; ; 2; ; 
Granada; 10/3; 14/5; 14/5; ; 12/5; 3; ; 11/4; 11/4; 27/10; 3; 3; 13/5; ; 3; 3; 13/5; 58/19; 71/20; 23/10; 27/10; 14/5; 31/10; 3; 31/10; ; 11/4; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-01 18:27:26 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 1; ; 1; 19/20; ; 10/11; 21/20; 1; 1; 20/21; 1; ; 21/20; 19/20; 21/20; 19/20; 101/100; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 2; 21/10; 21/10; ; 21/10; 21/10; ; 2; 11/5; 21/10; 11/5; 11/5; 11/5; ; 2; 21/10; 9/4; 21/10; 111/50; 28/13; 28/13; ; 9/4; 9/4; 28/13; ; 2; ; 
Granada; 10/3; 14/5; 29/10; ; 12/5; 3; ; 11/4; 11/4; 29/10; 3; 3; 14/5; ; 3; 3; 13/5; 58/19; 18/5; 13/5; 27/10; 14/5; 16/5; 3; 31/10; ; 11/4; 14/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-01 22:26:27 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 1; 1; 1; 19/20; 1; 10/11; 21/20; 1; 1; 20/21; 1; 19/20; 21/20; 19/20; 21/20; 1; 101/100; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 28/13; 111/50; 28/13; 28/13; ; 9/4; 9/4; 28/13; ; 2; 2; 
Granada; 10/3; 3; 29/10; 14/5; 12/5; 3; 3; 11/4; 11/4; 29/10; 3; 3; 14/5; 3; 3; 3; 13/5; 41/13; 18/5; 13/5; 27/10; 14/5; 16/5; 3; 41/13; ; 11/4; 14/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-02 02:26:14 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 1; 1; 1; 19/20; 1; 10/11; 21/20; 1; 1; 20/21; 1; 19/20; 21/20; 19/20; 21/20; 1; 26/25; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 28/13; 111/50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; ; 
