META; champions-league/atletico-madrid-v-leicester; 2017-03-17 16:15:01 GMT+2; 2017-04-11 18:45; e70300-dr003
Atletico Madrid; 3/10; 1/3; ; 4/11; 3/10; ; 3/10; 1/3; 1/3; 3/10; 1/4; 3/10; 3/10; 1/3; 30/100; 3/10; 3/10; 6/17; 3/10; 3/10; 33/100; 10/29; 3/10; 3/10; 3/10; ; 3/10; 1/4; 
Draw; 4; 19/5; ; 7/2; 9/2; ; 21/5; 7/2; 17/4; 15/4; 9/2; 15/4; 4; 4; 17/4; 9/2; 54/13; 18/5; 23/5; 54/13; 23/5; 4; 19/4; 15/4; 19/4; ; 7/2; 7/2; 
Leicester; 10; 9; ; 5; 9; ; 21/2; 8; 9; 10; 11; 10; 10; 11; 10; 11; 10; 8; 17/2; 10; 11; 42/5; 17/2; 9; 17/2; ; 10; 38/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-17 20:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 3/10; 1/3; 1/3; 4/11; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 6/17; 3/10; 2/7; 33/100; 10/29; 3/10; 3/10; 3/10; ; 2/7; 1/4; 
Draw; 4; 19/5; 19/5; 7/2; 9/2; 4; 21/5; 7/2; 17/4; 15/4; 9/2; 15/4; 4; 4; 17/4; 9/2; 54/13; 18/5; 21/5; 54/13; 23/5; 4; 21/5; 4; 21/5; ; 7/2; 7/2; 
Leicester; 10; 9; 10; 5; 10; 10; 21/2; 8; 9; 11; 11; 10; 10; 11; 10; 11; 43/4; 8; 11; 43/4; 11; 42/5; 11; 9; 11; ; 10; 38/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-18 00:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 3/10; 1/3; 3/10; 4/11; 3/10; 3/10; 2/7; 1/3; 1/3; 3/10; 1/4; 3/10; ; 3/10; 30/100; 3/10; 2/7; 6/17; 3/10; 2/7; 33/100; 10/29; 3/10; 2/7; 3/10; ; 2/7; 1/4; 
Draw; 4; 19/5; 4; 7/2; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; ; 9/2; 17/4; 9/2; 17/4; 18/5; 21/5; 17/4; 23/5; 4; 21/5; 4; 21/5; ; 4; 7/2; 
Leicester; 10; 9; 11; 5; 10; 10; 11; 8; 9; 11; 11; 10; ; 12; 10; 11; 11; 8; 11; 11; 11; 42/5; 11; 9; 11; ; 29/5; 41/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-18 04:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 3/10; 1/3; 3/10; 4/11; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 33/100; 10/29; 3/10; 2/7; 3/10; ; 2/7; 1/4; 
Draw; 4; 19/5; 4; 7/2; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 4; 21/5; 4; 21/5; ; 4; 7/2; 
Leicester; 10; 9; 11; 5; 10; 10; 11; 8; 10; 11; 11; 10; 10; 12; 10; 11; 11; 9; 11; 11; 11; 42/5; 11; 9; 11; ; 39/5; 41/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-18 08:15:08 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 3/10; 1/3; 3/10; 4/11; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; ; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 3/10; 33/100; 10/29; 3/10; 2/7; 3/10; ; 2/7; 1/4; 
Draw; 4; 19/5; 4; 7/2; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; ; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 43/10; 23/5; 4; 21/5; 4; 21/5; ; 4; 7/2; 
Leicester; 10; 9; 11; 5; 10; 10; 11; 8; 10; 11; 11; 10; ; 12; 10; 11; 11; 9; 11; 37/4; 11; 42/5; 11; 9; 11; ; 39/5; 41/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-18 12:15:08 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 3/10; 3/10; 3/10; 4/11; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 10/29; 3/10; 2/7; 3/10; ; 2/7; 1/4; 
Draw; 4; 4; 4; 7/2; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 4; 21/5; 4; 21/5; ; 4; 4; 
Leicester; 10; 10; 11; 5; 10; 10; 11; 8; 10; 11; 11; 10; 12; 12; 10; 11; 11; 9; 11; 11; 23/2; 42/5; 11; 9; 11; ; 29/5; 43/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-18 16:15:09 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 10/29; 3/10; 2/7; 3/10; ; 2/7; 1/4; 
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 17/4; 4; 21/5; 17/4; 23/5; 4; 21/5; 4; 21/5; ; 4; 4; 
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 12; 10; 11; 11; 9; 11; 11; 23/2; 42/5; 11; 9; 11; ; 29/5; 43/5; 
META; champions-league/atletico-madrid-v-leicester; 2017-03-18 20:15:09 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 5/18; 3/10; 3/10; 5/18; 8/25; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/4; 
