META; champions-league/benfica-v-borussia-dortmund; 2016-12-12 16:15:08 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 11/10; ; 11/10; ; 6/5; 21/20; 6/5; ; ; 1; 1; ; 11/10; 11/10; ; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; ; 1; ; 
Draw; 13/5; 5/2; ; 23/10; ; 5/2; 13/5; 23/10; ; ; 5/2; 11/5; ; 12/5; 5/2; ; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 11/5; ; 
Benfica; 5/2; 12/5; ; 5/2; ; 21/10; 5/2; 21/10; ; ; 5/2; 11/4; ; 11/5; 12/5; ; 5/2; 13/5; 12/5; 13/5; 5/2; 67/25; 9/4; 13/5; 12/5; ; 2; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-12 20:15:07 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 11/10; 11/10; 21/20; ; 6/5; 21/20; 6/5; 11/10; 21/20; 1; 1; 1; 11/10; 11/10; ; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; ; 1; ; 
Draw; 13/5; 5/2; 5/2; 12/5; ; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 13/5; 12/5; 5/2; ; 27/11; 27/11; 23/10; 12/5; 27/11; 13/5; 5/2; 27/11; 12/5; ; 11/5; ; 
Benfica; 5/2; 12/5; 49/20; 5/2; ; 21/10; 5/2; 21/10; 5/2; 5/2; 5/2; 11/4; 5/2; 5/2; 12/5; ; 5/2; 13/5; 12/5; 13/5; 5/2; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-13 00:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 11/10; 11/10; 21/20; ; 6/5; 21/20; 6/5; 11/10; 21/20; 1; 1; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 109/100; 21/20; 11/10; 21/20; ; 1; ; 
Draw; 13/5; 5/2; 5/2; 12/5; ; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; 13/5; 12/5; 13/5; 13/5; 27/11; 27/11; 23/10; 12/5; 27/11; 13/5; 5/2; 27/11; 12/5; ; 11/5; ; 
Benfica; 5/2; 12/5; 49/20; 5/2; ; 21/10; 5/2; 21/10; 5/2; 5/2; 5/2; 11/4; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; 143/50; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-13 04:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
Borussia Dortmund; 21/20; 11/10; 11/10; 21/20; ; 6/5; 21/20; 6/5; 11/10; 21/20; 1; 1; ; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; ; 1; ; 
Draw; 13/5; 5/2; 5/2; 12/5; ; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 11/5; ; 12/5; 13/5; 13/5; 12/5; 27/11; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; ; 11/5; ; 
Benfica; 5/2; 12/5; 49/20; 5/2; ; 21/10; 5/2; 21/10; 5/2; 5/2; 5/2; 11/4; ; 5/2; 5/2; 13/5; 5/2; 13/5; 12/5; 13/5; 5/2; 67/25; 9/4; 13/5; 12/5; ; 23/10; ; 
META; champions-league/benfica-v-borussia-dortmund; 2016-12-13 08:15:05 GMT+2; 2017-02-14 19:45; e70300-dr003
