META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-03 12:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; ; ; ; ; ; ; 1/12; ; 1/10; ; ; ; 1/12; ; ; 1/10; 1/11; 1/12; 2/17; 1/12; ; ; ; 1/12; ; ; ; ; 
Draw; ; ; ; ; ; ; 9; ; 9; ; ; ; 9; ; ; 11; 33/4; 11; 7; 11; ; ; ; 11; ; ; ; ; 
Legia Warsaw; ; ; ; ; ; ; 20; ; 22; ; ; ; 25; ; ; 33; 87/4; 25; 18; 25; ; ; ; 25; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-03 16:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/8; ; ; 1/8; 1/12; ; 1/9; ; ; ; 1/10; ; 2/15; 1/9; 1/10; 1/12; 1/10; 1/12; 1/10; 1/8; 1/10; 1/12; ; ; ; ; 
Draw; 8; 9; 8; ; ; 13/2; 9; ; 17/2; ; ; ; 17/2; ; 13/2; 10; 17/2; 11; 8; 11; 17/2; 10; 17/2; 11; ; ; ; ; 
Legia Warsaw; 20; 20; 22; ; ; 18; 20; ; 22; ; ; ; 22; ; 28; 28; 39/2; 25; 19; 25; 39/2; 22; 17; 25; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-03 20:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/9; ; ; 1/8; 1/12; ; 1/9; ; ; ; 1/10; ; 2/15; 1/9; 1/10; 1/12; 1/10; 1/12; 1/10; 1/8; 1/10; 1/12; ; ; ; ; 
Draw; 8; 9; 8; ; ; 13/2; 9; ; 17/2; ; ; ; 17/2; ; 13/2; 10; 17/2; 11; 8; 11; 17/2; 10; 17/2; 11; ; ; ; ; 
Legia Warsaw; 20; 20; 22; ; ; 18; 21; ; 22; ; ; ; 22; ; 28; 28; 79/4; 25; 19; 25; 79/4; 22; 17; 25; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-04 00:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/9; ; ; 1/8; 1/12; 1/10; 1/9; ; ; ; 1/10; ; 2/15; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; ; ; 
Draw; 8; 9; 8; ; ; 13/2; 9; 15/2; 9; ; ; ; 8; ; 13/2; 10; 17/2; 9; 8; 9; 17/2; 10; 17/2; 9; ; ; ; ; 
Legia Warsaw; 20; 20; 22; ; ; 18; 22; 18; 22; ; ; ; 25; ; 28; 28; 77/4; 20; 19; 20; 77/4; 22; 17; 20; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-04 04:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/9; ; ; 1/8; 1/14; 1/10; 1/9; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; ; ; 
Draw; 8; 9; 17/2; ; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; ; ; 
Legia Warsaw; 20; 20; 22; ; ; 18; 22; 18; 22; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-04 08:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/9; ; ; 1/8; 1/14; 1/10; 1/9; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; ; ; 
Draw; 8; 9; 17/2; ; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; ; ; 
Legia Warsaw; 20; 20; 22; ; ; 18; 22; 18; 22; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-04 12:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/9; ; ; 1/8; 1/14; 1/10; 1/9; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; ; ; 
Draw; 8; 9; 17/2; ; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; ; ; 
Legia Warsaw; 20; 20; 22; ; ; 18; 22; 18; 22; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-04 16:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/9; 1/10; ; 1/8; 1/14; 1/10; 1/9; ; ; ; 1/10; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; ; ; 
Draw; 8; 9; 17/2; 8; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; ; ; 
Legia Warsaw; 20; 20; 22; 22; ; 18; 22; 18; 22; ; ; ; 22; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; ; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-04 20:15:03 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/11; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 20; 20; 19; 20; 20; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 00:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/11; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 04:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/12; 1/10; 1/11; ; 1/8; 1/14; 1/10; 1/10; ; ; ; 1/11; ; 1/9; 1/9; 1/10; 1/9; 1/10; 1/9; 1/10; 1/8; 1/10; 1/9; ; ; 1/25; ; 
Draw; 8; 9; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; ; ; 17/2; ; 8; 11; 33/4; 9; 8; 9; 33/4; 10; 17/2; 9; ; ; 2/13; ; 
Legia Warsaw; 20; 20; 25; 25; ; 18; 22; 18; 25; ; ; ; 25; ; 25; 28; 79/4; 20; 19; 20; 79/4; 22; 17; 20; ; ; 2/13; ; 
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-05 08:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
