META; champions-league/juventus-v-lyon; 2016-10-20 20:15:26 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; ; ; ; 1/5; 1/5; ; ; ; ; 1/5; ; 1/4; 2/9; 3/14; 2/9; ; ; ; 1/4; 2/9; ; ; ; ; ; 
Draw; 11/2; ; 19/4; ; ; ; 5; 9/2; ; ; ; ; 5; ; 19/4; 11/2; 67/13; 60/11; ; ; ; 11/2; 24/5; ; ; ; ; ; 
Lyon; 14; ; 13; ; ; ; 14; 11; ; ; ; ; ; ; 12; 16; 25/2; 12; ; ; ; 14; 11; ; ; ; ; ; 
META; champions-league/juventus-v-lyon; 2016-10-21 00:15:36 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 2/9; 2/9; 2/9; 2/9; 1/5; 1/5; 1/4; 2/9; 2/9; ; 1/5; ; 1/4; 2/9; 3/14; 2/9; 1/4; 2/9; 3/14; 1/4; 2/9; 2/9; ; ; ; ; 
Draw; 11/2; ; 19/4; 9/2; 11/2; 5; 5; 9/2; 5; 19/4; 9/2; ; 5; ; 19/4; 11/2; 51/10; 60/11; 19/4; 27/5; 51/10; 11/2; 24/5; 60/11; ; ; ; ; 
Lyon; 14; ; 13; 12; 12; 12; 14; 11; 12; 12; 14; ; 14; ; 12; 16; 25/2; 12; 19/2; 12; 25/2; 14; 11; 12; ; ; ; ; 
META; champions-league/juventus-v-lyon; 2016-10-21 04:15:36 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 2/9; 2/9; 2/9; 2/9; 1/5; 1/5; 1/4; 2/9; 2/9; ; 1/5; ; 1/4; 2/9; 3/14; 2/9; 1/4; 2/9; 3/14; 1/4; 2/9; 2/9; ; ; ; ; 
Draw; 11/2; ; 19/4; 9/2; 11/2; 5; 5; 9/2; 5; 19/4; 9/2; ; 5; ; 19/4; 11/2; 51/10; 60/11; 19/4; 27/5; 51/10; 11/2; 24/5; 60/11; ; ; ; ; 
Lyon; 14; ; 13; 12; 12; 12; 14; 11; 12; 12; 14; ; 14; ; 12; 16; 25/2; 12; 19/2; 12; 25/2; 14; 11; 12; ; ; ; ; 
META; champions-league/juventus-v-lyon; 2016-10-21 08:15:37 GMT+3; 2016-11-02 19:45; e70300-dr003
Juventus; 2/11; ; 1/4; 2/9; 2/9; 2/9; 1/5; 1/5; 1/4; 2/9; 2/9; ; 1/5; ; 1/4; 2/9; 3/14; 2/9; 1/4; 2/9; 3/14; 1/4; 2/9; 2/9; ; ; ; ; 
Draw; 11/2; ; 19/4; 9/2; 11/2; 5; 5; 9/2; 5; 5; 9/2; ; 5; ; 19/4; 11/2; 51/10; 60/11; 19/4; 27/5; 51/10; 11/2; 24/5; 60/11; ; ; ; ; 
