META; champions-league/legia-warsaw-v-dundalk; 2016-08-18 12:19:37 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; ; 4/9; ; ; 1/2; ; 4/9; ; ; 1/2; ; ; ; 9/20; ; ; ; 1/2; 5/11; 1/2; 5/11; 1/2; ; ; 3/10; ; 
Draw; ; 16/5; ; ; 16/5; ; 17/5; ; ; 57/17; ; ; ; 10/3; ; ; ; 57/17; 7/2; 10/3; 38/11; 18/5; ; ; 3; ; 
Dundalk; ; 11/2; ; ; 11/2; ; 11/2; ; ; 11/2; ; ; ; 6; ; ; ; 11/2; 11/2; 11/2; 96/17; 61/10; ; ; 22/5; ; 
META; champions-league/legia-warsaw-v-dundalk; 2016-08-18 16:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/9; 1/2; ; 1/2; 1/2; 4/9; 9/20; ; 1/2; 1/2; 1/2; 1/2; ; 12/25; 1/2; 1/2; 1/2; 1/2; 5/11; 1/2; 3/7; 1/2; ; ; ; ; 
Draw; 10/3; 3; ; 10/3; 16/5; 16/5; 16/5; ; 3; 57/17; 16/5; 29/10; ; 16/5; 16/5; 13/4; 10/3; 57/17; 7/2; 10/3; 38/11; 18/5; ; ; ; ; 
Dundalk; 6; 11/2; ; 5; 11/2; 5; 6; ; 11/2; 11/2; 11/2; 11/2; ; 6; 11/2; 23/4; 11/2; 11/2; 11/2; 11/2; 6; 61/10; ; ; 31/5; ; 
META; champions-league/legia-warsaw-v-dundalk; 2016-08-18 20:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/9; 1/2; ; 1/2; 1/2; 4/9; 9/20; 4/9; 1/2; 1/2; 10/21; 4/9; ; 12/25; 1/2; 1/2; 4/9; 1/2; 5/11; 1/2; 5/12; 1/2; ; ; 4/9; ; 1/2
Draw; 10/3; 3; ; 10/3; 16/5; 16/5; 16/5; 10/3; 3; 57/17; 16/5; 29/10; ; 16/5; 16/5; 13/4; 10/3; 57/17; 7/2; 10/3; 38/11; 18/5; ; ; 3; ; 7/2
Dundalk; 6; 11/2; ; 5; 11/2; 5; 6; 11/2; 11/2; 11/2; 6; 11/2; ; 6; 6; 23/4; 6; 11/2; 11/2; 11/2; 25/4; 61/10; ; ; 29/5; ; 13/2
META; champions-league/legia-warsaw-v-dundalk; 2016-08-19 00:15:04 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/9; 4/9; ; 4/9; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; 4/9; ; 4/9; 4/9; 9/20; 4/9; 1/2; 4/9; 1/2; 2/5; 1/2; 7/15; ; 4/9; ; 4/9
Draw; 10/3; 3; ; 3; 16/5; 16/5; 33/10; 10/3; 10/3; 57/17; 10/3; 29/10; ; 10/3; 16/5; 10/3; 10/3; 57/17; 7/2; 10/3; 7/2; 18/5; 38/11; ; 10/3; ; 7/2
Dundalk; 6; 6; ; 7; 11/2; 5; 6; 11/2; 6; 11/2; 13/2; 11/2; ; 13/2; 13/2; 13/2; 6; 11/2; 11/2; 11/2; 27/4; 61/10; 11/2; ; 32/5; ; 34/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-19 04:15:04 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/9; 4/9; ; 4/9; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; 4/9; ; 4/9; 4/9; 9/20; 4/9; 1/2; 4/9; 1/2; ; 1/2; 7/15; ; 4/9; ; 4/9
Draw; 10/3; 3; ; 3; 16/5; 16/5; 33/10; 10/3; 10/3; 57/17; 10/3; 3; ; 10/3; 16/5; 10/3; 10/3; 57/17; 7/2; 10/3; ; 18/5; 38/11; ; 10/3; ; 7/2
Dundalk; 6; 6; ; 7; 11/2; 5; 6; 11/2; 6; 11/2; 13/2; 6; ; 13/2; 13/2; 13/2; 6; 11/2; 11/2; 11/2; ; 61/10; 11/2; ; 32/5; ; 34/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-19 08:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/9; 4/9; ; 4/9; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; 4/9; ; 4/9; 4/9; 9/20; 4/9; 1/2; 4/9; 1/2; ; ; 7/15; ; 4/9; ; 4/9
Draw; 10/3; 16/5; ; 3; 16/5; 16/5; 33/10; 10/3; 10/3; 57/17; 10/3; 3; ; 10/3; 16/5; 10/3; 10/3; 57/17; 7/2; 10/3; ; ; 38/11; ; 10/3; ; 7/2
