META; champions-league/leicester-v-sevilla; 2017-02-23 04:15:28 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; ; ; 6/5; 11/10; ; 11/10; 21/20; ; ; 1; ; 21/20; ; ; 11/10; 21/20; 11/10; 11/10; 21/20; 59/50; ; 11/10; ; ; ; ; 
Leicester; 5/2; ; ; 11/5; 5/2; ; 12/5; 9/4; ; ; 5/2; ; 49/20; ; ; 5/2; 12/5; 9/4; 23/10; 12/5; 129/50; ; 40/17; ; ; ; ; 
Draw; 13/5; ; ; 11/5; 13/5; ; 13/5; 5/2; ; ; 23/10; ; 51/20; ; ; 13/5; 28/11; 5/2; 13/5; 28/11; 129/50; ; 13/5; ; ; ; ; 
META; champions-league/leicester-v-sevilla; 2017-02-23 08:15:11 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 11/10; ; ; 6/5; ; 1; 11/10; 21/20; ; ; 1; ; 21/20; ; ; 11/10; 21/20; 11/10; 11/10; 11/10; 59/50; ; 11/10; ; ; ; ; 
Leicester; 12/5; ; ; 11/5; ; 12/5; 5/2; 9/4; ; ; 5/2; ; 49/20; ; ; 5/2; 12/5; 9/4; 23/10; 9/4; 129/50; ; 40/17; ; ; ; ; 
Draw; 12/5; ; ; 11/5; ; 13/5; 5/2; 5/2; ; ; 23/10; ; 51/20; ; ; 13/5; 28/11; 5/2; 13/5; 5/2; 129/50; ; 13/5; ; ; ; ; 
META; champions-league/leicester-v-sevilla; 2017-02-23 12:15:17 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 21/20; ; ; 21/20; 21/20; 21/20; ; ; 15/13; 11/10; 11/10; 11/10; 11/10; 59/50; ; 11/10; 11/10; ; ; ; 
Draw; 12/5; 12/5; 12/5; 9/4; 13/5; 13/5; 5/2; 5/2; ; ; 23/10; 23/10; 5/2; ; ; 5/2; 27/11; 5/2; 13/5; 27/11; 129/50; ; 13/5; 12/5; ; ; ; 
Leicester; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 13/5; 9/4; ; ; 12/5; 13/5; 49/20; ; ; 5/2; 40/17; 9/4; 23/10; 40/17; 129/50; ; 40/17; 12/5; ; ; ; 
META; champions-league/leicester-v-sevilla; 2017-02-23 16:15:24 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 21/20; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 21/20; ; ; 1; 21/20; 21/20; ; 21/20; 11/10; 1; 11/10; 11/10; 1; 23/20; 30/29; 11/10; 21/20; ; ; ; 21/20
Draw; 5/2; 12/5; 12/5; 9/4; 13/5; 13/5; 5/2; 5/2; ; ; 23/10; 23/10; 5/2; ; 13/5; 13/5; 27/11; 5/2; 13/5; 27/11; 13/5; 28/11; 13/5; 12/5; ; ; ; 5/2
Leicester; 12/5; 12/5; 49/20; 23/10; 5/2; 12/5; 13/5; 9/4; ; ; 12/5; 13/5; 51/20; ; 5/2; 5/2; 28/11; 9/4; 23/10; 28/11; 53/20; 13/5; 40/17; 12/5; ; ; ; 14/5
META; champions-league/leicester-v-sevilla; 2017-02-23 20:15:16 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 21/20; 1; 23/20; 11/10; ; 1; 20/21; 21/20; 21/20; ; 19/20; 1; 19/20; ; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; ; ; ; 1
Draw; 5/2; 5/2; 12/5; 9/4; ; 13/5; 13/5; 5/2; 5/2; ; 23/10; 12/5; 51/20; ; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 28/11; 13/5; 12/5; ; ; ; 13/5
Leicester; 12/5; 13/5; 49/20; 23/10; ; 12/5; 14/5; 9/4; 13/5; ; 13/5; 11/4; 27/10; ; 5/2; 13/5; 45/17; 12/5; 5/2; 45/17; 59/20; 27/10; 5/2; 5/2; ; ; ; 14/5
META; champions-league/leicester-v-sevilla; 2017-02-24 00:15:13 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 1; 23/20; 1; ; 1; 21/20; 21/20; 21/20; ; 19/20; 1; 19/20; ; 21/20; 21/20; 19/20; 1; 1; 19/20; 103/100; 1; 1; 1; ; ; ; 20/21
Draw; 13/5; 5/2; 12/5; 23/10; ; 13/5; 5/2; 5/2; 5/2; ; 23/10; 12/5; 51/20; ; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 28/11; 13/5; 12/5; ; ; ; 13/5
Leicester; 5/2; 13/5; 49/20; 5/2; ; 12/5; 13/5; 9/4; 13/5; ; 13/5; 11/4; 27/10; ; 5/2; 27/10; 11/4; 12/5; 11/4; 11/4; 3; 27/10; 11/4; 13/5; ; ; ; 3
META; champions-league/leicester-v-sevilla; 2017-02-24 04:15:16 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 1; 23/20; 1; 1; 1; 1; 21/20; 21/20; ; 19/20; 1; 19/20; ; 21/20; 21/20; 19/20; 1; 1; 19/20; 103/100; 1; 1; 1; ; ; ; 1
Draw; 13/5; 5/2; 12/5; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 5/2; 51/20; ; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 28/11; 13/5; 12/5; ; ; ; 13/5
Leicester; 5/2; 13/5; 49/20; 5/2; 11/4; 12/5; 27/10; 9/4; 13/5; ; 13/5; 13/5; 27/10; ; 5/2; 27/10; 11/4; 12/5; 11/4; 11/4; 3; 27/10; 11/4; 13/5; ; ; ; 3
META; champions-league/leicester-v-sevilla; 2017-02-24 08:15:16 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 1; 23/20; 1; 1; 1; 1; 21/20; 21/20; ; 1; 1; 19/20; ; 21/20; 21/20; 19/20; 1; 1; 19/20; 103/100; 1; 1; 1; ; ; ; 1
Draw; 13/5; 5/2; 12/5; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 5/2; 51/20; ; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 28/11; 13/5; 12/5; ; ; ; 13/5
Leicester; 5/2; 13/5; 49/20; 5/2; 11/4; 12/5; 27/10; 9/4; 13/5; ; 5/2; 13/5; 27/10; ; 5/2; 27/10; 11/4; 12/5; 11/4; 11/4; 3; 27/10; 11/4; 13/5; ; ; ; 3
META; champions-league/leicester-v-sevilla; 2017-02-24 12:15:17 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 1; 1; 21/20; 1; 1; 1; 1; 21/20; 21/20; ; 1; 1; 19/20; ; 1; 21/20; 19/20; 1; 1; 19/20; 103/100; 19/20; 1; 1; ; ; ; 1
Draw; 13/5; 5/2; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 5/2; 51/20; ; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 13/5; 13/5; 12/5; ; ; ; 13/5
Leicester; 5/2; 13/5; 27/10; 5/2; 11/4; 12/5; 27/10; 9/4; 13/5; ; 5/2; 13/5; 27/10; ; 11/4; 13/5; 11/4; 12/5; 11/4; 11/4; 3; 14/5; 11/4; 13/5; ; ; ; 14/5
META; champions-league/leicester-v-sevilla; 2017-02-24 16:15:17 GMT+2; 2017-03-14 19:45; e70300-dr003
Sevilla; 19/20; 1; 21/20; 1; 1; 1; 1; 21/20; 21/20; ; 1; 1; 19/20; ; 1; 21/20; 19/20; 1; 1; 19/20; 103/100; 19/20; 1; 19/20; ; ; ; 1
Draw; 13/5; 5/2; 49/20; 23/10; 13/5; 13/5; 13/5; 5/2; 5/2; ; 23/10; 5/2; 51/20; ; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 53/20; 13/5; 13/5; 12/5; ; ; ; 13/5
