META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-08 20:15:12 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/6; 1/5; 1/6; ; 2/13; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/6; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; ; ; 
Draw; ; 11/2; 11/2; 11/2; 11/2; ; 11/2; ; 11/2; 11/2; ; ; 11/2; ; ; ; 6; 94/19; 11/2; 9/2; 11/2; 94/19; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 12; 12; 12; ; 20; ; 14; 16; ; ; 12; ; ; ; 16; 55/4; 16; 14; 16; 55/4; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-09 00:15:12 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 2/13; 1/7; 2/11; 1/7; ; 2/15; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/7; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; ; ; 
Draw; ; 6; 11/2; 11/2; 11/2; ; 6; ; 11/2; 11/2; ; ; 11/2; ; ; ; 13/2; 96/19; 11/2; 9/2; 11/2; 96/19; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 14; 14; 14; ; 20; ; 14; 17; ; ; 12; ; ; ; 16; 29/2; 17; 14; 17; 29/2; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-09 04:15:13 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 2/13; 1/7; 2/11; 1/7; ; 2/15; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/7; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; ; ; 
Draw; ; 6; 11/2; 11/2; 11/2; ; 6; ; 11/2; 11/2; ; ; 11/2; ; ; ; 13/2; 94/19; 11/2; 9/2; 11/2; 94/19; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 14; 14; 14; ; 20; ; 14; 17; ; ; 12; ; ; ; 16; 57/4; 17; 14; 17; 57/4; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-09 08:15:17 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 2/13; 1/7; 2/11; 1/7; ; ; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/7; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; 1/10; ; 
Draw; ; 6; 11/2; 11/2; 11/2; ; ; ; 11/2; 11/2; ; ; 11/2; ; ; ; 13/2; 5; 11/2; 9/2; 11/2; 5; 6; ; ; 7/2; ; 
Lincoln Red Imps FC; ; 14; 14; 14; 14; ; ; ; 14; 17; ; ; 12; ; ; ; 16; 14; 17; 14; 17; 14; 29/2; ; ; 17/2; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-09 12:15:25 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 2/13; 1/7; 2/11; 1/7; ; 2/15; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/7; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; ; ; 
Draw; ; 6; 11/2; 11/2; 11/2; ; 6; ; 11/2; 11/2; ; ; 11/2; ; ; ; 13/2; 5; 11/2; 9/2; 11/2; 5; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 14; 14; 14; ; 20; ; 14; 17; ; ; 12; ; ; ; 16; 14; 17; 14; 17; 14; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-09 16:15:20 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/6; 1/5; 1/6; ; ; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/6; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; 1/6; ; 
Draw; ; 11/2; 5; 11/2; 5; ; ; ; 11/2; 11/2; ; ; 11/2; ; ; ; 6; 5; 11/2; 9/2; 11/2; 5; 6; ; ; 23/5; ; 
Lincoln Red Imps FC; ; 14; 12; 12; 12; ; ; ; 14; 17; ; ; 12; ; ; ; 16; 14; 17; 14; 17; 14; 29/2; ; ; 71/5; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-09 20:15:25 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/6; 1/5; 1/6; ; 2/13; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/6; 2/17; 3/19; 2/9; 1/6; 2/17; 1/5; ; ; ; ; 
Draw; ; 11/2; 5; 11/2; 5; ; 11/2; ; 11/2; 11/2; ; ; 11/2; ; ; ; 6; 5; 11/2; 9/2; 11/2; 5; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 12; 12; 12; ; 20; ; 14; 17; ; ; 12; ; ; ; 16; 14; 17; 14; 17; 14; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-10 00:15:17 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/6; 1/5; 1/6; ; 2/13; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/6; 1/7; 3/19; 2/9; 1/6; 1/7; 1/5; ; ; ; ; 
Draw; ; 11/2; 5; 11/2; 5; ; 11/2; ; 11/2; 11/2; ; ; 11/2; ; ; ; 6; 21/4; 11/2; 9/2; 11/2; 21/4; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 12; 12; 12; ; 18; ; 14; 17; ; ; 12; ; ; ; 16; 16; 17; 14; 17; 16; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-10 04:15:13 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/6; 2/11; 1/6; ; 1/7; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/6; 1/7; 3/19; 2/9; 1/6; 1/7; 1/5; ; ; ; ; 
Draw; ; 11/2; 5; 11/2; 5; ; 11/2; ; 11/2; 11/2; ; ; 11/2; ; ; ; 6; 21/4; 11/2; 9/2; 11/2; 21/4; 6; ; ; ; ; 
Lincoln Red Imps FC; ; 14; 14; 14; 14; ; 22; ; 14; 17; ; ; 12; ; ; ; 16; 16; 17; 14; 17; 16; 29/2; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-10 08:15:12 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/6; 2/11; 1/6; ; 1/7; ; 1/6; 3/19; ; ; 1/8; ; ; ; 1/6; 1/7; 3/19; 2/9; 1/6; 1/7; 1/5; ; ; 2/11; ; 
Draw; ; 11/2; 5; 11/2; 5; ; 11/2; ; 11/2; 11/2; ; ; 11/2; ; ; ; 6; 21/4; 11/2; 9/2; 11/2; 21/4; 6; ; ; 24/5; ; 
Lincoln Red Imps FC; ; 14; 14; 14; 14; ; 22; ; 14; 17; ; ; 12; ; ; ; 16; 16; 17; 14; 17; 16; 29/2; ; ; 71/5; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-10 12:15:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; ; 1/6; 1/7; 2/11; 1/7; ; 1/7; ; 2/13; 3/19; ; ; 1/8; ; ; ; 1/6; 1/8; 3/19; 1/6; 1/6; 1/8; 1/5; ; ; 2/11; ; 
Draw; ; 11/2; 11/2; 11/2; 11/2; ; 11/2; ; 6; 11/2; ; ; 11/2; ; ; ; 6; 91/17; 11/2; 11/2; 11/2; 91/17; 6; ; ; 5; ; 
Lincoln Red Imps FC; ; 14; 14; 16; 14; ; 22; ; 14; 17; ; ; 12; ; ; ; 16; 16; 17; 15; 17; 16; 29/2; ; ; 78/5; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-10 16:15:21 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/9; 1/8; 1/8; 1/8; 1/12; 2/17; 1/10; 1/9; 2/17; ; 1/14; 1/8; 1/10; 1/12; ; 2/17; 2/17; 1/6; 1/8; 1/10; 1/5; ; ; 2/11; ; 
Draw; 8; 7; 13/2; 13/2; 13/2; 13/2; 7; 7; 15/2; 7; ; 9; 11/2; 6; 10; ; 7; 7; 11/2; 7; 13/2; 6; ; ; 33/5; ; 
Lincoln Red Imps FC; 16; 18; 16; 22; 16; 14; 18; 17; 18; 17; ; 40; 12; 20; 35; ; 18; 17; 15; 17; 63/4; 29/2; ; ; 17; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-10 20:15:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/8; 1/10; 1/12; 1/10; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; ; 1/9; 2/17; 1/6; 1/8; 1/11; 1/9; ; ; 2/11; ; 
Draw; 8; 7; 15/2; 7; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; ; 8; 7; 11/2; 7; 27/4; 9; ; ; 11/2; ; 
Lincoln Red Imps FC; 16; 22; 18; 20; 18; 14; 19; 19; 20; 17; ; 40; 16; 22; 20; ; 20; 17; 29/2; 17; 71/4; 25; ; ; 19; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 00:15:21 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/10; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; ; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 31/4; 7; 29/4; 43/5; ; ; ; ; 
Lincoln Red Imps FC; 16; 22; 18; 25; 18; 14; 22; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 19; 17; 37/2; 18; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 03:45:17 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; 1/8; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; 41/5; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 28; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 04:15:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; 1/8; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; 41/5; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 28; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 05:45:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; 2/15; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; 8; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 26; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 06:16:59 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; 2/15; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; 8; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 26; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 07:45:15 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; ; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; ; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 08:15:14 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/11; 1/8; ; ; 2/15; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; 8; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 26; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 09:45:15 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/10; 2/17; ; 1/14; 1/9; 1/12; 1/10; 1/10; 1/9; 2/17; 1/10; 1/8; 1/12; 1/8; ; ; ; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 15/2; 8; 7; ; 9; 7; 13/2; 8; 15/2; 8; 7; 8; 7; 29/4; 43/5; ; ; ; ; 
Lincoln Red Imps FC; 16; 22; 18; 22; 18; 14; 21; 19; 20; 17; ; 40; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 11:45:15 GMT+3; 2016-07-12 19:00; e70300-dr003
Celtic; 1/12; 1/10; 1/10; 1/8; 1/10; 1/12; 1/11; 1/12; 1/10; 2/17; ; ; 1/9; 1/12; 1/10; 1/10; 1/10; 2/17; 1/10; 1/8; 1/12; 1/8; ; ; 1/8; ; 
Draw; 8; 7; 15/2; 15/2; 15/2; 13/2; 8; 8; 8; 7; ; ; 7; 13/2; 8; 15/2; 17/2; 7; 8; 7; 29/4; 43/5; ; ; 41/5; ; 
Lincoln Red Imps FC; 16; 20; 18; 20; 18; 14; 21; 19; 20; 17; ; ; 16; 22; 20; 22; 20; 17; 37/2; 17; 73/4; 18; ; ; 28; ; 
META; champions-league/lincoln-red-imps-fc-v-celtic; 2016-07-11 12:08:48 GMT+3; 2016-07-12 19:00; e70300-dr003
