META; champions-league/porto-v-fc-copenhagen; 2016-08-26 16:15:39 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 1/2; ; 1/2; 1/2; 1/2; ; ; 6/11; 10/21; 8/15; 17/35; 4/7; 5/9; ; ; 4/9; ; 
Draw; 13/5; 3; 3; 14/5; 3; 3; 3; 4; 3; 16/5; 3; ; 14/5; 3; 14/5; ; ; 16/5; 13/4; 3; 3; 41/13; 29/10; ; ; 13/5; ; 
FC Copenhagen; 11/2; 11/2; 6; 6; 6; 7; 11/2; 13/2; 11/2; 6; 6; ; 5; 6; 6; ; ; 6; 11/2; 6; 113/19; 6; 9/2; ; ; 11/2; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-26 20:15:35 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 1/2; ; 1/2; 1/2; 1/2; ; ; 6/11; 10/21; 8/15; 17/35; 8/15; 1/2; ; ; ; ; 
Draw; 13/5; 3; 3; 14/5; 3; 3; 3; 4; 3; 16/5; 3; ; 14/5; 3; 14/5; ; ; 16/5; 13/4; 3; 3; 13/4; 31/10; ; ; ; ; 
FC Copenhagen; 11/2; 11/2; 6; 6; 6; 7; 11/2; 13/2; 11/2; 6; 6; ; 5; 6; 6; ; ; 6; 11/2; 6; 6; 13/2; 5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-27 00:15:39 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 1/2; ; 1/2; 1/2; 1/2; 8/15; ; 6/11; 10/21; 8/15; 17/35; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 3; 14/5; 3; 3; 3; 4; 3; 16/5; 3; ; 14/5; 3; 14/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 6; 6; 6; 7; 11/2; 13/2; 11/2; 6; 6; ; 5; 6; 6; 5; ; 6; 11/2; 6; 6; 13/2; 5; ; ; 28/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-27 04:15:35 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 8/15; 1/2; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 1/2; ; 1/2; 1/2; 1/2; 8/15; ; 6/11; 10/21; 8/15; 17/35; 8/15; 1/2; ; ; ; ; 
Draw; 13/5; 3; 3; 14/5; 3; 3; 3; 4; 3; 16/5; 3; ; 14/5; 3; 14/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 31/10; ; ; ; ; 
FC Copenhagen; 11/2; 11/2; 6; 6; 6; 7; 11/2; 13/2; 11/2; 6; 6; ; 5; 6; 6; 5; ; 6; 11/2; 6; 6; 13/2; 5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-27 08:15:33 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 8/15; 1/2; 1/2; ; 1/3; 8/15; 6/11; 8/15; ; 1/2; 1/2; 1/2; 8/15; ; 6/11; 10/21; 8/15; 1/2; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; ; 4; 3; 16/5; 3; ; 14/5; 3; 14/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; ; 13/2; 11/2; 6; 11/2; ; 5; 6; 6; 5; ; 6; 11/2; 6; 23/4; 13/2; 5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-27 12:15:38 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 8/15; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; ; 1/2; 1/2; 1/2; 8/15; ; 6/11; 10/21; 8/15; 1/2; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; 3; 4; 3; 16/5; 3; ; 14/5; 3; 14/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; ; 5; 6; 6; 5; ; 6; 11/2; 6; 23/4; 13/2; 5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-27 16:15:44 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; ; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; 3; 4; 3; 16/5; 14/5; ; 14/5; 59/20; 14/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; ; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; 13/2; 5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-27 20:15:45 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; ; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; 3; 4; 3; 16/5; 14/5; ; 14/5; 59/20; 14/5; 3; ; 16/5; 16/5; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; ; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; 13/2; 5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-28 00:15:38 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; ; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; 3; 4; 3; 16/5; 14/5; ; 14/5; 59/20; 14/5; 3; ; 16/5; 16/5; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; ; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 96/17; 13/2; 5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-28 04:15:32 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; ; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 8/15; 1/2; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; 3; 4; 3; 16/5; 14/5; ; 14/5; 59/20; 14/5; 3; ; 16/5; 16/5; 3; 3; 13/4; 31/10; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; ; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 96/17; 13/2; 5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-28 08:15:32 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 4/7; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 1/3; 8/15; 6/11; 8/15; ; 1/2; 8/15; 8/15; 11/20; ; 6/11; 10/21; 8/15; 18/35; 8/15; 7/12; ; ; 1/2; ; 
Draw; 13/5; 3; 29/10; 14/5; 3; 3; 3; 4; 3; 16/5; 14/5; ; 14/5; 59/20; 14/5; 3; ; 16/5; 16/5; 3; 3; 13/4; 37/13; ; ; 3; ; 
FC Copenhagen; 11/2; 11/2; 11/2; 11/2; 6; 7; 11/2; 13/2; 11/2; 6; 11/2; ; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 96/17; 13/2; 22/5; ; ; 29/5; ; 
