META; champions-league/porto-v-roma; 2016-08-05 16:15:31 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 11/10; 23/20; ; ; 11/10; ; 11/8; ; 11/10; 11/10; ; 1; 21/20; 11/10; 5/4; 11/10; 11/10; 11/10; 5/4; 11/10; 21/20; 5/4; ; ; ; ; 
Draw; 12/5; 11/5; ; ; 23/10; ; 85/40; ; 23/10; 11/5; ; 11/5; 23/10; 47/20; 11/5; 9/4; 12/5; 11/5; 28/13; 11/5; 11/5; 40/17; ; ; ; ; 
Roma; 12/5; 23/10; ; ; 12/5; ; 21/10; ; 12/5; 14/5; ; 11/5; 23/10; 5/2; 9/4; 12/5; 5/2; 14/5; 11/5; 14/5; 27/11; 33/13; ; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-05 20:15:25 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 6/5; 5/4; 5/4; ; 5/4; 5/4; 5/4; 1; 21/20; 5/4; 13/10; 27/20; 6/5; 5/4; 5/4; 5/4; 6/5; 5/4; ; ; 6/5; ; 
Draw; 12/5; 85/40; ; 21/10; 11/5; 11/5; 11/5; ; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 21/10; 12/5; 11/5; 28/13; 11/5; 28/13; 40/17; ; ; 11/5; ; 
Roma; 11/5; 11/5; ; 23/10; 9/4; 43/20; 11/5; ; 11/5; 12/5; 11/5; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 28/13; 33/13; ; ; 19/10; ; 
META; champions-league/porto-v-roma; 2016-08-06 00:15:23 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 6/5; 5/4; 5/4; ; 5/4; 5/4; 5/4; 1; 21/20; 5/4; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 6/5; 5/4; ; ; 6/5; ; 
Draw; 12/5; 11/5; ; 21/10; 9/4; 11/5; 11/5; ; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; 28/13; 40/17; ; ; 11/5; ; 
Roma; 11/5; 85/40; ; 23/10; 11/5; 43/20; 11/5; ; 11/5; 12/5; 11/5; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 28/13; 33/13; ; ; 19/10; ; 
META; champions-league/porto-v-roma; 2016-08-06 04:15:23 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; ; 5/4; 5/4; 13/10; 1; 21/20; 5/4; 11/8; 13/10; 6/5; 5/4; 5/4; 5/4; 6/5; 5/4; ; ; 5/4; ; 
Draw; 12/5; 85/40; ; 9/4; 11/5; 11/5; 11/5; ; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; 28/13; 40/17; ; ; 11/5; ; 
Roma; 11/5; 85/40; ; 21/10; 11/5; 21/10; 21/10; ; 11/5; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 28/13; 33/13; ; ; 19/10; ; 
META; champions-league/porto-v-roma; 2016-08-06 08:15:23 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 13/10; ; 13/10; 5/4; 13/10; 13/10; ; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 11/8; 13/10; 6/5; 5/4; 5/4; 5/4; ; 23/17; ; ; 5/4; ; 
Roma; 11/5; 85/40; ; 21/10; 21/10; 41/20; 21/10; ; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; ; 44/19; ; ; 19/10; ; 
Draw; 12/5; 21/10; ; 9/4; 9/4; 11/5; 11/5; ; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; ; 40/17; ; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-06 12:15:24 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; ; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 85/40; ; 21/10; 21/10; 41/20; 21/10; ; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 85/40; ; 9/4; 9/4; 11/5; 11/5; ; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-06 16:15:24 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; ; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; ; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 11/5; ; 21/10; 11/5; 41/20; 21/10; ; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; ; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 85/40; ; 9/4; 11/5; 11/5; 11/5; ; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; ; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-06 20:15:23 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; ; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 11/5; ; 21/10; 11/5; 41/20; 21/10; ; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 85/40; ; 9/4; 11/5; 11/5; 11/5; ; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-07 00:15:23 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; ; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 11/5; ; 21/10; 11/5; 41/20; 21/10; ; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 85/40; ; 9/4; 11/5; 11/5; 11/5; ; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 12/5; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-07 04:15:29 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 11/5; ; 21/10; 11/5; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 85/40; ; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-07 08:15:26 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 5/4; ; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 85/40; ; 21/10; 11/5; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 85/40; ; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-07 12:15:28 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 13/10; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 85/40; ; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 23/10; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 21/10; ; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 28/13; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-07 16:15:25 GMT+3; 2016-08-16 19:45; e70300-dr003
Porto; 6/5; 13/10; ; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 21/20; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 5/4; ; 
