META; english/championship/barnsley-v-ipswich; 2017-03-05 00:21:01 GMT+2; 2017-03-11 15:00; e70300-dr003
Barnsley; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Ipswich; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/championship/barnsley-v-ipswich; 2017-03-05 04:22:09 GMT+2; 2017-03-11 15:00; e70300-dr003
Barnsley; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Ipswich; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/barnsley-v-ipswich; 2017-03-05 08:22:30 GMT+2; 2017-03-11 15:00; e70300-dr003
Barnsley; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Ipswich; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/barnsley-v-ipswich; 2017-03-05 12:23:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Barnsley; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Ipswich; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/barnsley-v-ipswich; 2017-03-05 16:22:49 GMT+2; 2017-03-11 15:00; e70300-dr003
Barnsley; 11/8; 13/10; ; ; ; ; 11/8; ; 7/5; ; 27/20; 11/8; ; 11/8; ; 16/11; ; ; ; ; ; ; ; ; ; 20/21; ; 
Ipswich; 15/8; 19/10; ; ; ; ; 2; ; 15/8; ; 15/8; 19/10; ; 19/10; ; 2; ; ; ; ; ; ; ; ; ; 7/5; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; 11/5; 12/5; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; 7/4; ; 
