META; english/championship/birmingham-v-leeds; 2017-02-26 00:20:12 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/20; ; ; ; 23/17; ; ; 4/6; ; 
Birmingham; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 21/10; ; ; 10/11; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 11/5; ; ; 20/21; ; 
META; english/championship/birmingham-v-leeds; 2017-02-26 04:20:49 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; ; 11/8; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; 27/20; ; ; ; 23/17; ; ; 4/6; ; 
Birmingham; ; 9/5; ; ; ; ; ; ; 85/40; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 21/10; ; ; 10/11; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 11/5; ; ; 20/21; ; 
META; english/championship/birmingham-v-leeds; 2017-02-26 08:20:43 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; ; 11/8; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; 27/20; ; ; ; 23/17; ; ; 4/6; ; 
Birmingham; ; 9/5; ; ; ; ; ; ; 85/40; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; 21/10; ; ; 10/11; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; 11/5; ; ; 20/21; ; 
META; english/championship/birmingham-v-leeds; 2017-02-26 12:23:09 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; ; ; 7/5; ; 7/5; ; 7/5; ; ; ; ; ; ; 7/5; ; ; 27/20; ; ; ; 23/17; ; ; 21/20; ; 
Birmingham; 15/8; 9/5; ; ; 21/10; ; 2; ; 85/40; ; ; ; ; ; ; 2; ; ; 21/10; ; ; ; 21/10; ; ; 8/5; ; 
Draw; 12/5; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; ; ; ; ; 12/5; ; ; 11/5; ; ; ; 11/5; ; ; 7/4; ; 
META; english/championship/birmingham-v-leeds; 2017-02-26 16:23:20 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 11/8; 11/8; ; ; 11/8; ; 11/8; ; 7/5; ; ; ; 11/8; ; ; 7/5; 23/17; ; 27/20; 23/17; ; ; 23/17; ; ; 21/20; ; 
Birmingham; 15/8; 9/5; ; ; 2; ; 2; ; 2; ; ; ; 39/20; ; ; 2; 37/19; ; 2; 37/19; ; ; 2; ; ; 7/5; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; ; ; 47/20; ; ; 12/5; 23/10; ; 9/4; 23/10; ; ; 9/4; ; ; 21/10; ; 
META; english/championship/birmingham-v-leeds; 2017-02-26 20:21:52 GMT+2; 2017-03-03 19:45; e70300-dr003
Leeds; 5/4; 11/8; ; ; 11/8; ; 13/10; ; 13/10; 13/10; ; 13/10; 13/10; 5/4; ; 13/10; 13/10; ; 27/20; 13/10; ; ; 23/17; ; ; 27/20; ; 
