META; english/championship/birmingham-v-newcastle; 2017-03-12 00:19:59 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Birmingham; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-12 04:20:30 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Birmingham; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-12 08:20:53 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Birmingham; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-12 12:20:08 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Birmingham; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-12 16:20:09 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; ; 4/5; 3/4; ; 8/11; ; 4/5; 8/11; ; ; 10/13; ; ; 4/5; 14/19; ; 4/5; 14/19; ; 14/19; 4/5; ; ; 8/11; ; 
Draw; 14/5; 5/2; ; 13/5; 3; ; 14/5; ; 11/4; 13/5; ; ; 53/20; ; ; 14/5; 45/17; ; 27/10; 45/17; ; 27/10; 27/10; ; ; 13/5; ; 
Birmingham; 15/4; 10/3; ; 17/5; 18/5; ; 19/5; ; 7/2; 15/4; ; ; 7/2; ; ; 7/2; 57/17; ; 3; 57/17; ; 13/4; 16/5; ; ; 7/2; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-12 20:21:19 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 8/11; ; 8/11; 8/11; 8/11; ; 8/11; 8/11; 3/4; 4/5; 10/13; ; 8/11; 10/13; ; 14/19; 13/17; 8/11; ; 4/6; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; ; 14/5; 13/5; 5/2; ; 27/10; 11/4; 11/4; 14/5; 45/17; ; 13/5; 45/17; ; 27/10; 45/17; 11/4; ; 13/5; ; 
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 37/10; 19/5; ; 19/5; 15/4; 18/5; ; 15/4; 15/4; 15/4; 4; 39/11; ; 7/2; 39/11; ; 13/4; 7/2; 7/2; ; 7/2; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-13 00:19:48 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 8/11; ; 8/11; 8/11; 8/11; ; 8/11; 8/11; 3/4; 8/11; 10/13; ; 8/11; 10/13; ; 14/19; 13/17; 8/11; ; 4/6; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; ; 14/5; 13/5; 5/2; ; 27/10; 11/4; 11/4; 27/10; 45/17; ; 13/5; 45/17; ; 27/10; 45/17; 11/4; ; 13/5; ; 
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 37/10; 19/5; ; 19/5; 15/4; 18/5; ; 15/4; 15/4; 15/4; 4; 39/11; ; 7/2; 39/11; ; 13/4; 7/2; 7/2; ; 7/2; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-13 04:19:28 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 8/11; ; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 10/13; ; 8/11; 10/13; ; 14/19; 13/17; 8/11; ; 4/6; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 27/10; 45/17; ; 13/5; 45/17; ; 27/10; 45/17; 11/4; ; 13/5; ; 
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 37/10; 19/5; ; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 7/2; ; 7/2; 7/2; ; 13/4; 7/2; 7/2; ; 7/2; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-13 08:19:45 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 8/11; ; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 10/13; ; 8/11; 10/13; ; 14/19; 13/17; 8/11; ; 4/6; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; ; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 27/10; 45/17; ; 13/5; 45/17; ; 27/10; 45/17; 11/4; ; 13/5; ; 
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 37/10; 19/5; ; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 7/2; ; 7/2; 7/2; ; 13/4; 7/2; 7/2; ; 7/2; ; 
META; english/championship/birmingham-v-newcastle; 2017-03-13 12:20:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 8/11; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 77/100; 14/19; 13/17; 7/10; ; 4/6; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 11/4; 45/17; 13/5; 13/5; 45/17; 14/5; 27/10; 45/17; 11/4; ; 13/5; 27/10; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 15/4; 19/5; 7/2; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 39/11; 15/4; 7/2; 39/11; 21/5; 13/4; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-13 16:23:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 3/4; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 77/100; 13/17; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 4; 19/5; 15/4; 7/2; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 21/5; 18/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-13 20:21:00 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 77/100; 13/17; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 21/5; 18/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-14 00:19:57 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 77/100; 13/17; 13/17; 7/10; 11/14; ; 8/11; 4/6; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 12/5; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 21/5; 18/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-14 04:19:54 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 77/100; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 21/5; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 4
META; english/championship/birmingham-v-newcastle; 2017-03-14 08:19:52 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 3/4; 4/6; 8/11; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 77/100; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 11/4; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 21/5; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-14 12:21:07 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 4/5; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 77/100; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 17/5; 19/5; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 21/5; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-14 16:20:18 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 4/6; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 8/11; 5/7; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 4; 19/5; 15/4; 15/4; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 15/4; 15/4; 7/2; 15/4; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-14 20:20:41 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 3/4; 3/4; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 13/18; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 11/4; 14/5; 13/5; 5/2; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 5/2; 14/5
Birmingham; 15/4; 19/5; 19/5; 15/4; 19/5; 19/5; 15/4; 7/2; 19/5; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 19/5; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-15 00:20:12 GMT+2; 2017-03-18 15:00; e70300-dr003
