META; english/championship/brentford-v-wigan; 2016-09-25 00:21:19 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-25 04:20:27 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-25 08:20:49 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-25 12:21:49 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 23/20; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 13/5; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-25 16:21:52 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 23/20; ; 11/10; ; ; 21/20; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; 11/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 13/5; ; 13/5; ; ; 12/5; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-25 20:22:40 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; ; 21/20; ; 21/20; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; ; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 5/2; ; 13/5; ; 13/5; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 00:20:35 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; 21/20; 21/20; ; 21/20; 21/20; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; ; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; ; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 5/2; 28/11; 13/5; ; 13/5; 28/11; ; ; ; ; ; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 04:20:24 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; 21/20; 21/20; ; 21/20; 21/20; ; ; ; ; 8/11; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 27/10; ; 13/5; 13/5; ; 12/5; ; 53/20; ; ; 5/2; 28/11; 13/5; ; 13/5; 28/11; ; ; ; ; 7/4; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 08:20:49 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; 21/20; 21/20; ; 21/20; 21/20; ; ; ; ; 4/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; ; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; ; 12/5; 40/17; ; ; ; ; 11/5; ; 
Wigan; 5/2; 23/10; ; ; 5/2; ; 13/5; ; 13/5; 13/5; ; 12/5; ; 13/5; ; ; 5/2; 28/11; 13/5; ; 13/5; 28/11; ; ; ; ; 8/5; ; 
META; english/championship/brentford-v-wigan; 2016-09-26 12:21:19 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 11/10; 11/10; ; ; 11/10; ; 11/10; ; 11/10; 21/20; ; 21/20; ; 21/20; ; ; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; ; ; ; ; 4/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; ; 23/10; 12/5; ; 11/5; ; 47/20; ; ; 12/5; 40/17; 12/5; 9/4; 12/5; 40/17; ; ; ; ; 11/5; ; 
