META; english/championship/burton-v-nottingham-forest; 2017-03-05 00:21:06 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Nottingham Forest; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-05 04:22:16 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Nottingham Forest; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-05 08:22:38 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Nottingham Forest; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-05 12:23:28 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Nottingham Forest; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-05 16:22:56 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; 6/4; 11/8; ; ; 8/5; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 6/4; ; 17/11; ; ; ; 6/4; ; ; ; ; ; 5/4; ; 
Nottingham Forest; 7/4; 9/5; ; ; 9/5; ; 15/8; ; 9/5; ; 17/10; 15/8; ; 7/4; ; 15/8; ; ; ; 17/10; ; ; ; ; ; 6/4; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 23/10; ; 12/5; ; 9/4; 9/4; ; 12/5; ; 12/5; ; ; ; 9/4; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-05 20:22:01 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; 6/4; 11/8; 31/20; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 6/4; ; 17/11; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; 13/10; ; 
Nottingham Forest; 7/4; 9/5; 9/5; ; 15/8; ; 15/8; ; 9/5; ; 17/10; 15/8; ; 7/4; ; 15/8; 7/4; ; 9/5; 7/4; ; ; 9/5; ; ; 8/5; ; 
Draw; 23/10; 23/10; 47/20; ; 12/5; ; 23/10; ; 12/5; ; 9/4; 9/4; ; 12/5; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-06 00:20:41 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; 6/4; 11/8; 31/20; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 6/4; ; 17/11; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; 11/8; ; 
Nottingham Forest; 7/4; 9/5; 9/5; ; 15/8; ; 15/8; ; 9/5; ; 17/10; 15/8; ; 7/4; ; 15/8; 7/4; ; 9/5; 7/4; ; ; 9/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 47/20; ; 12/5; ; 23/10; ; 12/5; ; 9/4; 9/4; ; 12/5; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-06 04:20:32 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; 6/4; 11/8; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 6/4; ; 17/11; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; 11/8; ; 
Nottingham Forest; 7/4; 9/5; 9/5; ; 15/8; ; 15/8; ; 9/5; ; 17/10; 15/8; ; 7/4; ; 15/8; 7/4; ; 9/5; 7/4; ; ; 9/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 12/5; ; 12/5; ; 23/10; ; 12/5; ; 9/4; 9/4; ; 12/5; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
META; english/championship/burton-v-nottingham-forest; 2017-03-06 08:20:41 GMT+2; 2017-03-11 15:00; e70300-dr003
Burton; 6/4; 11/8; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 6/4; ; 17/11; 6/4; ; 6/4; 6/4; ; ; 6/4; ; ; 11/8; ; 
Nottingham Forest; 7/4; 9/5; 9/5; ; 15/8; ; 15/8; ; 9/5; ; 17/10; 15/8; ; 7/4; ; 15/8; 7/4; ; 9/5; 7/4; ; ; 9/5; ; ; 13/8; ; 
Draw; 23/10; 23/10; 12/5; ; 12/5; ; 23/10; ; 12/5; ; 9/4; 9/4; ; 12/5; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 23/10; ; ; 21/10; ; 
