META; english/championship/burton-v-wolves; 2017-01-29 00:21:27 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Burton; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-wolves; 2017-01-29 04:21:20 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Burton; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-wolves; 2017-01-29 08:20:55 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Burton; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-wolves; 2017-01-29 12:22:07 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 6/4; 3/2; ; 31/20; 6/4; 6/4; 31/20; ; 6/4; ; ; ; ; ; ; 17/11; 16/11; ; ; 16/11; ; ; ; ; ; 10/11; ; 
Burton; 9/5; 13/8; ; 7/4; 15/8; 9/5; 9/5; ; 9/5; ; ; ; ; ; ; 7/4; 7/4; ; ; 7/4; ; ; ; ; ; 10/9; ; 
Draw; 9/4; 23/10; ; 23/10; 12/5; 9/4; 23/10; ; 23/10; ; ; ; ; ; ; 23/10; 11/5; ; ; 11/5; ; ; ; ; ; 21/10; ; 
META; english/championship/burton-v-wolves; 2017-01-30 10:38:44 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 6/4; 3/2; 8/5; 6/4; ; 6/4; 6/4; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 17/11; 6/4; 6/4; 7/5; 6/4; ; ; 10/7; ; ; 7/5; ; 
Burton; 9/5; 13/8; 37/20; 15/8; ; 9/5; 15/8; ; 9/5; ; 7/4; ; 15/8; 15/8; ; 9/5; 9/5; 7/4; 19/10; 9/5; ; ; 19/10; ; ; 9/5; ; 
Draw; 9/4; 23/10; 11/5; 11/5; ; 9/4; 23/10; ; 23/10; ; 21/10; ; 23/10; 11/5; ; 9/4; 9/4; 9/4; 9/4; 9/4; ; ; 9/4; ; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-30 12:21:01 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 6/4; 3/2; 8/5; 6/4; ; 6/4; 6/4; ; 6/4; ; 6/4; ; 29/20; 6/4; ; 17/11; 6/4; 6/4; 7/5; 6/4; ; ; 10/7; ; ; 7/5; ; 
Burton; 9/5; 13/8; 37/20; 15/8; ; 9/5; 15/8; ; 9/5; ; 7/4; ; 15/8; 15/8; ; 9/5; 9/5; 7/4; 19/10; 9/5; ; ; 19/10; ; ; 9/5; ; 
Draw; 9/4; 23/10; 11/5; 11/5; ; 9/4; 23/10; ; 23/10; ; 21/10; ; 23/10; 11/5; ; 9/4; 9/4; 9/4; 9/4; 9/4; ; ; 9/4; ; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-30 16:21:11 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 6/4; 6/4; 6/4; 29/20; 6/4; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 16/11; 16/11; 6/4; 7/5; 16/11; ; ; 10/7; 6/4; ; 7/5; ; 
Burton; 2; 19/10; 2; 2; 21/10; 2; 2; 15/8; 15/8; 2; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 7/4; 19/10; 19/10; ; ; 19/10; 15/8; ; 19/10; ; 
Draw; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 2; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; ; ; 9/4; 11/5; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-30 20:22:09 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 7/5; 6/4; 6/4; 29/20; 29/20; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 16/11; ; 6/4; 7/5; 16/11; ; ; 10/7; 7/5; ; 7/5; ; 
Burton; 2; 2; 2; 2; 21/10; 2; 2; 15/8; 15/8; 2; 15/8; 19/10; 39/20; 19/10; 19/10; 2; ; 7/4; 19/10; 19/10; ; ; 19/10; 15/8; ; 19/10; ; 
Draw; 9/4; 9/4; 21/10; 21/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 2; 11/5; 11/5; 9/4; 9/4; 9/4; ; 9/4; 9/4; 11/5; ; ; 9/4; 11/5; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-31 00:20:45 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 7/5; 6/4; 6/4; 29/20; 29/20; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 16/11; 16/11; 6/4; 7/5; 16/11; ; ; 10/7; 7/5; ; 7/5; ; 
Burton; 2; 2; 2; 2; 21/10; 2; 2; 15/8; 15/8; 2; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 7/4; 19/10; 19/10; ; ; 19/10; 15/8; ; 19/10; ; 
Draw; 9/4; 9/4; 21/10; 21/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 2; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; ; ; 9/4; 11/5; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-31 04:20:50 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 7/5; 6/4; 6/4; 29/20; 6/4; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 16/11; 16/11; 6/4; 7/5; 16/11; ; ; 10/7; 7/5; ; 7/5; ; 
Burton; 2; 2; 2; 2; 21/10; 39/20; 2; 15/8; 15/8; 2; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 7/4; 19/10; 19/10; ; ; 19/10; 15/8; ; 19/10; ; 
Draw; 9/4; 9/4; 21/10; 21/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 2; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; ; ; 9/4; 11/5; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-31 08:20:59 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 7/5; 6/4; 6/4; 29/20; 29/20; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 16/11; 16/11; 16/11; 7/5; 16/11; ; ; 10/7; 7/5; ; 7/5; ; 
Burton; 2; 2; 2; 2; 21/10; 39/20; 2; 15/8; 15/8; 2; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 9/5; 19/10; 19/10; ; ; 19/10; 15/8; ; 19/10; ; 
Draw; 9/4; 9/4; 21/10; 21/10; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 2; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; ; ; 9/4; 11/5; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-31 12:21:54 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 16/11; 16/11; 16/11; 7/5; 16/11; ; 24/17; 10/7; 6/4; ; 7/5; ; 
Burton; 2; 2; 2; 2; 2; 39/20; 2; 15/8; 15/8; 19/10; 15/8; 19/10; 39/20; 19/10; 19/10; 2; 19/10; 9/5; 19/10; 19/10; ; 25/14; 19/10; 15/8; ; 19/10; ; 
Draw; 9/4; 9/4; 21/10; 2; 9/4; 23/10; 9/4; 11/5; 23/10; 11/5; 2; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; ; 9/4; 9/4; 11/5; ; 11/5; ; 
META; english/championship/burton-v-wolves; 2017-01-31 16:21:51 GMT+2; 2017-02-04 15:00; e70300-dr003
Wolves; 11/8; 7/5; 6/4; 6/4; 6/4; 6/4; 29/20; 13/10; 6/4; 7/5; 29/20; 6/4; 29/20; 29/20; 6/4; 6/4; 16/11; 16/11; 7/5; 16/11; ; 10/7; 10/7; 6/4; ; 7/5; ; 
