META; english/championship/cardiff-v-brentford; 2017-04-02 20:19:14 GMT+3; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 11/2; 5; 11/2; 6; 11/2; 5; 6; 11/2; 21/4; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 11/2; 25/4; 21/4; 11/2; 25/4; ; 49/10; 11/2; 11/2; 11/2; ; ; 32/5; 
Plymouth 1-0; 7; 7; 15/2; 15/2; 7; 13/2; 8; 7; 7; 7; 15/2; 7; 7; 15/2; 7; 7; 31/4; 29/4; 7; 31/4; ; 67/10; 7; 7; 7; ; ; 7; 
Plymouth 2-1; 8; 8; 8; 8; 15/2; 15/2; 17/2; 15/2; 8; 15/2; 8; 15/2; 15/2; 8; 15/2; 15/2; 17/2; 31/4; 8; 17/2; ; 38/5; 8; 8; 8; ; ; 38/5; 
Accrington 1-0; 10; 9; 10; 10; 10; 9; 21/2; 10; 9; 9; 9; 9; 9; 10; 9; 9; 19/2; 19/2; 10; 19/2; ; 44/5; 10; 9; 10; ; ; 48/5; 
Draw 0-0; 10; 11; 10; 11; 10; 19/2; 8; 17/2; 10; 10; 10; 9; 8; 11; 10; 9; 33/4; 27/4; 8; 33/4; ; 10; 8; ; 8; ; ; 46/5; 
Plymouth 2-0; 10; 10; 10; 11; 10; 19/2; 11; 10; 9; 10; 10; 9; 10; 10; 9; 10; 21/2; 21/2; 21/2; 21/2; ; 9; 21/2; 9; 21/2; ; ; 58/5; 
Accrington 2-1; 10; 10; 10; 10; 10; 10; 12; 11; 10; 10; 10; 10; 10; 10; 10; 10; 41/4; 21/2; 11; 41/4; ; 10; 11; 10; 11; ; ; 48/5; 
Draw 2-2; 12; 12; 12; 14; 12; 11; 14; 12; 12; 12; 12; 11; 11; 12; 11; 12; 55/4; 23/2; 13; 55/4; ; 12; 13; 12; 13; ; ; 68/5; 
Plymouth 3-1; 16; 16; 15; 16; 16; 12; 17; 16; 16; 14; 16; 14; 14; 16; 12; 14; 67/4; 31/2; 16; 67/4; ; 16; 16; 16; 16; ; ; 92/5; 
Accrington 2-0; 16; 16; 16; 16; 16; 12; 18; 17; 16; 16; 16; 16; 18; 16; 14; 14; 61/4; 17; 17; 61/4; ; 15; 17; 14; 17; ; ; 92/5; 
Plymouth 3-0; 20; 20; 20; 20; 18; 16; 21; 20; 20; 20; 20; 18; 20; 20; 18; 18; 81/4; 37/2; 19; 81/4; ; 19; 19; 18; 19; ; ; 21; 
Accrington 3-1; 25; 25; 22; 25; 25; 20; 28; 25; 25; 25; 25; 22; 22; 25; 22; 22; 23; 25; 26; 23; ; 26; 26; 25; 26; ; ; 31; 
Plymouth 3-2; 25; 25; 22; 25; 22; 20; 28; 22; 25; 22; 25; 22; 25; 25; 20; 22; 51/2; 25; 25; 51/2; ; 27; 25; 25; 25; ; ; 28; 
Any Other Score; ; ; 25; ; ; ; ; 25; 33; ; ; ; ; ; ; ; ; 22; ; ; ; 28; ; ; ; ; ; ; 
