META; english/championship/cardiff-v-burton; 2017-01-14 20:22:08 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/cardiff-v-burton; 2017-01-15 00:22:10 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Burton; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
META; english/championship/cardiff-v-burton; 2017-01-15 04:20:06 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Burton; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
META; english/championship/cardiff-v-burton; 2017-01-15 08:20:05 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/10; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Burton; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
META; english/championship/cardiff-v-burton; 2017-01-15 12:21:07 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; 8/11; 5/6; ; 4/5; 3/4; 4/5; 4/5; ; ; 3/4; ; ; 10/13; 8/11; ; 4/5; 14/19; ; ; ; 5/6; ; ; ; ; 8/11; ; 
Draw; 13/5; 5/2; ; 13/5; 11/4; 13/5; 27/10; ; ; 13/5; ; ; 53/20; 27/10; ; 13/5; 40/17; ; ; ; 11/4; ; ; ; ; 5/2; ; 
Burton; 15/4; 3; ; 7/2; 19/5; 19/5; 7/2; ; ; 7/2; ; ; 7/2; 19/5; ; 7/2; 38/11; ; ; ; 19/5; ; ; ; ; 7/2; ; 
META; english/championship/cardiff-v-burton; 2017-01-15 20:20:56 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; 8/11; 5/6; 4/5; 3/4; 3/4; 4/5; 3/4; ; 4/5; 3/4; ; 3/4; 3/4; 8/11; 4/5; 4/5; 14/19; ; 8/11; 10/13; 5/6; 8/11; 14/19; ; ; 8/11; ; 
Draw; 13/5; 5/2; 13/5; 5/2; 11/4; 13/5; 11/4; ; 13/5; 13/5; ; 5/2; 13/5; 13/5; 5/2; 13/5; 12/5; ; 13/5; 27/11; 11/4; 13/5; 13/5; ; ; 5/2; ; 
Burton; 15/4; 3; 19/5; 15/4; 4; 15/4; 15/4; ; 7/2; 7/2; ; 10/3; 15/4; 4; 15/4; 7/2; 18/5; ; 7/2; 15/4; 19/5; 3; 19/5; ; ; 7/2; ; 
META; english/championship/cardiff-v-burton; 2017-01-16 00:20:33 GMT+2; 2017-01-21 15:00; e70300-dr003
Cardiff; 8/11; 5/6; 3/4; 3/4; 3/4; 3/4; 3/4; ; 4/5; 3/4; ; 3/4; 3/4; 3/4; 4/5; 4/5; 14/19; ; 8/11; 10/13; 5/6; 8/11; 14/19; ; ; 8/11; 8/11; 
Draw; 13/5; 5/2; 13/5; 5/2; 11/4; 13/5; 11/4; ; 13/5; 13/5; ; 5/2; 13/5; 13/5; 5/2; 13/5; 12/5; ; 13/5; 27/11; 11/4; 13/5; 13/5; ; ; 5/2; 13/5; 
Burton; 15/4; 3; 4; 15/4; 4; 15/4; 15/4; ; 7/2; 7/2; ; 10/3; 15/4; 19/5; 15/4; 7/2; 62/17; ; 7/2; 15/4; 19/5; 3; 19/5; ; ; 7/2; 7/2; 
META; english/championship/cardiff-v-burton; 2017-01-16 04:20:01 GMT+2; 2017-01-21 15:00; e70300-dr003
