META; english/championship/cardiff-v-leeds; 2016-09-11 04:20:34 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leeds; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/cardiff-v-leeds; 2016-09-11 08:20:43 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leeds; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/cardiff-v-leeds; 2016-09-11 12:22:14 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; ; 23/20; ; 11/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 12/5; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
Leeds; 5/2; 23/10; ; ; 5/2; ; 13/5; ; 5/2; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/cardiff-v-leeds; 2016-09-11 16:20:38 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; 11/10; 23/20; ; 11/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; ; 23/10; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 7/5; ; 
Leeds; 5/2; 23/10; ; ; 5/2; 5/2; 13/5; ; 13/5; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 6/4; ; 
META; english/championship/cardiff-v-leeds; 2016-09-11 20:21:30 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 5/6; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; ; 23/10; ; ; 11/5; ; 23/10; ; ; 9/4; 9/4; ; ; ; 9/4; ; ; ; ; 9/5; ; 
Leeds; 5/2; 23/10; ; ; 5/2; 5/2; 27/10; ; 13/5; ; ; 12/5; ; 53/20; ; ; 5/2; 5/2; ; ; ; 5/2; ; ; ; ; 19/10; ; 
META; english/championship/cardiff-v-leeds; 2016-09-12 00:20:17 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 15/13; 11/10; ; ; ; 11/10; ; ; ; ; 20/21; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; ; 23/10; ; ; 11/5; ; 23/10; ; ; 9/4; 9/4; ; ; ; 9/4; ; ; ; ; 21/10; ; 
Leeds; 5/2; 23/10; ; ; 5/2; 5/2; 27/10; ; 13/5; ; ; 12/5; ; 53/20; ; ; 5/2; 28/11; ; ; ; 28/11; ; ; ; ; 23/10; ; 
META; english/championship/cardiff-v-leeds; 2016-09-12 04:20:56 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 11/10; 11/10; ; ; ; 11/10; ; ; ; ; 20/21; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; ; 23/10; ; ; 11/5; ; 23/10; ; ; 12/5; 9/4; ; ; ; 9/4; ; ; ; ; 21/10; ; 
Leeds; 5/2; 23/10; ; ; 5/2; 5/2; 27/10; ; 13/5; ; ; 12/5; ; 53/20; ; ; 5/2; 28/11; ; ; ; 28/11; ; ; ; ; 9/4; ; 
META; english/championship/cardiff-v-leeds; 2016-09-12 08:20:51 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; ; 11/10; ; ; 21/20; ; 21/20; ; ; 11/10; 11/10; ; ; ; 11/10; ; ; ; ; 20/21; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; ; 23/10; ; ; 11/5; ; 23/10; ; ; 12/5; 9/4; ; ; ; 9/4; ; ; ; ; 21/10; ; 
Leeds; 5/2; 23/10; ; ; 5/2; 5/2; 27/10; ; 13/5; ; ; 12/5; ; 53/20; ; ; 5/2; 28/11; ; ; ; 28/11; ; ; ; ; 9/4; ; 
META; english/championship/cardiff-v-leeds; 2016-09-12 12:21:20 GMT+3; 2016-09-17 12:30; e70300-dr003
Cardiff; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 11/10; ; ; 21/20; ; 21/20; ; ; 11/10; 11/10; ; ; ; 11/10; ; ; ; ; 20/21; ; 
Draw; 9/4; 23/10; ; ; 23/10; 11/5; 23/10; 11/5; 23/10; ; ; 11/5; ; 23/10; ; ; 12/5; 9/4; ; ; ; 9/4; ; ; ; ; 21/10; ; 
