META; english/championship/cardiff-v-newcastle; 2017-04-26 19:44:01 GMT+3; 2017-04-28 19:45; e70300-dr003
Newcastle; 1; 1; 21/20; 19/20; 1; 21/20; 21/20; 10/11; 21/20; 1; 1; 1; 1; 1; 1; 1; 21/20; 19/20; 20/21; 21/20; 107/100; 17/16; 22/23; 21/20; 1; ; 1; 1; 21/20
Cardiff; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 11/4; 13/5; 12/5; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 27/10; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 13/5; ; 5/2; 12/5; 5/2
Draw; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 27/10; 5/2; 13/5; 27/10; 13/5; 13/5; 27/10; 5/2; 11/4; 27/10; 45/17; 5/2; 27/10; 45/17; 57/20; 27/10; 27/10; 5/2; 14/5; ; 27/10; 5/2; 14/5
META; english/championship/cardiff-v-newcastle; 2017-04-27 15:11:20 GMT+3; 2017-04-28 19:45; e70300-dr003
Newcastle; 21/20; 1; 21/20; 19/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 1; 1; 21/20; 20/21; 1; 27/25; 30/29; 28/29; 1; 1; ; 1; 1; 1
Cardiff; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 5/2; 28/11; 12/5; 5/2; 28/11; 51/20; 5/2; 5/2; 5/2; 28/11; ; 5/2; 5/2; 13/5
Draw; 14/5; 13/5; 13/5; 11/4; 13/5; 27/10; 14/5; 13/5; 13/5; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 27/10; 45/17; 5/2; 27/10; 45/17; 57/20; 27/10; 27/10; 5/2; 11/4; ; 11/4; 27/10; 14/5
META; english/championship/cardiff-v-newcastle; 2017-04-27 18:01:51 GMT+3; 2017-04-28 19:45; e70300-dr003
Newcastle; 21/20; 1; 21/20; 19/20; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 1; 21/20; 20/21; 1; 21/20; 30/29; 28/29; 1; 1; ; 21/20; 1; 21/20
Cardiff ; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 28/11; 12/5; 5/2; 28/11; 53/20; 5/2; 5/2; 5/2; 28/11; ; 12/5; 12/5; 5/2
Draw; 14/5; 13/5; 13/5; 11/4; 13/5; 13/5; 14/5; 13/5; 13/5; 27/10; 13/5; 13/5; 27/10; 14/5; 14/5; 27/10; 45/17; 5/2; 27/10; 45/17; 57/20; 27/10; 27/10; 5/2; 11/4; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-newcastle; 2017-04-28 10:10:31 GMT+3; 2017-04-28 19:45; e70300-dr003META; english/championship/cardiff-v-newcastle; 2017-04-28 11:04:44 GMT+3; 2017-04-28 19:45; e70300-dr003
Newcastle; 6/5; 11/10; 6/5; 11/10; 11/10; 23/20; 6/5; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 6/5; 6/5; 15/13; 15/13; 21/20; 21/20; ; 117/100; 8/7; 15/14; 23/20; 11/10; ; 23/20; 10/9; 23/20
Cardiff ; 5/2; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 9/4; 5/2; 5/2; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 12/5; 5/2; 9/4; ; 49/20; 12/5; 9/4; 12/5; 23/10; ; 12/5; 5/2; 5/2
Draw; 5/2; 5/2; 47/20; 5/2; 13/5; 12/5; 13/5; 5/2; 5/2; 23/10; 12/5; 12/5; 51/20; 5/2; 5/2; 5/2; 27/11; 12/5; 13/5; ; 27/10; 13/5; 45/17; 12/5; 27/10; ; 5/2; 5/2; 13/5
META; english/championship/cardiff-v-newcastle; 2017-04-28 16:09:53 GMT+3; 2017-04-28 19:45; e70300-dr003
Newcastle; 6/5; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 6/5; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 6/5; 15/13; 15/13; 11/10; 10/9; 15/13; 6/5; 19/16; 19/17; 6/5; 15/13; ; 23/20; 6/5; 6/5
Cardiff ; 5/2; 5/2; 49/20; 23/10; 12/5; 12/5; 5/2; 9/4; 12/5; 12/5; 12/5; 12/5; 49/20; 13/5; 12/5; 12/5; 40/17; 23/10; 23/10; 40/17; 49/20; 40/17; 23/10; 12/5; 40/17; ; 12/5; 12/5; 5/2
Draw; 5/2; 5/2; 47/20; 12/5; 13/5; 12/5; 13/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 13/5; 5/2; 27/11; 12/5; 5/2; ; 12/5; 12/5; 5/2
