META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-15 20:21:04 GMT+3; 2016-10-19 19:45; e70300-dr003
Cardiff; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 8/5; ; ; ; 8/5; ; ; ; ; 
Sheffield Wednesday; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; 17/10; ; ; ; 17/10; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 00:23:08 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 8/5; 3/2; ; ; 13/8; ; 8/5; ; 13/8; ; 7/5; 7/5; ; ; ; 6/4; ; 17/10; ; 17/10; 8/5; ; ; 17/10; ; ; 5/4; ; 
Cardiff; 17/10; 13/8; ; ; 13/8; ; 7/4; ; 7/4; ; 9/5; 8/5; ; ; ; 7/4; ; 8/5; ; 8/5; 28/17; ; ; 8/5; ; ; 27/20; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; ; 23/10; ; 12/5; 21/10; ; ; ; 12/5; ; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 23/20; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 04:20:30 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 8/5; 3/2; ; ; 13/8; ; 8/5; ; 13/8; ; 7/5; 7/5; ; 13/8; ; 17/11; 28/17; 17/10; ; 17/10; 28/17; ; ; 17/10; ; ; 6/4; ; 
Cardiff; 17/10; 13/8; ; ; 13/8; ; 17/10; ; 7/4; ; 9/5; 8/5; ; 17/10; ; 7/4; 28/17; 8/5; ; 8/5; 28/17; ; ; 8/5; ; ; 8/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; ; 23/10; ; 12/5; 21/10; ; 9/4; ; 9/4; 9/4; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 2; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 08:20:53 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 8/5; 3/2; ; ; 13/8; ; 8/5; ; 13/8; ; 7/5; 7/5; ; 13/8; ; 17/11; 28/17; 17/10; ; 17/10; 28/17; ; ; 17/10; ; ; 6/4; ; 
Cardiff; 17/10; 13/8; ; ; 13/8; ; 17/10; ; 7/4; ; 9/5; 8/5; ; 17/10; ; 7/4; 28/17; 8/5; ; 8/5; 28/17; ; ; 8/5; ; ; 8/5; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 12/5; ; 23/10; ; 12/5; 21/10; ; 9/4; ; 9/4; 9/4; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; 2; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 12:21:57 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 3/2; ; 17/10; 13/8; 31/20; 8/5; ; 13/8; 13/8; 7/5; 17/10; ; 8/5; ; 8/5; 28/17; 17/10; ; 17/10; ; ; ; 17/10; ; ; 6/4; ; 
Cardiff; 13/8; 13/8; ; 17/10; 13/8; 17/10; 7/4; ; 7/4; 7/4; 9/5; 9/5; ; 17/10; ; 7/4; 8/5; 8/5; ; 8/5; ; ; ; 8/5; ; ; 8/5; ; 
Draw; 9/4; 23/10; ; 11/5; 23/10; 9/4; 9/4; ; 23/10; 21/10; 12/5; 11/5; ; 23/10; ; 9/4; 9/4; 9/4; ; 9/4; ; ; ; 9/4; ; ; 2; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 16:21:27 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/10; 6/4; 29/20; 7/5; 13/8; 7/5; 11/8; 6/4; 6/4; 11/8; 7/5; 17/10; ; 11/8; 6/4; 16/11; 16/11; 8/5; 6/4; 8/5; 16/11; 6/4; 17/13; 8/5; ; ; 7/5; 7/5; 
Cardiff; 21/10; 15/8; 41/20; 19/10; 13/8; 41/20; 21/10; 6/4; 2; 2; 9/5; 9/5; ; 21/10; 19/10; 15/8; 19/10; 17/10; 17/10; 17/10; 19/10; 21/10; 21/11; 17/10; ; ; 2; 19/10; 
Draw; 9/4; 9/4; 43/20; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 11/5; 12/5; 11/5; ; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 9/4; 11/5; 40/17; 23/10; 9/4; ; ; 21/10; 21/10; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 20:21:31 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/10; 6/4; 7/5; 7/5; 13/8; 7/5; 11/8; 6/4; 7/5; 11/8; 7/5; 6/4; ; 11/8; 6/4; 16/11; 7/5; 7/5; 6/4; 7/5; 7/5; 6/4; 17/13; 7/5; 13/10; ; 7/5; 7/5; 
Cardiff; 21/10; 15/8; 43/20; 19/10; 13/8; 21/10; 21/10; 6/4; 2; 2; 9/5; 2; ; 21/10; 19/10; 15/8; 2; 37/19; 17/10; 19/10; 2; 21/10; 21/11; 37/19; 21/10; ; 2; 19/10; 
Draw; 9/4; 9/4; 43/20; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 11/5; 12/5; 9/4; ; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 11/5; 40/17; 23/10; 23/10; 11/5; ; 21/10; 21/10; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-17 00:21:18 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/10; 11/8; 7/5; 7/5; 13/8; 7/5; 11/8; 6/4; 7/5; 11/8; 7/5; 6/4; ; 11/8; 6/4; 7/5; 23/17; 7/5; 23/17; 7/5; 23/17; 6/4; 17/13; 7/5; 13/10; ; 7/5; 7/5; 
Cardiff; 21/10; 2; 43/20; 19/10; 13/8; 21/10; 21/10; 6/4; 85/40; 2; 9/5; 2; ; 21/10; 19/10; 2; 37/19; 37/19; 19/10; 19/10; 37/19; 21/10; 21/11; 37/19; 21/10; ; 2; 19/10; 
Draw; 9/4; 23/10; 43/20; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 11/5; 12/5; 9/4; ; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 11/5; 40/17; 23/10; 23/10; 11/5; ; 11/5; 21/10; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-17 04:21:14 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 11/8; 11/8; 7/5; 13/10; 13/8; 11/8; 11/8; 6/4; 7/5; 13/10; 7/5; 6/4; ; 11/8; 6/4; 7/5; 13/10; 7/5; 23/17; 7/5; 13/10; 7/5; 17/13; 7/5; 13/10; ; 7/5; 7/5; 
Cardiff; 2; 2; 43/20; 2; 13/8; 21/10; 21/10; 6/4; 85/40; 21/10; 9/5; 2; ; 21/10; 19/10; 2; 39/19; 37/19; 19/10; 19/10; 39/19; 41/18; 21/11; 37/19; 21/10; ; 21/10; 19/10; 
Draw; 9/4; 23/10; 43/20; 12/5; 23/10; 23/10; 23/10; 11/5; 9/4; 11/5; 12/5; 9/4; ; 11/5; 9/4; 9/4; 28/13; 23/10; 9/4; 23/10; 28/13; 40/17; 23/10; 23/10; 11/5; ; 11/5; 21/10; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-17 08:21:10 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 11/8; 7/5; 13/10; ; 11/8; 11/8; 6/4; 7/5; 13/10; 7/5; 6/4; ; 11/8; 6/4; 7/5; 13/10; 7/5; 23/17; 7/5; 13/10; 7/5; 13/10; 7/5; 13/10; ; 11/8; 27/20; 
Cardiff; 9/4; 2; 43/20; 2; ; 43/20; 21/10; 6/4; 85/40; 21/10; 9/5; 2; ; 21/10; 19/10; 2; 39/19; 37/19; 19/10; 19/10; 39/19; 41/18; 2; 37/19; 21/10; ; 21/10; 2; 
Draw; 23/10; 23/10; 43/20; 12/5; ; 23/10; 23/10; 11/5; 9/4; 11/5; 12/5; 9/4; ; 11/5; 9/4; 9/4; 28/13; 23/10; 9/4; 23/10; 28/13; 40/17; 11/5; 23/10; 11/5; ; 11/5; 21/10; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-17 12:22:22 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 7/5; 11/8; 69/50; 13/10; 11/8; 11/8; 11/8; 6/4; 7/5; 13/10; 11/8; 6/4; ; 11/8; 11/8; 7/5; 13/10; 7/5; 23/17; 7/5; 13/10; 13/9; 13/10; 7/5; 13/10; ; 7/5; 27/20; 
