META; english/championship/derby-v-burton; 2017-02-18 12:21:38 GMT+2; 2017-05-06 12:00; e70300-dr003
Derby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; 
META; english/championship/derby-v-burton; 2017-02-18 16:21:42 GMT+2; 2017-05-06 12:00; e70300-dr003
Derby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 4/5; ; 9/13; ; ; 8/15; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 11/4; ; 13/5; ; ; 23/10; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; 4; ; 21/5; ; ; 3; ; 
META; english/championship/derby-v-burton; 2017-02-18 20:22:31 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; ; ; ; ; 3/4; ; 8/11; ; ; ; ; ; ; ; ; ; 14/19; ; 4/6; 14/19; 4/5; ; 9/13; ; ; 8/15; ; 
Draw; ; ; ; ; 11/4; ; 27/10; ; ; ; ; ; ; ; ; ; 45/17; ; 13/5; 45/17; 11/4; ; 13/5; ; ; 23/10; ; 
Burton; ; ; ; ; 9/2; ; 4; ; ; ; ; ; ; ; ; ; 39/10; ; 21/5; 39/10; 4; ; 21/5; ; ; 3; ; 
META; english/championship/derby-v-burton; 2017-02-19 00:20:48 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 4/6; 8/11; ; 8/11; ; 7/10; 4/6; ; 8/11; 4/6; ; 4/6; 7/10; ; 8/11; 14/19; ; 4/6; 14/19; 39/50; ; 13/18; ; ; 4/6; ; 
Draw; 13/5; 13/5; 5/2; ; 11/4; ; 27/10; 13/5; ; 13/5; 12/5; ; ; 13/5; ; 14/5; 45/17; ; 5/2; 45/17; 11/4; ; 28/11; ; ; 12/5; ; 
Burton; 17/4; 9/2; 17/4; ; 9/2; ; 17/4; 7/2; ; 4; 10/3; ; 17/4; 9/2; ; 9/2; 4; ; 4; 4; 21/5; ; 41/10; ; ; 4; ; 
META; english/championship/derby-v-burton; 2017-02-19 04:20:21 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 4/6; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; 8/11; 4/6; 7/10; 4/6; 7/10; ; 8/11; 14/19; ; 4/6; 14/19; 39/50; ; 13/18; ; ; 4/6; ; 
Draw; 13/5; 13/5; 5/2; ; 11/4; ; 27/10; 13/5; 11/4; 13/5; 12/5; 13/5; 53/20; 13/5; ; 14/5; 45/17; ; 5/2; 45/17; 11/4; ; 28/11; ; ; 5/2; ; 
Burton; 17/4; 9/2; 17/4; ; 9/2; ; 17/4; 7/2; 17/4; 4; 10/3; 4; 17/4; 9/2; ; 9/2; 4; ; 4; 4; 21/5; ; 41/10; ; ; 4; ; 
META; english/championship/derby-v-burton; 2017-02-19 08:21:43 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 4/6; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; 8/11; 4/6; 7/10; 4/6; 7/10; ; 8/11; 5/7; ; 4/6; 14/19; 39/50; ; 13/18; ; ; 4/6; ; 
Draw; 13/5; 13/5; 5/2; ; 11/4; ; 27/10; 13/5; 11/4; 13/5; 12/5; 13/5; 53/20; 13/5; ; 14/5; 27/10; ; 5/2; 45/17; 11/4; ; 28/11; ; ; 5/2; ; 
Burton; 17/4; 9/2; 17/4; ; 9/2; ; 17/4; 7/2; 17/4; 4; 10/3; 4; 17/4; 9/2; ; 9/2; 75/19; ; 4; 4; 21/5; ; 41/10; ; ; 4; ; 
META; english/championship/derby-v-burton; 2017-02-19 12:20:52 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 4/6; 7/10; 8/11; 8/11; 8/11; 7/10; 7/10; 4/6; 8/11; 8/11; 4/6; 8/11; 4/6; 7/10; 7/10; 8/11; 14/19; 4/6; 4/6; 14/19; 3/4; ; 13/18; ; ; 4/6; ; 
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 13/5; 12/5; 5/2; 53/20; 13/5; 11/4; 11/4; 45/17; 5/2; 5/2; 45/17; 27/10; ; 28/11; ; ; 5/2; ; 
Burton; 17/4; 17/4; 17/4; 9/2; 9/2; 17/4; 21/5; 7/2; 17/4; 4; 10/3; 4; 17/4; 9/2; 4; 9/2; 4; 17/4; 4; 4; 9/2; ; 41/10; ; ; 4; ; 
META; english/championship/derby-v-burton; 2017-02-19 16:21:46 GMT+2; 2017-02-21 19:45; e70300-dr003
