META; english/championship/fulham-v-newcastle; 2016-07-01 12:16:11 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/11; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 47/20; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 14/5; 12/5; ; 27/10; ; 2; 5/2; 27/10; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 11/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-01 16:16:05 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/11; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 47/20; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 14/5; 12/5; ; 27/10; ; 2; 5/2; 27/10; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 11/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-01 20:16:44 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 4/11; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 23/10; ; 23/10; ; 11/5; 23/10; 47/20; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 14/5; 12/5; ; 27/10; ; 2; 5/2; 27/10; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 11/10; ; 
META; english/championship/fulham-v-newcastle; 2016-07-02 00:16:19 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-02 04:16:23 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
Fulham; 14/5; 5/2; ; 13/5; ; 13/5; 27/10; 12/5; ; 27/10; ; 2; 5/2; 53/20; 27/10; 12/5; ; 45/17; 27/10; 27/10; 27/10; 45/17; 56/19; ; ; 10/9; ; 
META; english/championship/fulham-v-newcastle; 2016-07-02 08:16:24 GMT+3; 2016-08-05 19:45; e70300-dr003
Newcastle; 20/21; 1; ; 1; ; 19/20; 1; 1; ; 1; ; 11/10; 1; 19/20; 19/20; 21/20; ; 1; 1; 19/20; 1; 1; 17/16; ; ; 1/100; ; 
Draw; 5/2; 12/5; ; 5/2; ; 13/5; 13/5; 23/10; ; 23/10; ; 11/5; 23/10; 12/5; 13/5; 12/5; ; 40/17; 23/10; 12/5; 23/10; 40/17; 28/11; ; ; 11/5; ; 
