META; english/championship/fulham-v-wigan; 2017-02-05 00:20:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/fulham-v-wigan; 2017-02-05 04:21:15 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/fulham-v-wigan; 2017-02-05 08:20:45 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/fulham-v-wigan; 2017-02-05 12:21:58 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wigan; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/fulham-v-wigan; 2017-02-05 16:22:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; 13/20; 4/7; 7/10; ; 4/6; ; 13/20; ; 4/6; 4/6; 4/6; ; 13/20; ; 7/10; 4/6; 11/17; ; ; 11/17; ; ; ; ; ; ; ; 
Draw; 14/5; 14/5; 27/10; ; 3; ; 29/10; ; 14/5; 11/4; 5/2; ; 57/20; ; 14/5; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; ; ; 
Wigan; 4; 9/2; 17/4; ; 9/2; ; 17/4; ; 17/4; 4; 4; ; 17/4; ; 4; 9/2; 39/10; ; ; 39/10; ; ; ; ; ; ; ; 
META; english/championship/fulham-v-wigan; 2017-02-05 20:22:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; 4/7; 4/7; 8/13; ; 8/13; 8/13; 3/5; ; 4/7; 8/13; 6/10; ; 4/7; ; 8/13; 8/13; 11/18; ; 4/7; 11/18; 17/25; ; 4/7; ; ; ; ; 
Draw; 3; 14/5; 14/5; ; 3; 3; 3; ; 3; 14/5; 27/10; ; 59/20; ; 3; 3; 29/10; ; 14/5; 29/10; 59/20; ; 29/10; ; ; ; ; 
Wigan; 9/2; 9/2; 19/4; ; 5; 470/100; 9/2; ; 19/4; 9/2; 9/2; ; 19/4; ; 9/2; 5; 74/17; ; 24/5; 74/17; 24/5; ; 24/5; ; ; ; ; 
META; english/championship/fulham-v-wigan; 2017-02-06 00:20:32 GMT+2; 2017-02-11 15:00; e70300-dr003
Fulham; 4/7; 4/7; 6/10; ; 3/5; 3/5; 4/7; ; 4/7; 3/5; 4/7; ; 4/7; ; 8/13; 8/13; 10/17; ; 4/7; 10/17; 17/25; ; 4/7; ; ; ; ; 
Draw; 3; 14/5; 29/10; ; 3; 3; 3; ; 3; 3; 11/4; ; 3; ; 3; 3; 29/10; ; 14/5; 29/10; 59/20; ; 29/10; ; ; ; ; 
Wigan; 9/2; 9/2; 19/4; ; 5; 19/4; 5; ; 19/4; 9/2; 9/2; ; 19/4; ; 9/2; 5; 23/5; ; 24/5; 23/5; 24/5; ; 24/5; ; ; ; ; 
