META; english/championship/ipswich-v-fulham; 2016-12-18 00:21:06 GMT+2; 2016-12-26 15:00; e70300-dr003
Fulham; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ipswich; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/ipswich-v-fulham; 2016-12-18 04:20:21 GMT+2; 2016-12-26 15:00; e70300-dr003
Fulham; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ipswich; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/ipswich-v-fulham; 2016-12-18 12:20:46 GMT+2; 2016-12-26 15:00; e70300-dr003
Fulham; ; 3/2; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ipswich; ; 17/10; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/ipswich-v-fulham; 2016-12-18 16:22:01 GMT+2; 2016-12-26 15:00; e70300-dr003
Fulham; 6/4; 3/2; 31/20; ; ; 31/20; 31/20; ; 8/5; 6/4; 6/4; 8/5; ; ; 6/4; ; 16/11; 6/4; ; 6/4; 6/4; ; 7/5; 6/4; 6/4; ; ; ; 
