META; english/championship/sheffield-wednesday-v-brighton; 2016-09-25 04:20:47 GMT+3; 2016-10-01 15:00; e70300-dr003
Sheffield Wednesday; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brighton; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/sheffield-wednesday-v-brighton; 2016-09-25 08:21:08 GMT+3; 2016-10-01 15:00; e70300-dr003
Sheffield Wednesday; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brighton; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/sheffield-wednesday-v-brighton; 2016-09-25 12:22:12 GMT+3; 2016-10-01 15:00; e70300-dr003
Sheffield Wednesday; 6/4; 3/2; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Brighton; 9/5; 13/8; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/sheffield-wednesday-v-brighton; 2016-09-25 16:22:19 GMT+3; 2016-10-01 15:00; e70300-dr003
Sheffield Wednesday; 6/4; 3/2; ; ; 6/4; ; 31/20; ; 8/5; ; ; 29/20; ; ; ; ; 17/11; ; ; ; ; ; ; ; ; ; ; ; 
Brighton; 9/5; 13/8; ; ; 7/4; ; 9/5; ; 9/5; ; ; 17/10; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; ; 23/10; ; ; 11/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/sheffield-wednesday-v-brighton; 2016-09-25 20:23:05 GMT+3; 2016-10-01 15:00; e70300-dr003
