META; english/championship/wigan-v-aston-villa; 2017-03-12 00:20:13 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/16; ; 
Wigan; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-12 04:20:50 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/16; ; 
Wigan; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-12 08:21:09 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/16; ; 
Wigan; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-12 12:20:22 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/16; ; 
Wigan; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-12 16:20:23 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 3/2; ; 29/20; 29/20; ; 29/20; ; 6/4; 7/5; ; ; 6/4; ; ; 17/11; 6/4; ; 6/4; 6/4; ; 39/29; 6/4; ; ; 7/5; ; 
Wigan; 19/10; 17/10; ; 2; 21/10; ; 21/10; ; 2; 21/10; ; ; 15/8; ; ; 2; 9/5; ; 9/5; 9/5; ; 133/67; 9/5; ; ; 2; ; 
Draw; 9/4; 9/4; ; 21/10; 11/5; ; 85/40; ; 11/5; 2; ; ; 9/4; ; ; 23/10; 28/13; ; 11/5; 28/13; ; ; 11/5; ; ; 2; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-12 20:21:35 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 6/4; 6/4; 29/20; 29/20; 6/4; 29/20; ; 6/4; 7/5; 29/20; ; 7/5; 7/5; 7/5; 17/11; 16/11; ; 7/5; 16/11; ; 7/5; 10/7; 6/4; ; 7/5; ; 
Wigan; 19/10; 21/10; 21/10; 2; 21/10; 41/20; 21/10; ; 2; 2; 2; ; 2; 19/10; 21/10; 2; 19/10; ; 19/10; 19/10; ; 19/10; 37/19; 15/8; ; 21/10; ; 
Draw; 9/4; 2; 41/20; 21/10; 11/5; 11/5; 85/40; ; 11/5; 2; 19/10; ; 11/5; 23/10; 11/5; 9/4; 28/13; ; 11/5; 28/13; ; ; 11/5; 21/10; ; 2; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-13 00:20:02 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 6/4; 6/4; 29/20; 29/20; 6/4; 29/20; ; 6/4; 7/5; 29/20; ; 7/5; 7/5; 7/5; 6/4; 16/11; ; 7/5; 16/11; ; 7/5; 10/7; 6/4; ; 7/5; ; 
Wigan; 19/10; 21/10; 21/10; 2; 21/10; 41/20; 21/10; ; 2; 2; 2; ; 2; 19/10; 21/10; 2; 19/10; ; 19/10; 19/10; ; 19/10; 37/19; 15/8; ; 21/10; ; 
Draw; 9/4; 2; 41/20; 21/10; 11/5; 11/5; 85/40; ; 11/5; 2; 19/10; ; 11/5; 23/10; 11/5; 11/5; 28/13; ; 11/5; 28/13; ; 28/13; 11/5; 21/10; ; 2; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-13 04:19:43 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 6/4; 6/4; 29/20; 29/20; 6/4; 29/20; ; 6/4; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 6/4; 16/11; ; 7/5; 16/11; ; 7/5; 10/7; 6/4; ; 7/5; ; 
Wigan; 19/10; 21/10; 21/10; 2; 21/10; 41/20; 21/10; ; 2; 2; 2; 21/10; 2; 19/10; 21/10; 2; 19/10; ; 19/10; 19/10; ; 19/10; 37/19; 15/8; ; 21/10; ; 
Draw; 9/4; 2; 41/20; 21/10; 11/5; 11/5; 85/40; ; 11/5; 2; 19/10; 2; 11/5; 23/10; 11/5; 11/5; 28/13; ; 11/5; 28/13; ; 28/13; 11/5; 21/10; ; 2; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-13 08:19:59 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 6/4; 6/4; 29/20; 29/20; 6/4; 29/20; ; 6/4; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 6/4; 16/11; ; 7/5; 16/11; ; 7/5; 10/7; 6/4; ; 7/5; ; 
Wigan; 19/10; 21/10; 21/10; 2; 21/10; 41/20; 21/10; ; 2; 2; 2; 21/10; 2; 19/10; 21/10; 2; 19/10; ; 19/10; 19/10; ; 19/10; 37/19; 15/8; ; 21/10; ; 
Draw; 9/4; 2; 41/20; 21/10; 11/5; 11/5; 85/40; ; 11/5; 2; 19/10; 2; 11/5; 23/10; 11/5; 11/5; 28/13; ; 11/5; 28/13; ; 28/13; 11/5; 21/10; ; 2; ; 
META; english/championship/wigan-v-aston-villa; 2017-03-13 12:20:55 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 7/5; 6/4; 6/4; 29/20; 29/20; 29/20; 29/20; 7/5; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 16/11; 7/5; 7/5; 16/11; 6/4; 7/5; 10/7; 7/5; ; 7/5; 7/5; 7/5
Wigan; 19/10; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 2; 2; 2; 21/10; 2; 19/10; 21/10; 2; 37/19; 2; 19/10; 37/19; 11/5; 19/10; 37/19; 2; ; 21/10; 2; 21/10
Draw; 9/4; 2; 41/20; 21/10; 11/5; 11/5; 85/40; 21/10; 11/5; 2; 19/10; 2; 11/5; 23/10; 11/5; 11/5; 28/13; 21/10; 11/5; 28/13; 9/4; 28/13; 11/5; 21/10; ; 19/10; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-13 16:23:25 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 7/5; 6/4; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 16/11; 16/11; 7/5; 7/5; 16/11; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Wigan; 2; 11/5; 43/20; 2; 11/5; 21/10; 85/40; 21/10; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 11/5; 39/19; 37/19; 21/10; 37/19; ; 2; 2; 11/5
Draw; 9/4; 19/10; 39/20; 21/10; 21/10; 21/10; 2; 21/10; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 39/19; 21/10; 11/5; 39/19; 9/4; 28/13; 11/5; 2; 9/4; ; 2; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-13 20:21:21 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 29/20; 29/20; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 7/5; 7/5; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Wigan; 2; 11/5; 11/5; 2; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 11/5; 39/19; 37/19; 21/10; 37/19; ; 2; 2; 11/5
Draw; 9/4; 19/10; 39/20; 21/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 39/19; 21/10; 11/5; 39/19; 9/4; 28/13; 11/5; 2; 9/4; ; 2; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-14 00:20:12 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 29/20; 29/20; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 7/5; 7/5; 7/5; 7/5; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Wigan; 2; 11/5; 11/5; 2; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 11/5; 39/19; 37/19; 21/10; 37/19; ; 2; 2; 11/5
Draw; 9/4; 19/10; 39/20; 21/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 39/19; 21/10; 11/5; 39/19; 9/4; 28/13; 11/5; 2; 9/4; ; 19/10; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-14 04:20:09 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 7/5; 16/11; 7/5; 7/5; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Wigan; 2; 11/5; 11/5; 2; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 11/5; 39/19; 37/19; 21/10; 37/19; ; 2; 2; 11/5
Draw; 9/4; 19/10; 39/20; 21/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 39/19; 2; 11/5; 39/19; 9/4; 28/13; 11/5; 2; 9/4; ; 19/10; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-14 08:20:06 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 7/5; 16/11; 7/5; 7/5; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Wigan; 2; 11/5; 11/5; 2; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 11/5; 39/19; 37/19; 21/10; 37/19; ; 2; 2; 11/5
Draw; 9/4; 19/10; 39/20; 21/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 2; 2; 11/5; 2; 9/4; 28/13; 11/5; 2; 9/4; ; 19/10; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-14 12:21:26 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 29/20; 6/4; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 6/4; 7/5; 16/11; 7/5; 7/5; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Wigan; 2; 11/5; 11/5; 2; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 11/5; 39/19; 37/19; 21/10; 37/19; ; 2; 2; 11/5
Draw; 9/4; 19/10; 39/20; 21/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 2; 2; 11/5; 2; 9/4; 28/13; 11/5; 2; 9/4; ; 19/10; 19/10; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-14 16:20:32 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 11/8; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 6/4; 7/5; 16/11; 7/5; 7/5; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 7/5; 6/4
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 2; 2; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 2; 2; 11/5; 2; 11/5; 28/13; 11/5; 2; 9/4; ; 19/10; 19/10; 2
Wigan; 2; 11/5; 11/5; 11/5; 11/5; 43/20; 85/40; 15/8; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 21/10; 2; 19/10; 21/10; 9/4; 39/19; 37/19; 21/10; 37/19; ; 21/10; 2; 11/5
META; english/championship/wigan-v-aston-villa; 2017-03-14 20:21:01 GMT+2; 2017-03-18 15:00; e70300-dr003
Aston Villa; 11/8; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 7/5; 6/4; 7/5; 7/5; 6/4; 7/5; 7/5; 7/5; 6/4; 16/11; 16/11; 7/5; 16/11; 6/4; 19/13; 10/7; 7/5; 31/21; ; 7/5; 13/10; 7/5
Draw; 9/4; 19/10; 39/20; 19/10; 21/10; 21/10; 2; 21/10; 2; 19/10; 15/8; 19/10; 21/10; 9/4; 21/10; 2; 39/19; 2; 11/5; 39/19; 11/5; 28/13; 11/5; 2; 9/4; ; 19/10; 9/5; 21/10
Wigan; 2; 11/5; 11/5; 11/5; 11/5; 43/20; 85/40; 21/10; 85/40; 21/10; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 28/13; 2; 19/10; 28/13; 9/4; 39/19; 37/19; 21/10; 37/19; ; 21/10; 2; 21/10
META; english/championship/wigan-v-aston-villa; 2017-03-15 00:20:27 GMT+2; 2017-03-18 15:00; e70300-dr003
