META; english/championship/wolves-v-bristol-city; 2016-12-18 00:21:11 GMT+2; 2016-12-26 15:00; e70300-dr003
Wolves; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bristol City; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-bristol-city; 2016-12-18 04:20:30 GMT+2; 2016-12-26 15:00; e70300-dr003
Wolves; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bristol City; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-bristol-city; 2016-12-18 12:20:55 GMT+2; 2016-12-26 15:00; e70300-dr003
Wolves; ; 11/8; ; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bristol City; ; 15/8; ; ; ; ; ; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-bristol-city; 2016-12-18 16:22:14 GMT+2; 2016-12-26 15:00; e70300-dr003
Wolves; 13/10; 11/8; 27/20; ; ; 13/10; 13/10; ; 13/10; 5/4; 11/8; 13/10; ; ; 13/10; ; 5/4; 13/10; ; 13/10; 13/10; ; 6/5; 13/10; ; ; ; ; 
Bristol City; 2; 15/8; 21/10; ; ; 21/10; 85/40; ; 2; 21/10; 19/10; 21/10; ; ; 21/10; ; 24/13; 37/19; ; 19/10; 19/10; ; 19/10; 37/19; ; ; ; ; 
Draw; 12/5; 9/4; 47/20; ; ; 5/2; 12/5; ; 12/5; 12/5; 12/5; 23/10; ; ; 12/5; ; 11/5; 40/17; ; 23/10; 23/10; ; 12/5; 40/17; ; ; ; ; 
META; english/championship/wolves-v-bristol-city; 2016-12-18 20:21:35 GMT+2; 2016-12-26 15:00; e70300-dr003
Wolves; 13/10; 13/10; 27/20; ; 11/8; 13/10; 13/10; ; 13/10; 5/4; 11/8; 13/10; 5/4; ; 13/10; ; 5/4; 13/10; 13/10; 13/10; 13/10; 69/50; 6/5; 13/10; 11/8; ; 5/4; ; 
Bristol City; 2; 21/10; 21/10; ; 21/10; 21/10; 85/40; ; 2; 21/10; 19/10; 21/10; 21/10; ; 21/10; ; 24/13; 37/19; 2; 19/10; 37/19; 9/4; 19/10; 37/19; 15/8; ; 19/10; ; 
Draw; 12/5; 23/10; 47/20; ; 12/5; 12/5; 12/5; ; 12/5; 12/5; 12/5; 23/10; 49/20; ; 12/5; ; 9/4; 40/17; 23/10; 23/10; 23/10; 12/5; 12/5; 40/17; 23/10; ; 9/4; ; 
META; english/championship/wolves-v-bristol-city; 2016-12-19 00:20:34 GMT+2; 2016-12-26 15:00; e70300-dr003
Wolves; 13/10; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; ; 13/10; 5/4; 11/8; 13/10; 5/4; ; 13/10; ; 5/4; 13/10; 13/10; 13/10; 13/10; 69/50; 6/5; 13/10; 11/8; ; 5/4; ; 
Bristol City; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 85/40; ; 2; 21/10; 19/10; 21/10; 21/10; ; 21/10; ; 19/10; 37/19; 2; 19/10; 37/19; 9/4; 19/10; 37/19; 15/8; ; 19/10; ; 
Draw; 12/5; 23/10; 47/20; 12/5; 12/5; 12/5; 12/5; ; 12/5; 12/5; 12/5; 23/10; 49/20; ; 12/5; ; 11/5; 40/17; 23/10; 23/10; 23/10; 12/5; 12/5; 40/17; 23/10; ; 9/4; ; 
META; english/championship/wolves-v-bristol-city; 2016-12-19 04:20:14 GMT+2; 2016-12-26 15:00; e70300-dr003
