META; english/championship/wolves-v-qpr; 2016-12-19 20:21:54 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
QPR; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-qpr; 2016-12-20 00:21:17 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
QPR; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-qpr; 2016-12-20 04:21:16 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
QPR; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-qpr; 2016-12-20 08:21:18 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
QPR; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-qpr; 2016-12-20 12:22:00 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
QPR; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-qpr; 2016-12-20 16:22:11 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; ; ; 5/6; 9/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; 5/2; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
QPR; 10/3; 13/5; ; ; ; 10/3; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wolves-v-qpr; 2016-12-20 20:22:35 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; ; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 5/2; 23/10; ; ; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
QPR; 10/3; 13/5; ; ; ; 10/3; 10/3; 3; 10/3; ; 13/4; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-21 00:21:23 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; ; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 5/2; 23/10; ; ; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
QPR; 10/3; 13/5; ; ; ; 10/3; 10/3; 3; 10/3; ; 13/4; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-21 04:21:18 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 10/3; 3; 10/3; ; 13/4; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-21 08:21:26 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 10/3; 3; 10/3; ; 13/4; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-21 12:21:46 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 10/3; 3; 10/3; ; 13/4; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-21 16:22:07 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; 4/5; 11/13; ; 5/6; 5/6; ; ; 5/6; ; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; 40/17; 5/2; ; 12/5; 27/11; ; ; 27/11; ; ; 23/10; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 10/3; 3; 10/3; ; 13/4; ; ; 17/5; ; ; 31/10; 17/5; ; 10/3; 13/4; ; ; 57/17; ; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-21 20:24:44 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; 4/5; 11/13; ; 5/6; 5/6; ; ; 5/6; 5/6; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; 40/17; 5/2; ; 12/5; 27/11; ; ; 27/11; 5/2; ; 23/10; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 17/5; 3; 10/3; ; 13/4; ; ; 17/5; ; ; 31/10; 17/5; ; 10/3; 16/5; ; ; 57/17; 10/3; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-22 00:21:11 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; 4/5; 11/13; ; 5/6; 5/6; ; ; 5/6; 5/6; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; 40/17; 5/2; ; 12/5; 27/11; ; ; 27/11; 5/2; ; 23/10; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 17/5; 3; 10/3; ; 13/4; ; ; 17/5; ; ; 31/10; 17/5; ; 10/3; 13/4; ; ; 57/17; 10/3; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-22 04:21:13 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; 4/5; 11/13; ; 5/6; 5/6; ; ; 5/6; 5/6; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; 40/17; 5/2; ; 12/5; 27/11; ; ; 27/11; 5/2; ; 23/10; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 17/5; 3; 10/3; ; 13/4; ; ; 17/5; ; ; 31/10; 17/5; ; 10/3; 13/4; ; ; 57/17; 10/3; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-22 08:21:03 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; 4/5; 11/13; ; 5/6; 5/6; ; ; 5/6; 5/6; ; 8/11; ; 
Draw; 5/2; 23/10; ; 5/2; ; 5/2; 5/2; 12/5; 13/5; ; 23/10; ; ; 5/2; ; ; 40/17; 5/2; ; 12/5; 27/11; ; ; 27/11; 5/2; ; 23/10; ; 
QPR; 10/3; 13/5; ; 16/5; ; 10/3; 17/5; 3; 10/3; ; 13/4; ; ; 17/5; ; ; 31/10; 17/5; ; 10/3; 13/4; ; ; 57/17; 10/3; ; 3; ; 
META; english/championship/wolves-v-qpr; 2016-12-22 12:21:07 GMT+2; 2016-12-31 15:00; e70300-dr003
Wolves; 5/6; 1; ; 20/23; ; 5/6; 20/23; 4/5; 5/6; ; 4/5; ; ; 5/6; ; ; 4/5; 11/13; ; 5/6; 5/6; ; ; 5/6; 5/6; ; 8/11; ; 
