META; english/efl-cup/qpr-v-sunderland; 2016-09-05 12:22:50 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 17/10; ; 13/8; 17/10; ; ; 13/8; ; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/100; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; ; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/100; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 23/10; ; 23/10; 40/17; ; ; 11/5; ; ; 12/5; 9/4; 11/5; 40/17; ; 23/10; 11/5; ; ; ; ; 1/100; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-05 16:23:02 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; ; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/100; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; ; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/100; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; ; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 11/5; 40/17; ; 23/10; 11/5; ; ; ; ; 1/100; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-05 20:23:07 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; ; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/100; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; ; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/100; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; ; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 11/5; 40/17; ; 23/10; 11/5; ; ; ; ; 1/100; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-06 00:21:58 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 23/10; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 11/5; 40/17; ; 23/10; 11/5; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-06 04:22:30 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
