META; english/efl-cup/qpr-v-swindon; 2016-07-29 00:21:03 GMT+3; 2016-08-09 19:45; e70300-dr003
QPR; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5; ; 4/5; 3/4; 4/5; ; 10/13; ; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 5/6; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; 13/5; 13/5; ; 5/2; 13/5; 12/5; ; 5/2; 13/5; 12/5; ; 51/20; ; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/10; 5/2; ; 11/5; ; 
Swindon; 7/2; 16/5; 7/2; 10/3; ; 10/3; 17/5; 33/10; ; 7/2; 7/2; 13/4; ; 7/2; ; 18/5; 10/3; 7/2; 7/2; 7/2; 7/2; 19/5; 37/13; ; 3; ; 
META; english/efl-cup/qpr-v-swindon; 2016-07-29 04:20:13 GMT+3; 2016-08-09 19:45; e70300-dr003
QPR; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5; ; 4/5; 3/4; 4/5; ; 10/13; ; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 5/6; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; 13/5; 13/5; ; 5/2; 13/5; 12/5; ; 5/2; 13/5; 12/5; ; 51/20; ; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/10; 5/2; ; 11/5; ; 
Swindon; 7/2; 16/5; 7/2; 10/3; ; 10/3; 17/5; 33/10; ; 7/2; 7/2; 13/4; ; 7/2; ; 18/5; 10/3; 7/2; 7/2; 7/2; 7/2; 19/5; 37/13; ; 3; ; 
META; english/efl-cup/qpr-v-swindon; 2016-07-29 08:20:07 GMT+3; 2016-08-09 19:45; e70300-dr003
QPR; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 4/5; ; 4/5; 3/4; 4/5; ; 10/13; ; 4/5; 4/5; 4/5; 4/5; 4/5; 14/19; 5/6; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; 13/5; 13/5; ; 5/2; 13/5; 12/5; ; 5/2; 13/5; 12/5; ; 51/20; ; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 27/10; 5/2; ; 11/5; ; 
Swindon; 7/2; 16/5; 7/2; 10/3; ; 10/3; 17/5; 33/10; ; 7/2; 7/2; 13/4; ; 7/2; ; 18/5; 10/3; 7/2; 7/2; 7/2; 7/2; 19/5; 37/13; ; 3; ; 
