META; english/fa-cup/blackburn-v-blackpool; 2017-01-18 16:24:56 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; ; ; ; 7/10; ; ; ; 7/10; 4/6; 8/11; ; 8/11; 8/11; 9/13; ; ; 5/7; ; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; ; ; 14/5; ; ; ; 5/2; 12/5; 57/20; ; 3; 14/5; 45/17; ; ; 11/4; ; ; ; ; ; ; ; 
Blackpool; 7/2; 10/3; ; ; ; ; 15/4; ; ; ; 7/2; 4; 7/2; ; 7/2; 4; 33/10; ; ; 38/11; ; ; ; ; ; ; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-18 20:24:30 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; ; ; ; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; ; 8/11; 8/11; 9/13; ; ; 5/7; ; ; ; ; ; 4/9; ; 
Draw; 14/5; 13/5; ; ; ; ; 14/5; ; 14/5; ; 5/2; 12/5; 57/20; ; 3; 14/5; 45/17; ; ; 11/4; ; ; ; ; ; 9/5; ; 
Blackpool; 7/2; 10/3; ; ; ; ; 18/5; ; 7/2; ; 7/2; 4; 7/2; ; 7/2; 4; 57/17; ; ; 38/11; ; ; ; ; ; 14/5; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-19 00:22:30 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; ; ; ; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; ; 8/11; 8/11; 9/13; ; ; 5/7; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 13/5; ; ; ; ; 14/5; ; 14/5; ; 5/2; 12/5; 57/20; ; 3; 14/5; 45/17; ; ; 11/4; ; ; ; ; ; 15/8; ; 
Blackpool; 7/2; 10/3; ; ; ; ; 18/5; ; 7/2; ; 7/2; 4; 7/2; ; 7/2; 4; 33/10; ; ; 38/11; ; ; ; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-19 04:22:36 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; ; ; ; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; ; 8/11; 8/11; 9/13; ; ; 5/7; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 13/5; ; ; ; ; 14/5; ; 14/5; ; 13/5; 12/5; 57/20; ; 3; 14/5; 45/17; ; ; 11/4; ; ; ; ; ; 7/4; ; 
Blackpool; 7/2; 10/3; ; ; ; ; 18/5; ; 7/2; ; 7/2; 4; 7/2; ; 7/2; 4; 57/17; ; ; 38/11; ; ; ; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-19 08:22:23 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; ; ; ; 7/10; ; 8/11; ; 7/10; 4/6; 8/11; ; 8/11; 8/11; 9/13; ; ; 5/7; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 13/5; ; ; ; ; 14/5; ; 14/5; ; 13/5; 12/5; 57/20; ; 3; 14/5; 45/17; ; ; 11/4; ; ; ; ; ; 7/4; ; 
Blackpool; 7/2; 10/3; ; ; ; ; 15/4; ; 7/2; ; 7/2; 4; 7/2; ; 7/2; 4; 57/17; ; ; 38/11; ; ; ; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-19 12:23:35 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; ; ; 8/11; 8/11; ; 8/11; ; 7/10; 4/6; 8/11; ; 8/11; 8/11; 9/13; ; ; 5/7; ; ; ; ; ; 4/7; ; 
Draw; 14/5; 13/5; ; ; ; 14/5; 14/5; ; 14/5; ; 13/5; 12/5; 57/20; ; 3; 14/5; 45/17; ; ; 11/4; ; ; ; ; ; 9/5; ; 
Blackpool; 7/2; 10/3; ; ; ; 7/2; 18/5; ; 7/2; ; 7/2; 4; 7/2; ; 7/2; 4; 57/17; ; ; 38/11; ; ; ; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-19 16:24:38 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; 3/4; ; 8/11; 8/11; 7/10; 8/11; ; 7/10; 4/6; 7/10; ; 8/11; 8/11; 9/13; ; 4/6; 5/7; 77/100; ; 5/7; ; ; 4/7; ; 
Draw; 14/5; 13/5; ; 14/5; ; 14/5; 14/5; 13/5; 14/5; ; 13/5; 12/5; 14/5; ; 3; 14/5; 45/17; ; 11/4; 27/10; 3; ; 11/4; ; ; 19/10; ; 
Blackpool; 7/2; 10/3; ; 7/2; ; 7/2; 18/5; 7/2; 7/2; ; 7/2; 4; 15/4; ; 7/2; 4; 57/17; ; 7/2; 38/11; 77/20; ; 15/4; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-19 20:23:55 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; 3/4; ; 8/11; 8/11; 7/10; 8/11; ; 7/10; 4/6; 7/10; 7/10; 8/11; 8/11; 9/13; ; 4/6; 5/7; 77/100; ; 5/7; ; ; 4/6; ; 
Draw; 14/5; 13/5; ; 14/5; ; 14/5; 14/5; 13/5; 14/5; ; 13/5; 12/5; 14/5; 11/4; 3; 14/5; 13/5; ; 11/4; 27/10; 3; ; 11/4; ; ; 5/2; ; 
Blackpool; 7/2; 10/3; ; 7/2; ; 7/2; 18/5; 7/2; 7/2; ; 7/2; 4; 15/4; 18/5; 7/2; 4; 57/17; ; 7/2; 38/11; 77/20; ; 15/4; ; ; 10/3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-20 04:22:51 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; 3/4; 8/11; 8/11; 7/10; 7/10; 8/11; ; 7/10; 4/6; 7/10; 7/10; 8/11; 8/11; 9/13; ; 4/6; 5/7; 77/100; ; 5/7; ; ; 4/6; ; 
Draw; 14/5; 13/5; ; 14/5; 3; 14/5; 14/5; 13/5; 14/5; ; 13/5; 12/5; 57/20; 11/4; 3; 14/5; 13/5; ; 11/4; 27/10; 3; ; 11/4; ; ; 5/2; ; 
Blackpool; 7/2; 10/3; ; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; ; 7/2; 4; 15/4; 18/5; 7/2; 4; 57/17; ; 7/2; 38/11; 77/20; ; 15/4; ; ; 10/3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-20 08:23:10 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 8/11; 4/5; ; 3/4; 8/11; 8/11; 7/10; 7/10; 8/11; ; 7/10; 4/6; 7/10; 7/10; 8/11; 8/11; 9/13; ; 4/6; 5/7; 77/100; ; 5/7; ; ; 4/6; ; 
Draw; 14/5; 13/5; ; 14/5; 3; 14/5; 14/5; 13/5; 14/5; ; 13/5; 12/5; 14/5; 11/4; 3; 14/5; 13/5; ; 11/4; 27/10; 3; ; 11/4; ; ; 5/2; ; 
Blackpool; 7/2; 10/3; ; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; ; 7/2; 4; 15/4; 18/5; 7/2; 4; 57/17; ; 7/2; 38/11; 77/20; ; 15/4; ; ; 10/3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-20 12:26:25 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 5/6; 5/6; 7/10; 7/10; 4/5; 4/5; 4/5; 4/6; 10/13; 4/5; 4/5; 5/6; 14/19; ; 4/6; 10/13; 77/100; ; 5/7; ; ; 8/11; ; 
Draw; 14/5; 13/5; ; 11/4; 11/4; 14/5; 11/4; 13/5; 14/5; 11/4; 5/2; 12/5; 14/5; 13/5; 11/4; 14/5; 28/11; ; 11/4; 45/17; 3; ; 11/4; ; ; 12/5; ; 
Blackpool; 31/10; 10/3; ; 16/5; 10/3; 10/3; 15/4; 7/2; 7/2; 16/5; 16/5; 4; 10/3; 10/3; 10/3; 10/3; 31/10; ; 7/2; 16/5; 77/20; ; 15/4; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-20 16:27:19 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 5/6; 5/6; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 5/6; 10/13; ; 4/6; 4/5; 77/100; 4/5; 5/7; ; ; 8/11; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 5/2; ; 11/4; 13/5; 3; 27/10; 11/4; ; ; 12/5; ; 
Blackpool; 31/10; 10/3; ; 10/3; 10/3; 33/10; 33/10; 7/2; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 10/3; 10/3; 58/19; ; 7/2; 41/13; 77/20; 14/5; 15/4; ; ; 3; ; 
META; english/fa-cup/blackburn-v-blackpool; 2017-01-20 20:25:11 GMT+2; 2017-01-28 15:00; e70300-dr003
Blackburn; 4/5; 4/5; ; 4/5; 5/6; 33/40; 3/4; 7/10; 5/6; 4/5; 3/4; 4/5; 10/13; 4/5; 4/5; 4/5; 5/7; ; 4/5; 10/13; 77/100; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 14/5; 13/5; ; 14/5; 27/10; 3; 27/10; 29/10; 13/5; ; 12/5; ; 
